GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_DMSO_RIF	Rv0827c_DMSO_noDrug
eccE3	Rv0292	ESX-3 secretion system protein EccE	microaerophilic:21%; low_iron:14%; zinc_limitation:10%	0.0301	0.999797176792725	1347.4	1499	1564	1344	1234	1121	352.5	346.45
argT	Rvnt14	tRNA-Arg	hypoxia_late:13%; tyloxopol:12%; acidic_tyloxopol:11%	0.0649	0.999999314657228	1350.83	1412	1065	1161	1558	1601	29.29	27.92
Rv1732c	Rv1732c	hypothetical protein	butyrate:10%	0.0355	0.999932074474261	1322.1	1390	1371	1380	1194	1281	203.25	199.44
Rv3528c	Rv3528c	hypothetical protein	hypoxia_late:12%; human_sputum:11%	0.0553	0.999987997785915	1389	1444	1515	1331	1261	1401	130.85	126.09
Rv2851c	Rv2851c	GCN5-like N-acetyltransferase	microaerophilic:23%	0.0357	0.999936900763691	1323.34	1428	1315	1403	1210	1267	270.72	265.53
Rv2413c	Rv2413c	hypothetical protein	acidic_tyloxopol:11%	0.033	0.99989321007223	1332.89	1322	1522	1297	1292	1240	178.84	175.28
bpoC	Rv0554	non-heme bromoperoxidase BpoC	tyloxopol:14%	0.0335	0.999894107909423	1337.95	1376	1512	1274	1267	1269	177.66	174.16
Rv3611	Rv3611	hypothetical arginine and proline rich protein	PBS_RIF_DDmtb:22%; nutrient_limitation:11%	0.035	0.999988622582739	1216.64	1032	887	1558	1287	1380	141.41	138.67
clpP2	Rv2460c	ATP-dependent CLP protease proteolytic subunit 2	human_sputum:9%	0.0308	0.999855592548909	1344.05	1549	1446	1420	1244	1087	915.61	899.84
prrB	Rv0902c	two component sensor histidine kinase PrrB	cholesterol:8%	0.0341	0.999910632778507	1343.37	1346	1457	1298	1314	1305	139.91	136.76
Rv3481c	Rv3481c	integral membrane protein	hypoxia_late:17%; PBS_RIF_DDmtb:14%	0.0423	0.999992173315263	1267.34	1065	1038	1381	1419	1468	48.9	47.55
Rv0658c	Rv0658c	integral membrane protein	hypoxia_late:14%; ctl_stationary:10%	0.0452	0.999989453758862	1321.23	1200	1126	1181	1544	1591	44.97	43.31
Rv0396	Rv0396	hypothetical protein	hypoxia_late:29%; human_sputum:12%; ctl_stationary:10%	0.0601	0.999999345337907	1323.15	1101	958	1253	1742	1649	14.2	13.43
cobG	Rv2064	precorrin-3B synthase	hypoxia_late:22%	0.0311	0.999896833739475	1332.35	1263	1532	1255	1310	1311	138.75	136.27
Rv0546c	Rv0546c	hypothetical protein	tyloxopol:12%	0.0385	0.999960342453869	1347.08	1362	1361	1305	1333	1375	197.59	193.06
pheU	Rvnt13	tRNA-Phe	hypoxia_late:31%; zinc_limitation:12%	0.0617	0.999999202602706	1356.71	1430	1089	1246	1393	1659	28.89	27.71
fdxD	Rv3503c	ferredoxin FdxD	microaerophilic:21%; hypoxia_fatty_acids:12%	0.0391	0.99997925531904	1309.1	1170	1248	1337	1355	1444	267.07	261.01
MT0856.1	MT0856.1	hypothetical protein	hypoxia_late:16%; human_sputum:14%; ctl_stationary:12%	0.0429	0.999997826257885	1233.38	898	765	1271	1649	1740	38.68	37.34
Rv0063	Rv0063	oxidoreductase	hypoxia_late:21%	0.0363	0.999958690576734	1336.27	1354	1294	1369	1344	1321	108.31	105.83
ideR	Rv2711	iron-dependent repressor and activator IdeR	PBS_RIF_DDmtb:11%	0.0364	0.999914724983989	1381.2	1647	1505	1404	1263	1118	490.75	480.02
moaE2	Rv0866	molybdopterin synthase catalytic subunit 2	microaerophilic:23%	0.0354	0.999950417468835	1339.47	1381	1350	1351	1260	1357	202.44	198.61
Rv1111c	Rv1111c	hypothetical protein	tyloxopol:11%	0.0322	0.999894061854388	1367.95	1468	1533	1319	1295	1236	190.93	187.23
echA3	Rv0632c	enoyl-CoA hydratase EchA3	tyloxopol:9%	0.0304	0.999860055150026	1375.28	1564	1556	1399	1272	1113	834.11	819.18
ubiA	Rv3806c	decaprenyl-phosphate phosphoribosyltransferase	high_iron:11%	0.029	0.99989938062528	1336.51	1384	1443	1462	1256	1151	404.74	398.34
Rv1766	Rv1766	hypothetical protein	ctl_stationary:12%	0.044	0.999983385392472	1366.69	1506	1321	1458	1164	1398	153.92	150.39
era	Rv2364c	GTPase Era	PBS_RIF_DDmtb:9%	0.034	0.999937037021727	1364.55	1487	1418	1375	1284	1265	165.12	161.87
Rv0948c	Rv0948c	chorismate mutase	high_iron:10%	0.0433	0.99998422449287	1365.85	1526	1285	1450	1162	1422	123.2	120.47
Rv0804	Rv0804	hypothetical protein	hypoxia_late:20%	0.0341	0.999975617610578	1296.43	1196	1173	1482	1293	1350	149.46	146.64
Rv0191	Rv0191	MFS-type transporter	hypoxia_late:15%	0.0378	0.999951448752244	1382.11	1563	1409	1347	1300	1300	83.01	81.11
Rv0919	Rv0919	GCN5-like N-acetyltransferase	INDIGO_exponential:8%	0.0359	0.999967074498271	1348.25	1307	1364	1393	1341	1337	222.61	217.94
dgt	Rv2344c	deoxyguanosine triphosphate triphosphohydrolase	hypoxia_late:12%	0.0301	0.999904380814351	1361.93	1380	1545	1354	1298	1242	158.65	155.92
Rv3817	Rv3817	phosphotransferase	hypoxia_late:29%; ctl_stationary:11%	0.0395	0.999979698867736	1351.88	1353	1278	1290	1402	1440	55.96	54.61
pafB	Rv2096c	proteasome accessory factor B	INDIGO_exponential:8%	0.0306	0.999934648236991	1348.29	1400	1405	1440	1281	1222	234.99	231.08
Rv1101c	Rv1101c	hypothetical protein	tyloxopol:9%	0.0318	0.99994878481846	1357.36	1347	1410	1386	1335	1310	143.44	140.71
ftsW	Rv2154c	lipid II flippase FtsW	microaerophilic:14%	0.0278	0.999864868610228	1376.9	1455	1617	1425	1290	1123	360.53	354.84
rpsJ	Rv0700	30S ribosomal protein S10	acidic:12%	0.0355	0.99997675288267	1335.97	1352	1185	1426	1291	1434	2940.41	2880.26
gnd1	Rv1844c	6-phosphogluconate dehydrogenase	low_iron:7%	0.028	0.999873431349415	1377.03	1462	1585	1391	1306	1160	281.24	276.66
Rv0610c	Rv0610c	hypothetical protein	hypoxia_late:15%	0.0388	0.999992105662519	1314.77	1150	1153	1489	1377	1424	49.75	48.55
Rv1771	Rv1771	L-gulono-1,4-lactone dehydrogenase	tyloxopol:10%	0.0279	0.999895298943849	1368.48	1398	1586	1402	1269	1203	212.23	209.03
Rv2175c	Rv2175c	DNA-binding protein	acidic_tyloxopol:8%	0.0369	0.999978595097347	1358.93	1429	1281	1452	1229	1411	131.72	129.24
cmk	Rv1712	cytidylate kinase	high_iron:10%	0.0327	0.999944059941545	1380.25	1519	1429	1423	1259	1280	230.49	226.39
Rv2128	Rv2128	transmembrane protein	tyloxopol:12%	0.039	0.999982949672234	1369.45	1385	1340	1488	1299	1339	361.83	353.83
Rv3909	Rv3909	hypothetical protein	hypoxia_late:12%; tyloxopol:11%	0.0318	0.999924133938621	1387.12	1626	1444	1433	1279	1175	117.08	114.94
echA7	Rv0971c	enoyl-CoA hydratase EchA7	microaerophilic:40%; hypoxia_late:12%	0.0369	0.999980299181823	1370.27	1360	1327	1296	1366	1507	53.44	52.29
Rv1233c	Rv1233c	hypothetical protein	tyloxopol:16%; human_sputum:13%	0.0284	0.999928030259212	1372.18	1363	1528	1414	1317	1247	401.48	395.24
pstA2	Rv0936	phosphate ABC transporter permease PstA	butyrate_plus_glucose:10%; ctl_exponential:10%	0.0307	0.999956473040805	1365.06	1314	1436	1422	1353	1303	203.88	200.23
MT0781	MT0781	hypothetical protein	hypoxia_late:7%	0.0351	0.999956134571838	1392.1	1536	1402	1384	1340	1304	267.77	261.67
Rv3365c	Rv3365c	hypothetical protein	hypoxia_late:8%	0.0262	0.999846862602732	1393.43	1500	1665	1409	1294	1129	191.4	188.62
spoU	Rv3366	tRNA/rRNA methylase SpoU	human_sputum:25%; hypoxia_late:15%	0.0479	0.999998144271946	1357.42	1208	1121	1247	1557	1698	25.47	24.53
tyrS	Rv1689	tyrosine--tRNA ligase	hypoxia_late:14%	0.0314	0.999953821270084	1377.82	1348	1456	1400	1361	1326	158.46	155.4
hsdM	Rv2756c	type I restriction/modification system DNA methylase HsdM	hypoxia_late:26%	0.0337	0.999959578463302	1383.4	1495	1395	1428	1297	1307	75.77	74.3
Rv0681	Rv0681	transcriptional regulator	ctl_stationary:24%; microaerophilic:15%	0.0342	0.999967512681837	1381.89	1445	1374	1413	1343	1336	212.56	208.28
pstC2	Rv0929	phosphate ABC transporter permease PstC	hypoxia_late:18%	0.0337	0.999975220711452	1364.27	1289	1356	1378	1385	1415	90.38	88.57
35kd_ag	Rv2744c	hypothetical protein	hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:11%	0.0279	0.999888068015854	1400.32	1542	1600	1417	1311	1155	527.52	519.18
pks13	Rv3800c	polyketide synthase	microaerophilic:13%	0.0251	0.999867446885273	1387.11	1434	1642	1442	1271	1170	904.9	892.46
Rv2087	Rv2087	conserved hypothetical protein	butyrate:23%; hypoxia_late:15%; ctl_stationary:10%	0.0745	0.999999995220913	1412.93	1458	972	1286	1328	2142	4.54	4.21
kasA	Rv2245	3-oxoacyl-ACP synthase 1	hypoxia_hypoxic:12%; high_iron:10%	0.0247	0.999851751691918	1393.36	1514	1620	1461	1296	1106	2500.43	2466.78
trpE	Rv1609	anthranilate synthase component I	zinc_limitation:8%	0.0298	0.999951437734508	1381.94	1490	1403	1477	1330	1219	198.02	194.67
lppM	Rv2171	lipoprotein LppM	PBS_RIF_DDmtb:11%	0.0335	0.999959108650241	1399.78	1558	1413	1379	1280	1376	140.01	137.5
sdhC	Rv3316	succinate dehydrogenase cytochrome B-556 subunit	hypoxia_late:10%	0.0388	0.999983542673549	1394.21	1361	1346	1278	1472	1521	146.74	142.82
Rv1255c	Rv1255c	HTH-type transcriptional regulator	hypoxia_fatty_acids:18%	0.0407	0.999978080088884	1432.49	1615	1474	1367	1352	1363	121.66	118.49
ruvB	Rv2592c	Holliday junction ATP-dependent DNA helicase RuvB	PBS_RIF_DDmtb:15%	0.0303	0.999933041292518	1406.91	1507	1563	1376	1277	1322	153.42	150.88
usfY	Rv3288c	hypothetical protein	microaerophilic:25%; ctl_stationary:16%; hypoxia_fatty_acids:14%; nutrient_limitation:13%	0.0353	0.999991831326365	1343.15	1171	1166	1405	1496	1499	127.6	124.7
Rv0175	Rv0175	Mce associated membrane protein	acidic:11%	0.0251	0.999880998414009	1397.87	1524	1587	1456	1316	1131	1272.86	1255.66
mutT4	Rv3908	mutator protein MutT	tyloxopol:8%	0.0317	0.999953340109013	1403.01	1551	1460	1447	1288	1279	236.25	232.13
Rv1978	Rv1978	hypothetical protein	hypoxia_late:12%	0.0366	0.999989855188406	1376.08	1279	1297	1387	1451	1472	56.93	55.63
Rv0789c	Rv0789c	hypothetical protein	hypoxia_fatty_acids:22%	0.0373	0.99999172367516	1376.59	1406	1216	1506	1237	1534	61.73	60.6
Rv1591	Rv1591	transmembrane protein	ctl_exponential:8%	0.0289	0.999952242813108	1387.87	1415	1465	1457	1309	1298	297.6	293.08
arsB2	Rv3578	arsenic transport integral membrane protein ArsB	hypoxia_late:18%; PBS_RIF_DDmtb:15%; human_sputum:11%	0.0316	0.999969818424607	1391.65	1292	1480	1360	1392	1438	76.05	74.57
MT0946	MT0946	hypothetical protein	ctl_exponential:15%; hypoxia_late:12%	0.0386	0.999991419091047	1389.76	1417	1290	1496	1283	1470	267.45	262.26
MT2710	MT2710	hypothetical protein	hypoxia_late:15%; acidic_tyloxopol:12%; ctl_stationary:11%	0.0503	0.9999995320804	1376.71	1099	965	1178	1891	1892	34.38	32.59
fhaB	Rv0019c	FHA domain-containing protein FhaB	microaerophilic:22%	0.0291	0.999968069452132	1381.15	1349	1415	1517	1303	1327	361.39	355.84
Rv1744c	Rv1744c	membrane protein	hypoxia_late:15%; human_sputum:13%	0.0361	0.999985815887673	1387.15	1388	1305	1459	1408	1378	250.05	244.72
csd	Rv1464	cysteine desulfurase	low_iron:26%; zinc_limitation:18%	0.0253	0.999907320550347	1408.21	1454	1652	1436	1318	1201	288.26	284.43
Rv3075c	Rv3075c	hypothetical protein	INDIGO_exponential:9%	0.028	0.999920962551172	1424.04	1601	1581	1446	1326	1188	455.46	448.34
Rv2365c	Rv2365c	hypothetical protein	hypoxia_late:16%	0.0341	0.999979927431096	1401.87	1413	1408	1359	1357	1474	148.07	145.33
Rv2303c	Rv2303c	antibiotic-resistance protein	acidic:11%	0.0307	0.999951731791545	1424.11	1584	1518	1449	1305	1277	192.95	189.68
Rv2695	Rv2695	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:14%	0.0356	0.999984862853477	1394.06	1338	1351	1269	1488	1533	67.85	66.24
Rv0539	Rv0539	dolichyl-phosphate sugar synthase	PBS_RIF_DDmtb:10%	0.0312	0.999966659210702	1420.85	1492	1453	1395	1395	1371	219.98	215.75
Rv0074	Rv0074	hypothetical protein	acidic:11%; hypoxia_late:10%	0.0268	0.999918854684599	1425.62	1528	1651	1410	1325	1233	231.71	228.24
nadD	Rv2421c	nicotinate-nucleotide adenylyltransferase	hypoxia_late:10%	0.0337	0.99997938754887	1407.47	1350	1467	1339	1420	1464	89.07	87.33
gpm1	Rv0489	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	INDIGO_exponential:12%	0.0314	0.999966130176756	1425.53	1467	1479	1382	1406	1395	208.09	203.92
Rv3575c	Rv3575c	LacI family transcriptional regulator	hypoxia_late:14%	0.0338	0.999981061227588	1413.38	1373	1386	1364	1473	1473	116.07	113.28
Rv0339c	Rv0339c	transcriptional regulator	hypoxia_late:20%	0.0313	0.999984785570588	1383.59	1226	1363	1471	1442	1423	42.69	41.85
Rv1558	Rv1558	hypothetical protein	zinc_limitation:12%	0.0309	0.999978014852991	1403.25	1345	1439	1460	1362	1412	242.12	237.93
Rv3922c	Rv3922c	membrane protein insertion efficiency factor	acidic:15%; INDIGO_exponential:11%	0.027	0.999974914780803	1382.82	1337	1343	1531	1375	1333	727.13	717.04
Rv2825c	Rv2825c	hypothetical protein	hypoxia_late:14%; microaerophilic:11%; cholesterol:11%	0.0324	0.999974104471378	1428.28	1432	1469	1324	1456	1463	133.55	130.74
Rv1786	Rv1786	ferredoxin	hypoxia_late:22%; ctl_stationary:11%	0.0441	0.999998782228254	1396.42	1340	1081	1201	1627	1795	46.72	45.06
pks12	Rv2048c	polyketide synthase	hypoxia_late:11%	0.0237	0.999910116664722	1428.03	1567	1595	1494	1336	1171	203.32	200.72
pepQ	Rv2535c	cytoplasmic peptidase PepQ	microaerophilic:8%	0.0257	0.999929087117539	1435.75	1587	1596	1439	1339	1235	290.55	286.53
Rv1139c	Rv1139c	hypothetical protein	PBS_RIF_DDmtb:15%; acidic:15%	0.0368	0.999997282382772	1379.43	1080	1146	1310	1669	1759	88.66	85.81
PE_PGRS52	Rv3388	PE-PGRS family protein PE_PGRS52	hypoxia_late:39%	0.0339	0.999990258718699	1398.87	1330	1282	1455	1484	1449	54.29	53.09
rplN	Rv0714	50S ribosomal protein L14	hypoxia_rar:10%	0.0292	0.999968574993286	1424.76	1521	1466	1505	1342	1297	678.18	667.68
Rv2228c	Rv2228c	multifunctional RNASE H/alpha-ribazole phosphatase/acid phosphatase	hypoxia_late:15%	0.0278	0.999941095052165	1450.28	1589	1637	1397	1351	1293	190.22	187.19
Rv0879c	Rv0879c	transmembrane protein	hypoxia_rar:12%; hypoxia_late:11%	0.0332	0.99998874718585	1402.39	1438	1277	1526	1331	1447	237.57	233.61
Rv0004	Rv0004	hypothetical protein	hypoxia_late:9%	0.0301	0.999975243400217	1420.96	1407	1442	1419	1432	1405	198.05	194.58
PE_PGRS48	Rv2853	PE-PGRS family protein PE_PGRS48	hypoxia_late:29%	0.0286	0.999974427564568	1417.59	1299	1483	1392	1468	1450	88.73	87.02
Rv0012	Rv0012	membrane protein	INDIGO_exponential:7%	0.032	0.999981875012743	1423.96	1448	1428	1502	1389	1355	185.76	182.27
Rv2506	Rv2506	TetR family transcriptional regulator	hypoxia_late:11%	0.0354	0.999992081564144	1413.79	1310	1329	1214	1609	1632	55.4	53.9
mcr19	Rvnc0004	fragment of putative small regulatory RNA	microaerophilic:22%; low_iron:11%	0.0393	0.99999719063398	1407.71	1283	1291	1327	1463	1695	135.32	132.25
rtcB	Rv2631	RNA-splicing ligase RtcB	microaerophilic:24%	0.0322	0.999982188674037	1424.55	1418	1407	1444	1444	1410	140.81	137.84
rpsP	Rv2909c	30S ribosomal protein S16	hypoxia_rar:11%; hypoxia_hypoxic:11%	0.0253	0.999937122809487	1443.35	1480	1680	1401	1371	1299	554.86	546.82
Rv2041c	Rv2041c	sugar ABC transporter substrate-binding lipoprotein	hypoxia_late:13%	0.0325	0.999988532361852	1411.96	1294	1426	1373	1450	1522	35.71	35.03
moeB2	Rv3116	molybdenum cofactor biosynthesis protein MoeB	tyloxopol:9%	0.0262	0.999959808363403	1435.22	1383	1632	1468	1384	1319	218.23	215.01
murA	Rv1315	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	ctl_stationary:8%	0.0285	0.999971137408197	1438.59	1399	1566	1479	1411	1343	210.32	206.7
Rv1116	Rv1116	hypothetical protein	hypoxia_late:13%	0.0393	0.999999021936038	1385.03	1106	1172	1383	1648	1665	84.89	82.6
emrB	Rv0783c	multidrug resistance protein EmrB	hypoxia_late:10%	0.0277	0.999957085298802	1456.55	1617	1561	1466	1337	1314	124.77	122.89
Rv2706c	Rv2706c	hypothetical protein	human_sputum:13%; butyrate:11%; hypoxia_fatty_acids:11%	0.0295	0.999974080565087	1446.83	1517	1503	1445	1365	1407	494.61	486.63
pckA	Rv0211	phosphoenolpyruvate carboxykinase	zinc_limitation:10%	0.0228	0.999912930277609	1454.09	1607	1686	1512	1358	1141	583.97	576.82
rubB	Rv3250c	rubredoxin RubB	nutrient_limitation:41%; PBS_RIF_DDmtb:18%	0.0301	0.999978979187877	1436.31	1427	1482	1430	1415	1428	626.71	615.96
Rv0756c	Rv0756c	hypothetical protein	hypoxia_late:7%	0.0312	0.99997627818554	1455.16	1572	1455	1437	1425	1390	275.4	269.84
Rv3259	Rv3259	hypothetical protein	tyloxopol:17%; low_iron:13%	0.0301	0.999974861596482	1450.87	1520	1500	1454	1414	1369	353.86	347.6
vapB43	Rv2871	antitoxin VapB43	ctl_stationary:25%	0.034	0.999991712585032	1435.12	1372	1440	1263	1525	1587	106.71	104.55
Rv2077A	Rv2077A	hypothetical protein	hypoxia_late:17%; ctl_stationary:13%; PBS_RIF_DDmtb:12%; hypoxia_rar:10%	0.0425	0.999999784633703	1381.13	1140	888	1335	1870	1804	29.08	27.87
MT3974.1	MT3974.1	hypothetical protein	human_sputum:12%	0.0307	0.99998257976968	1438.07	1402	1470	1371	1474	1475	214.4	210.4
dedA	Rv2637	transmembrane protein DedA	hypoxia_late:12%	0.0358	0.999992905277296	1440.13	1367	1319	1254	1626	1658	70.12	68.06
amiB1	Rv3306c	amidase AmiB	hypoxia_late:8%	0.0255	0.999945313011027	1461.86	1565	1677	1469	1360	1257	252.15	248.58
Rv2650c	Rv2650c	prophage protein	microaerophilic:27%; PBS_RIF_DDmtb:11%; cholesterol:10%	0.03	0.999975611990352	1455.34	1479	1535	1377	1446	1442	68.25	67
MT3953	MT3953	hypothetical protein	acidic_tyloxopol:14%	0.0375	0.999996850236867	1425.82	1426	1264	1463	1368	1620	165.63	162.31
Rv2206	Rv2206	transmembrane protein	hypoxia_rar:10%	0.0234	0.999945150276585	1447.78	1409	1716	1443	1381	1306	403.17	398.14
MT1040.1	MT1040.1	hypothetical protein	hypoxia_hypoxic:10%	0.0327	0.999983741668298	1458.09	1482	1434	1284	1537	1562	237.98	232.35
Rv3785	Rv3785	hypothetical protein	INDIGO_exponential:9%	0.0275	0.999992010957138	1387.78	1266	1242	1613	1380	1454	102.12	100.67
esxL	Rv1198	ESAT-6 like protein EsxL	high_iron:9%	0.0235	0.999918289158639	1479.55	1710	1700	1498	1348	1178	1983.37	1958.58
narJ	Rv1163	nitrate reductase subunit delta	acidic_tyloxopol:11%; microaerophilic:10%	0.0281	0.9999747378458	1456.35	1463	1548	1451	1428	1394	247	243.06
epiA	Rv1512	nucleotide-sugar epimerase EpiA	high_iron:9%	0.0295	0.999974331508664	1470.03	1605	1527	1478	1386	1361	198.79	195.52
Rv2125	Rv2125	hypothetical protein	zinc_limitation:8%	0.0267	0.999961806013847	1470.06	1622	1574	1486	1356	1324	252.75	249.09
snoP	Rv2604c	glutamine amidotransferase SnoP	hypoxia_late:10%	0.027	0.99996445560229	1473.33	1489	1666	1390	1422	1408	257.95	253.87
Rv3093c	Rv3093c	oxidoreductase	high_iron:18%; hypoxia_late:11%	0.0361	0.99999349927978	1460.49	1546	1357	1473	1430	1500	49.83	48.83
cut5b	Rv3724B	cutinase cut5b	ctl_stationary:10%	0.031	0.99998790635767	1450.94	1535	1394	1501	1346	1483	120.77	118.91
PPE66	Rv3738c	PPE family protein PPE66	PBS_RIF_DDmtb:32%; nutrient_limitation:26%	0.0297	0.999985527495961	1445.28	1358	1477	1407	1503	1484	91.5	89.78
Rv0203	Rv0203	hypothetical protein	hypoxia_late:11%; hypoxia_rar:11%; ctl_exponential:11%	0.0252	0.999959709471448	1469.29	1511	1662	1429	1363	1391	449.13	443.2
MT2895	MT2895	hypothetical protein	hypoxia_late:21%	0.0417	0.999999956095337	1367.88	1136	725	1283	1939	1975	32.75	31.44
Rv3295	Rv3295	TetR family transcriptional regulator	high_iron:9%	0.0259	0.999961710217844	1475.61	1623	1628	1508	1383	1254	618.65	609.87
Rv0897c	Rv0897c	oxidoreductase	hypoxia_late:10%	0.0293	0.999980556483146	1464.87	1545	1509	1497	1378	1399	86.42	85.06
argJ	Rv1653	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase	hypoxia_late:21%; hypoxia_hypoxic:14%	0.0276	0.999990196744629	1417.62	1255	1317	1453	1543	1532	127.56	125.22
MT0177	MT0177	hypothetical protein	butyrate_plus_glucose:12%; acidic:11%	0.0252	0.999975368260472	1445.61	1359	1582	1541	1438	1317	493.88	486.85
engA	Rv1713	GTPase Der	high_iron:10%	0.0231	0.99996303168773	1454.07	1475	1622	1536	1372	1278	256.56	253.59
tesB1	Rv1618	acyl-CoA thioesterase TesB	tyloxopol:9%	0.0243	0.999966045330847	1459.26	1442	1654	1507	1364	1340	265.36	262.04
Rv2469c	Rv2469c	hypothetical protein	acidic_tyloxopol:9%	0.0302	0.999994968133917	1420.36	1156	1328	1372	1625	1652	108.21	105.61
vapB16	Rv2231B	antitoxin VapB16	hypoxia_late:21%; ctl_stationary:15%	0.0463	0.999999918986333	1422.07	1148	938	1328	1907	1930	25.38	24.1
glcB	Rv1837c	malate synthase	high_iron:9%	0.022	0.999947922158223	1462.46	1569	1623	1530	1403	1207	662.43	654.85
Rv0925c	Rv0925c	hypothetical protein	human_sputum:10%	0.0267	0.999967547878133	1480.46	1541	1631	1421	1413	1403	213.69	210.47
Rv3901c	Rv3901c	membrane protein	ctl_stationary:11%	0.0362	0.99999653419348	1458.09	1374	1334	1301	1634	1668	61.07	59.37
pstC1	Rv0935	phosphate ABC transporter permease PstC	ctl_exponential:11%	0.0221	0.999960673881292	1456.26	1481	1621	1559	1398	1238	504.74	499.1
Rv0431	Rv0431	tuberculin-like peptide	tyloxopol:14%; high_iron:12%	0.0276	0.999975660511163	1476.19	1604	1538	1490	1347	1409	280.76	276.68
irtB	Rv1349	iron ABC transporter ATP-binding protein/permease IrtB	low_iron:24%; hypoxia_late:16%	0.0308	0.999988743952187	1467	1405	1501	1326	1547	1563	30.93	30.28
lpdC	Rv0462	dihydrolipoamide dehydrogenase	INDIGO_exponential:9%	0.0239	0.999956180606891	1485.47	1661	1641	1528	1405	1216	628.03	619.95
Rv3843c	Rv3843c	transmembrane protein	microaerophilic:10%	0.0215	0.999932880861368	1485.87	1581	1784	1500	1394	1202	560.99	554.6
pitB	Rv2281	phosphate permease	hypoxia_late:15%; ctl_stationary:12%	0.0323	0.999991588493136	1476.49	1478	1471	1438	1477	1519	32.65	31.99
Rv3120	Rv3120	hypothetical protein	INDIGO_exponential:9%	0.0285	0.999977837754225	1490.42	1570	1588	1474	1436	1389	280.77	276.14
Rv0498	Rv0498	hypothetical protein	hypoxia_late:12%	0.0272	0.999972525811287	1493.63	1580	1644	1416	1407	1429	144.86	142.71
Rv3072c	Rv3072c	hypothetical protein	hypoxia_late:16%	0.0339	0.999995176225737	1471.13	1414	1463	1315	1578	1595	51.21	50.11
vapC21	Rv2757c	ribonuclease VapC21	human_sputum:16%; hypoxia_late:12%	0.0347	0.999999057108277	1408.26	1221	1075	1411	1705	1685	47.17	45.94
glfT1	Rv3782	galactofuranosyl transferase GlfT	INDIGO_exponential:10%	0.0242	0.999953722862248	1498.74	1693	1679	1495	1359	1290	323.13	319.04
Rv3916c	Rv3916c	hypothetical protein	microaerophilic:18%; ctl_stationary:11%	0.0283	0.999987147272371	1466.74	1411	1478	1435	1516	1495	156.63	153.76
fadE19	Rv2500c	acyl-CoA dehydrogenase FadE19	microaerophilic:24%; low_iron:10%	0.0247	0.999966513598897	1491.36	1583	1645	1467	1401	1370	169.49	167.21
Rv0089	Rv0089	methyltransferase	hypoxia_late:8%	0.0334	0.999994846444341	1473.97	1532	1389	1499	1416	1537	60.55	59.48
Rv0999	Rv0999	hypothetical protein	high_iron:8%	0.0308	0.999982630628861	1501.85	1586	1541	1385	1500	1501	175.1	171.38
eccE2	Rv3885c	ESX-2 secretion system protein EccE	hypoxia_late:12%	0.0256	0.999973160099217	1490.67	1606	1613	1521	1379	1345	133.78	131.92
Rv3335c	Rv3335c	integral membrane protein	hypoxia_late:13%	0.0288	0.99998188653035	1491.74	1610	1526	1485	1440	1402	146.75	144.32
Rv2083	Rv2083	hypothetical protein	hypoxia_late:15%	0.0251	0.999971234124025	1487.67	1627	1584	1519	1373	1346	241.67	238.48
rpsB	Rv2890c	30S ribosomal protein S2	hypoxia_rar:10%; hypoxia_hypoxic:10%	0.0219	0.999950034971689	1495.76	1707	1667	1544	1376	1214	722.71	714.72
esxI	Rv1037c	ESAT-6 like protein EsxI	ctl_exponential:9%	0.023	0.99994889390819	1509.77	1767	1698	1513	1374	1230	1543.19	1524.42
Rv3717	Rv3717	hypothetical protein	tyloxopol:16%	0.0246	0.99996823104144	1498.54	1555	1687	1472	1424	1365	295.96	291.86
fusA1	Rv0684	elongation factor G	INDIGO_exponential:9%	0.0234	0.999972108820154	1484.15	1633	1510	1546	1433	1309	1585.83	1565.87
vapC9	Rv0960	ribonuclease VapC9	hypoxia_fatty_acids:10%	0.0297	0.999996834888917	1439.94	1395	1219	1593	1437	1572	130.28	128.21
Rv0843	Rv0843	dehydrogenase	hypoxia_late:22%; ctl_stationary:11%	0.0337	0.999997552454093	1476.05	1339	1295	1282	1749	1755	27.82	26.97
Rv0990c	Rv0990c	hypothetical protein	ctl_stationary:22%; hypoxia_fatty_acids:18%	0.0309	0.999995397113185	1481.69	1450	1398	1424	1561	1580	68.46	67.14
esxV	Rv3619c	ESAT-6 like protein EsxV	ctl_exponential:9%	0.0225	0.9999547595579	1514.33	1740	1704	1522	1391	1244	1526.76	1508.73
mesT	Rv3176c	epoxide hydrolase MesT	hypoxia_late:16%; PBS_RIF_DDmtb:14%; hypoxia_fatty_acids:10%	0.0387	0.999999406561533	1478.52	1313	1360	1509	1594	1630	13.61	13.24
Rv2015c	Rv2015c	hypothetical protein	zinc_limitation:17%; hypoxia_late:12%	0.0255	0.999986046235624	1487.37	1370	1576	1464	1533	1498	151.65	149.12
