GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_RIF	Rv0827c_DMSO_RIF
fadE19	Rv2500c	acyl-CoA dehydrogenase FadE19	microaerophilic:24%; low_iron:10%	0.141	0.613166832696296	972.79	967	1082	1036	1030	766	188.57	169.49
tesA	Rv2928	thioesterase TesA	ctl_exponential:13%; hypoxia_late:10%; human_sputum:10%	0.1507	0.689116731739404	973.55	928	1012	1001	1055	877	137.66	123.03
Rv3916c	Rv3916c	hypothetical protein	microaerophilic:18%; ctl_stationary:11%	0.1511	0.661796224142071	984.39	920	1074	1054	1056	830	175.44	156.63
vapC35	Rv1962c	ribonuclease VapC35	PBS_RIF_DDmtb:10%	0.1771	0.872978409825332	989.32	916	920	946	1148	1026	91.05	79.76
purB	Rv0777	adenylosuccinate lyase PurB	hypoxia_late:8%	0.1401	0.609265560322303	975.25	966	1084	1044	1049	753	189.53	170.48
MT0036	MT0036	hypothetical protein	hypoxia_late:16%; ctl_stationary:14%	0.2651	0.992449155773714	1027.9	1048	771	809	1236	1337	18.77	15.07
Rv0947c	Rv0947c	mycolyl transferase	INDIGO_exponential:11%	0.1914	0.917736106141824	1009.93	857	821	864	1317	1245	66.25	57.28
recR	Rv3715c	recombination protein RecR	zinc_limitation:9%	0.1444	0.6591739407124	980.86	948	1054	1058	1086	776	474.25	425.82
vapB31	Rv0748	antitoxin VapB31	human_sputum:11%	0.1511	0.72813424412403	983.85	917	986	1002	1102	918	386.03	344.78
PE_PGRS46	Rv2634c	PE-PGRS family protein PE_PGRS46	hypoxia_late:43%	0.1497	0.688316082591163	987.04	919	1042	1046	1064	872	48.46	43.23
hsaC	Rv3568c	extradiol dioxygenase	hypoxia_fatty_acids:19%	0.1526	0.722815419138904	989.81	961	1069	1055	1039	835	134.72	120.14
nei	Rv3297	endonuclease VIII	hypoxia_late:12%	0.158	0.766030567614909	992.67	903	989	1004	1110	963	80.94	71.94
PPE54	Rv3343c	PPE family protein PPE54	hypoxia_late:36%	0.2052	0.942368789413356	1018.69	1077	1109	999	919	995	42.26	36.17
ephB	Rv1938	epoxide hydrolase EphB	hypoxia_late:25%	0.2033	0.931867943796021	1024.04	931	970	931	1205	1097	16.34	13.85
Rv1019	Rv1019	transcriptional regulator	ctl_stationary:10%	0.1567	0.773505086302096	990.84	897	969	998	1125	972	116.87	103.91
PE36	Rv3893c	PE family protein PE36	zinc_limitation:12%; acidic:10%	0.1688	0.856065101422318	999.25	907	908	884	1208	1110	139.05	122.58
Rv1461	Rv1461	hypothetical protein	low_iron:20%; zinc_limitation:15%; nutrient_limitation:12%	0.1327	0.571325899786385	988.05	1006	1122	1075	1081	691	357.17	323.2
fadD29	Rv2950c	long-chain-fatty-acid--AMP ligase FadD29	INDIGO_exponential:14%; hypoxia_rar:12%	0.1353	0.581005542564875	990.17	985	1120	1093	1083	703	638.51	576.69
dnaE2	Rv3370c	error-prone DNA polymerase	microaerophilic:27%; hypoxia_late:18%; zinc_limitation:12%	0.1547	0.763626047686972	992.87	950	1015	1095	1088	829	47.37	42.14
Rv2688c	Rv2688c	antibiotic ABC transporter ATP-binding protein	PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.1612	0.824291812431475	1002.19	905	944	940	1176	1058	47.87	42.33
Rv2008c	Rv2008c	hypothetical protein	hypoxia_late:20%; ctl_stationary:16%	0.2085	0.950122703744388	1033.47	940	960	1025	1224	1030	14.8	12.53
MT0910.4	MT0910.4	hypothetical protein	PBS_RIF_DDmtb:27%; hypoxia_late:23%; ctl_stationary:14%	0.3672	0.999851910970427	1014.28	1286	337	707	1402	1680	5.33	3.35
Rv0774c	Rv0774c	hypothetical protein	hypoxia_late:10%	0.1631	0.834720526301154	1013.02	1003	1065	1084	1073	850	122.46	108.46
MT3814.1	MT3814.1	hypothetical protein	hypoxia_late:57%	0.422	0.999630170270196	1100.66	1530	695	524	1449	1556	2.23	0.88
leuU	Rvnt22	tRNA-Leu	hypoxia_late:34%	0.3654	0.999805659164609	1024.04	1331	439	545	1416	1730	7.99	5.3
Rv0479c	Rv0479c	membrane protein	human_sputum:9%	0.1404	0.655713055399008	1004.49	982	1128	1096	1034	800	187.13	168.36
Rv3210c	Rv3210c	hypothetical protein	INDIGO_exponential:12%; tyloxopol:11%	0.1511	0.743939269728672	1013.89	935	1066	1030	1115	930	122.18	108.94
echA18	Rv3373	enoyl-CoA hydratase	hypoxia_late:16%	0.1457	0.740016309838767	995.92	959	1034	972	1093	926	147.82	132.46
Rv0792c	Rv0792c	transcriptional regulator	hypoxia_fatty_acids:60%	0.2171	0.959632134823978	1056.14	1015	1094	1034	1156	986	35.02	29.63
Rv1501	Rv1501	hypothetical protein	human_sputum:11%	0.1578	0.810759520807019	1016.48	942	1039	1020	1132	955	91.29	80.86
MT2168	MT2168	hypothetical protein	acidic_tyloxopol:10%	0.2185	0.977670192498814	1029.57	956	777	895	1332	1241	95.17	80.56
vapC2	Rv0301	ribonuclease VapC2	INDIGO_exponential:12%	0.148	0.74136580415333	1012.36	937	1056	1026	1117	932	230.36	205.86
uspA	Rv2316	sugar ABC transporter permease UspA	hypoxia_late:35%; ctl_stationary:13%	0.2144	0.970805826392983	1034.98	984	891	898	1207	1220	12.31	10.31
eccD2	Rv3887c	ESX-2 secretion system protein EccD	hypoxia_late:19%	0.1421	0.652552343728292	1018.72	962	1167	1126	1077	786	144.52	129.76
sodA	Rv3846	superoxide dismutase	acidic_tyloxopol:12%	0.1356	0.662086574027259	998.97	996	1097	1062	1063	793	381.32	344.41
Rv2075c	Rv2075c	hypothetical protein	PBS_RIF_DDmtb:12%	0.1354	0.668529399676886	998.06	989	1087	1061	1100	773	222.36	200.83
Rv0224c	Rv0224c	methyltransferase	hypoxia_late:13%	0.1621	0.845797325260146	1021.42	889	955	951	1243	1088	52.18	46.05
canB	Rv3588c	carbonic anhydrase	zinc_limitation:19%; human_sputum:10%	0.1649	0.878024557017596	1015.08	1081	1059	1017	1057	869	141.4	124.89
parD1	Rv1960c	antitoxin ParD1	hypoxia_fatty_acids:34%	0.172	0.887775963743316	1031.71	881	914	965	1240	1184	101.35	89.25
Rv0823c	Rv0823c	tRNA-dihydrouridine synthase	low_iron:14%; INDIGO_exponential:11%	0.1318	0.606628047153283	1016.07	1020	1164	1137	1090	707	582.62	527.48
Rv3661	Rv3661	hypothetical protein	low_iron:10%	0.1972	0.947904577566069	1040.62	1050	1063	1063	1120	913	56.01	48.23
Rv0426c	Rv0426c	transmembrane protein	acidic:10%	0.1354	0.672867622735114	1001.93	992	1088	1073	1098	778	683.36	617.56
Rv2716	Rv2716	hypothetical protein	human_sputum:9%	0.1773	0.931762609360246	1017.36	1145	1060	1011	1037	846	113.64	99.48
Rv0368c	Rv0368c	hypothetical protein	hypoxia_late:51%	0.2314	0.98955720731104	1050.03	1134	985	952	1139	1047	11.54	9.52
Rv2434c	Rv2434c	transmembrane protein	hypoxia_late:17%	0.1636	0.854424422769392	1038.35	973	1083	1078	1126	938	48.86	43.08
Rv3695	Rv3695	membrane protein	hypoxia_late:10%	0.1474	0.764111970511347	1021.34	965	1071	1019	1105	951	88.95	79.53
Rv2369c	Rv2369c	hypothetical protein	acidic_tyloxopol:18%; butyrate:12%	0.1989	0.964621550557967	1031.8	999	890	921	1230	1139	61.3	52.8
PPE47	Rv3021c	PPE family protein	hypoxia_late:49%	0.2364	0.985827284815871	1075.47	1131	1160	995	1134	965	20.21	16.76
vapC39	Rv2530c	ribonuclease VapC39	INDIGO_exponential:12%	0.1578	0.841732728346323	1030.99	949	1020	1009	1192	993	141.66	125.77
MT1945	MT1945	hypothetical protein	human_sputum:16%; PBS_RIF_DDmtb:14%; hypoxia_late:13%	0.2311	0.990929000354995	1051.69	1058	811	808	1326	1318	17.06	14.04
Rv3749c	Rv3749c	hypothetical protein	acidic_tyloxopol:14%	0.1573	0.825162419604443	1041.34	925	1031	1022	1186	1051	99.81	88.61
Rv0472c	Rv0472c	HTH-type transcriptional regulator	INDIGO_exponential:11%	0.1385	0.705542662724516	1023.96	990	1126	1080	1084	852	238.3	214.7
Rv2172c	Rv2172c	hypothetical protein	zinc_limitation:12%	0.1341	0.70364980151334	1018.68	1010	1115	1048	1095	838	219.29	198.16
Rv0891c	Rv0891c	hypothetical protein	hypoxia_late:16%	0.1953	0.946888663577879	1067.53	1004	1079	1082	1195	984	41.87	36.08
cysD	Rv1285	sulfate adenylyltransferase subunit 2	hypoxia_fatty_acids:28%; nutrient_limitation:16%; acidic_tyloxopol:12%	0.1653	0.88426389732092	1046.65	932	1001	1003	1255	1056	44.18	38.81
dhaA	Rv2579	haloalkane dehalogenase	zinc_limitation:12%; hypoxia_late:11%	0.1459	0.791475542621992	1026.61	968	1049	1014	1127	979	88.2	78.97
MT1838.1	MT1838.1	hypothetical protein	hypoxia_late:17%	0.2034	0.968274406981365	1053.02	947	833	899	1345	1293	35.18	30.02
galTa	Rv0618	galactose-1-phosphate uridylyltransferase galTa	hypoxia_late:23%	0.1609	0.864824521261151	1048.76	878	975	983	1302	1131	54.41	47.99
Rv0135c	Rv0135c	transcriptional regulator	hypoxia_fatty_acids:13%	0.1585	0.840970935480574	1054	979	1130	1101	1151	919	183.11	162.22
MT3207	MT3207	hypothetical protein	hypoxia_late:42%; ctl_stationary:13%; microaerophilic:12%; PBS_RIF_DDmtb:11%	0.3983	0.999856074812015	1109.9	1429	636	719	1408	1538	5.55	3.45
Rv0887c	Rv0887c	hypothetical protein	low_iron:21%; PBS_RIF_DDmtb:13%	0.1926	0.964640160052039	1050.38	1027	919	969	1260	1093	50.61	43.76
Rv0158	Rv0158	transcriptional regulator	human_sputum:14%	0.1696	0.900346674768182	1058.34	933	996	1045	1221	1108	51.98	45.74
Rv2777c	Rv2777c	hypothetical protein	PBS_RIF_DDmtb:9%	0.1526	0.861992827086863	1044.33	1111	1114	1110	1078	825	133.43	119.04
erg3	Rv1814	membrane-bound C-5 sterol desaturase	PBS_RIF_DDmtb:14%	0.1494	0.848439689665017	1033.19	960	992	948	1196	1080	56.62	50.54
mazE3	Rv1103c	antitoxin MazE3	ctl_stationary:12%	0.1738	0.932414597220272	1061.53	954	938	964	1285	1190	69.68	61.2
espG2	Rv3889c	ESX-2 secretion-associated protein EspG2	human_sputum:9%	0.1533	0.854819189034742	1055.96	994	1095	1083	1157	957	107.04	95.16
Rv1135A	Rv1135A	acetyl-CoA acetyltransferase	PBS_RIF_DDmtb:39%; hypoxia_late:27%; ctl_stationary:11%	0.3611	0.999753308206416	1122.25	1339	753	890	1181	1542	5.6	3.72
Rv0572c	Rv0572c	hypothetical protein	ctl_stationary:17%; hypoxia_hypoxic:13%; hypoxia_late:11%	0.201	0.970279604245963	1074.3	1029	981	1007	1263	1103	65.23	56.03
Rv3179	Rv3179	hypothetical protein	hypoxia_late:18%; ctl_stationary:16%	0.1576	0.87428184672638	1059.47	958	1044	1068	1219	1017	41.05	36.35
Rv2639c	Rv2639c	integral membrane protein	ctl_stationary:13%	0.1537	0.877231279256237	1050.28	945	956	980	1268	1120	131.81	117.42
Rv2118c	Rv2118c	tRNA (adenine(58)-N(1))-methyltransferase	hypoxia_late:12%	0.1588	0.869645918837231	1072.51	952	1090	1091	1223	1016	83.99	74.25
MT2438	MT2438	hypothetical protein	acidic_tyloxopol:16%; PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.2713	0.999177531593677	1072.5	1267	748	751	1266	1430	26.66	21.48
Rv0148	Rv0148	short-chain type dehydrogenase/reductase	acidic:9%	0.1296	0.731682828996664	1046.92	1039	1137	1115	1118	841	292.02	264.91
Rv2492	Rv2492	hypothetical protein	hypoxia_late:28%; ctl_stationary:19%	0.228	0.993372683603058	1075.62	1177	974	911	1228	1105	16.2	13.44
TB18.6	Rv2140c	hypothetical protein	acidic_tyloxopol:8%	0.1437	0.816533071029541	1058.93	983	1081	1088	1147	1000	153.2	137.61
Rv2620c	Rv2620c	transmembrane protein	low_iron:18%; butyrate:14%; microaerophilic:13%; ctl_stationary:11%; hypoxia_fatty_acids:11%	0.1909	0.960639509351913	1093.3	1040	1073	1039	1259	1063	83.81	72.38
espI	Rv3876	ESX-1 secretion-associated protein EspI	human_sputum:15%	0.1248	0.697982076387038	1043.18	1063	1176	1112	1121	771	213.68	194.39
MTS1180	MTS1180	small intergenic RNA	acidic_tyloxopol:10%	0.1584	0.893740842234371	1059.53	971	1007	1033	1198	1096	111.07	98.75
pimE	Rv1159	polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside	hypoxia_late:8%	0.165	0.938735165390901	1054.34	1205	1113	1081	1061	831	83.44	73.69
vapB25	Rv0277A	hypothetical protein	tyloxopol:11%; butyrate_plus_glucose:10%	0.1358	0.756149882058043	1060.16	986	1131	1178	1155	868	1031.39	932.28
Rv3204	Rv3204	DNA-methyltransferase	PBS_RIF_DDmtb:9%	0.1693	0.946954006599264	1059.42	1046	953	1021	1220	1066	133.17	117.44
mtc28	Rv0040c	hypothetical protein	tyloxopol:14%; hypoxia_hypoxic:13%	0.1373	0.81317831893977	1051.06	1023	1068	1168	1169	845	826.3	745.85
Rv3440c	Rv3440c	hypothetical protein	hypoxia_late:16%	0.1584	0.881412364245543	1074.04	914	1004	1006	1306	1162	123.33	109.31
Rv3755c	Rv3755c	hypothetical protein	high_iron:8%	0.1403	0.816152414575631	1061.77	1030	1116	1130	1124	917	229.33	206.47
MT1556.1	MT1556.1	hypothetical protein	human_sputum:15%; ctl_stationary:13%; INDIGO_exponential:10%	0.2496	0.997976216327666	1088.47	1152	768	861	1323	1413	32.6	26.94
Rv3833	Rv3833	AraC family transcriptional regulator	hypoxia_fatty_acids:19%; butyrate:12%	0.2066	0.986792454579445	1081.58	1178	1036	954	1187	1062	27.34	23.25
Rv1508A	Rv1508A	hypothetical protein	human_sputum:14%; ctl_stationary:12%	0.1877	0.969397931868545	1079.14	978	877	1053	1296	1219	48.87	42.49
Rv2370c	Rv2370c	hypothetical protein	hypoxia_late:29%; human_sputum:10%	0.2214	0.991397907576986	1103.87	1231	1162	1049	1146	943	22.29	18.76
MT3102	MT3102	hypothetical protein	hypoxia_late:59%	0.2827	0.999784140136335	1057.65	1377	506	555	1498	1660	12.7	9.78
PE23	Rv2328	PE family protein PE23	PBS_RIF_DDmtb:15%	0.1475	0.86254853609387	1065.15	991	1057	1076	1188	1019	61.12	54.6
PPE36	Rv2108	PPE family protein PPE36	human_sputum:18%; hypoxia_hypoxic:10%	0.1629	0.910461123965407	1084.57	1009	1096	1064	1193	1065	59.63	52.66
espF	Rv3865	ESX-1 secretion-associated protein EspF	microaerophilic:10%	0.1268	0.746155259512062	1056.16	1052	1151	1108	1142	844	925.46	841.03
Rv3698	Rv3698	hypothetical protein	hypoxia_late:26%	0.2235	0.986218745541648	1137.74	1203	1321	1087	1150	945	17.08	14.29
Rv2791c	Rv2791c	transposase	zinc_limitation:30%; cholesterol:12%	0.1311	0.761611429398464	1071.46	1016	1143	1176	1201	843	808.34	732.75
Rv1831	Rv1831	hypothetical protein	low_iron:7%	0.1336	0.808453695615645	1062.2	1026	1103	1077	1149	961	465.83	421.42
rfbD	Rv3783	O-antigen/lipopolysaccharide ABC transporter permease RfbD	INDIGO_exponential:12%	0.1311	0.759722971954932	1073.86	1013	1161	1152	1161	896	276.72	250.36
Rv0216	Rv0216	hydratase	hypoxia_late:15%	0.1522	0.878903462048148	1079.39	970	1043	1041	1233	1119	40.26	35.84
Rv0180c	Rv0180c	transmembrane protein	zinc_limitation:10%	0.1328	0.787411672727878	1072.97	1019	1142	1147	1165	904	164.3	148.66
Rv3137	Rv3137	histidinol-phosphatase	acidic:19%; zinc_limitation:17%; PBS_RIF_DDmtb:11%	0.1352	0.790755911576202	1079.9	1002	1147	1159	1191	914	279.36	252.34
infA	Rv3462c	translation initiation factor IF-1	human_sputum:13%	0.1364	0.83967936267476	1071.97	1082	1133	1167	1160	837	2390.64	2158.22
rpoC	Rv0668	DNA-directed RNA polymerase subunit beta'	PBS_RIF_DDmtb:21%; nutrient_limitation:19%	0.1228	0.71376053242833	1069.06	1068	1211	1179	1137	781	1373.66	1251.77
MT0903	MT0903	hypothetical protein	hypoxia_late:16%; ctl_stationary:10%	0.1806	0.969979757844577	1097.38	1049	997	989	1312	1156	38.82	33.7
Rv0817c	Rv0817c	hypothetical protein	hypoxia_late:16%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.1897	0.977049823596606	1108.73	1057	1016	1052	1288	1141	26.43	22.79
Rv3351c	Rv3351c	hypothetical protein	hypoxia_late:31%; human_sputum:16%; ctl_stationary:12%	0.2531	0.996282585904536	1155.12	1113	1058	1116	1249	1246	9.24	7.4
Rv0850	Rv0850	transposase	microaerophilic:27%; hypoxia_late:14%	0.2014	0.988064919645249	1109.45	1074	907	970	1392	1239	38.24	32.64
Rv1359	Rv1359	transcriptional regulator	hypoxia_late:9%	0.1551	0.91620371004774	1092.76	995	1032	1102	1227	1115	57.19	50.91
ilvB2	Rv3470c	acetolactate synthase large subunit	hypoxia_late:30%; ctl_stationary:12%	0.1867	0.961715393363349	1132.05	1066	1194	1128	1245	1034	21.58	18.6
Rv2717c	Rv2717c	hypothetical protein	PBS_RIF_DDmtb:14%	0.1687	0.952522354081765	1104.45	1005	1025	1010	1350	1151	63.28	55.47
phoY2	Rv0821c	phosphate-transport system transcriptional regulator PhoY2	nutrient_limitation:15%	0.1236	0.747868771720595	1073	1072	1188	1162	1153	814	681.91	621.22
Rv1586c	Rv1586c	phage integrase	hypoxia_fatty_acids:36%; butyrate:12%	0.1635	0.935005284809461	1109.53	1078	1156	1119	1211	990	53.11	46.77
Rv0681	Rv0681	transcriptional regulator	ctl_stationary:24%; microaerophilic:15%	0.1326	0.806248895890624	1093.58	1014	1158	1138	1199	968	235.35	212.56
murD	Rv2155c	UDP-N-acetylmuramoylalanine--D-glutamate ligase	microaerophilic:32%	0.1238	0.742235029150431	1079.8	1070	1210	1180	1158	808	292.29	266.08
Rv3530c	Rv3530c	oxidoreductase	hypoxia_fatty_acids:44%; human_sputum:13%	0.2151	0.991920305358545	1133.04	1101	1011	1098	1297	1168	17.59	14.81
prfA	Rv1299	peptide chain release factor PrfA	PBS_RIF_DDmtb:14%	0.1287	0.797008053694862	1088.18	1085	1202	1189	1174	817	457.9	415.34
Rv3773c	Rv3773c	hypothetical protein	hypoxia_late:9%	0.1662	0.948834619355017	1114.1	1079	1124	1097	1232	1043	78.5	69.2
Rv1648	Rv1648	transmembrane protein	PBS_RIF_DDmtb:14%	0.1308	0.809964066092468	1099.11	1041	1193	1151	1166	954	167.9	152.03
Rv3591c	Rv3591c	hydrolase	hypoxia_late:28%; PBS_RIF_DDmtb:10%	0.1847	0.978765214864538	1114.17	1055	982	1031	1301	1218	25.8	22.29
Rv0110	Rv0110	integral membrane protein	hypoxia_late:17%	0.1614	0.945553466759135	1107.22	1084	1086	1113	1217	1040	69.53	61.56
arfA	Rv0899	peptidoglycan-binding protein ArfA	hypoxia_late:11%	0.1517	0.876139945965649	1130.21	976	1189	1142	1270	1085	57.66	51.26
vapC21	Rv2757c	ribonuclease VapC21	human_sputum:16%; hypoxia_late:12%	0.1777	0.97510651666156	1110.53	1062	968	1015	1314	1212	54.02	47.17
PPE62	Rv3533c	PPE family protein PPE62	microaerophilic:31%; human_sputum:16%; hypoxia_late:14%	0.1934	0.966810988684137	1156.75	1001	1199	1140	1204	1248	31.12	26.79
Rv1990A	Rv1990A	dehydrogenase	hypoxia_late:12%; PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.1875	0.980408775256642	1122.81	993	900	962	1443	1371	36.34	31.31
Rv2975c	Rv2975c	hypothetical protein	hypoxia_late:15%	0.1342	0.853606353524678	1099	1032	1110	1106	1202	1049	352.18	318.47
Rv3236c	Rv3236c	integral membrane transport protein	acidic:10%	0.1425	0.869828935755602	1114.09	1018	1169	1201	1229	966	109.92	98.66
Rv0575c	Rv0575c	oxidoreductase	hypoxia_late:15%; ctl_stationary:12%; hypoxia_fatty_acids:12%; cholesterol:12%	0.1816	0.96791118231909	1135.65	1053	1121	1079	1298	1135	19.79	17.1
Rv1431	Rv1431	hypothetical protein	hypoxia_late:16%	0.1318	0.845004322813351	1103.18	1035	1144	1114	1203	1025	52.61	47.52
Rv2106	Rv2106	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1829	0.969572687783846	1140.18	1059	1138	1065	1316	1132	22.24	19.23
Rv3074	Rv3074	hypothetical protein	zinc_limitation:24%; hypoxia_late:11%	0.1263	0.813626253278354	1100.45	1043	1150	1190	1212	921	198.43	180.42
Rv3549c	Rv3549c	short-chain type dehydrogenase/reductase	human_sputum:32%; hypoxia_fatty_acids:11%; microaerophilic:11%	0.1632	0.958682190706999	1111.3	1044	1005	1089	1328	1104	68.21	60.09
htpX	Rv0563	protease HtpX	hypoxia_fatty_acids:23%; ctl_stationary:10%	0.1249	0.803236319140996	1102.4	1075	1206	1157	1154	931	208.32	189.42
mprB	Rv0982	two component histidine-protein kinase/phosphatase MprB	microaerophilic:16%; nutrient_limitation:11%	0.1176	0.754657853113116	1093.48	1118	1232	1163	1182	802	324.28	296.52
tam	Rv0294	trans-aconitate methyltransferase	hypoxia_late:15%	0.1669	0.959424909262227	1125.39	1024	1026	1086	1329	1176	34.96	30.77
Rv1371	Rv1371	membrane protein	hypoxia_late:50%; ctl_stationary:16%	0.3991	0.999305538997768	1294.96	1333	1709	1324	838	1350	3.43	2.28
pflA	Rv3138	pyruvate formate lyase activating protein PflA	human_sputum:9%	0.1424	0.886189810993653	1115.21	1064	1185	1155	1177	1001	77.06	69.14
crcB	Rv3070	fluoride ion transporter CrcB	hypoxia_late:18%; ctl_stationary:10%	0.1649	0.959729902704293	1122.89	981	945	936	1444	1361	43.37	38.13
Rv2307A	Rv2307A	hypothetical protein	hypoxia_late:17%; human_sputum:13%	0.2651	0.999412327211784	1158.29	1484	848	778	1391	1394	16.24	12.96
lprP	Rv0962c	lipoprotein LprP	hypoxia_late:12%; microaerophilic:12%	0.1659	0.957889141945907	1143.27	1021	1075	1042	1371	1226	36.05	31.63
MT3767.3	MT3767.3	hypothetical protein	hypoxia_late:23%; PBS_RIF_DDmtb:16%; ctl_stationary:14%; human_sputum:13%	0.3501	0.99989494043996	1209.16	1536	718	986	1394	1532	4.97	3.17
Rv1729c	Rv1729c	S-adenosylmethionine-dependent methyltransferase	hypoxia_late:13%	0.1526	0.927778019623974	1139.08	1012	1132	1131	1320	1111	59.35	52.7
lpqG	Rv3623	lipoprotein LpqG	hypoxia_late:10%	0.1271	0.846959493278495	1115.82	1069	1174	1136	1190	1015	157.39	142.93
MT1054.1	MT1054.1	hypothetical protein	butyrate_plus_glucose:13%; acidic_tyloxopol:11%	0.1854	0.989628617434582	1133.3	1071	868	1043	1436	1292	81.44	70.77
Rv1434	Rv1434	hypothetical protein	cholesterol:15%; high_iron:11%	0.1522	0.95162285797389	1114.56	1095	1013	1164	1278	1033	584.56	522.34
moxR2	Rv3692	methanol dehydrogenase transcriptional regulator MoxR	hypoxia_late:10%	0.1228	0.830022882100597	1111.62	1086	1175	1156	1185	964	166.91	152.09
Rv0990c	Rv0990c	hypothetical protein	ctl_stationary:22%; hypoxia_fatty_acids:18%	0.1402	0.903118037357324	1123.34	1011	1089	1090	1289	1147	76.11	68.46
Rv2248	Rv2248	hypothetical protein	INDIGO_exponential:10%	0.1295	0.860230088600611	1123.07	1038	1146	1150	1246	1042	135.59	122.83
narS	Rv0845	sensor histidine kinase NarS	hypoxia_late:13%	0.1707	0.97596228404669	1140.65	1225	1208	1118	1178	983	40.96	35.91
Rv1101c	Rv1101c	hypothetical protein	tyloxopol:9%	0.1296	0.862543558806773	1127.98	1107	1218	1224	1168	936	158.19	143.44
galU	Rv0993	UTP--glucose-1-phosphate uridylyltransferase	high_iron:10%	0.1216	0.826617162883495	1117.91	1091	1200	1174	1197	939	223.2	203.49
glnT	Rvnt16	tRNA-Gln	hypoxia_late:19%; butyrate:10%	0.2279	0.999152005656878	1134.12	1250	697	777	1495	1607	24.14	20.08
Rv3468c	Rv3468c	dTDP-glucose 4,6-dehydratase	hypoxia_late:23%; ctl_stationary:11%	0.2009	0.992253260804484	1158.56	1247	1197	1070	1231	1055	22.36	19.07
Rv0793	Rv0793	monooxygenase	hypoxia_fatty_acids:36%; ctl_stationary:13%; hypoxia_late:12%	0.1902	0.988984253577197	1156.83	1054	918	923	1532	1427	22.52	19.32
Rv0885	Rv0885	hypothetical protein	low_iron:18%; hypoxia_hypoxic:13%; acidic:12%	0.1313	0.89257968791105	1120.1	1122	1145	1187	1213	944	166.75	150.98
MT1627	MT1627	hypothetical protein	tyloxopol:10%	0.1525	0.956998559239584	1128.7	1017	959	1060	1372	1262	293.93	262.33
mpr12	Rvnc0016	fragment of putative small regulatory RNA	human_sputum:12%	0.2284	0.999306750850625	1129.26	1284	739	787	1509	1452	33.87	28.22
embR	Rv1267c	transcriptional regulator EmbR	ctl_stationary:23%; hypoxia_late:17%; PBS_RIF_DDmtb:11%	0.1433	0.925300321888581	1135.44	1007	1072	1047	1339	1229	29.97	26.8
cysA2	Rv0815c	thiosulfate sulfurtransferase CysA	zinc_limitation:11%	0.1262	0.835188481655292	1140.7	1073	1258	1203	1200	981	177.23	160.95
Rv3519	Rv3519	hypothetical protein	hypoxia_fatty_acids:12%	0.1268	0.862075927288091	1134.25	1147	1247	1219	1173	903	350.91	318.89
yrbE3A	Rv1964	integral membrane protein	hypoxia_late:20%; microaerophilic:13%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.2033	0.994657265562959	1171.94	1171	1053	1117	1272	1254	15.3	13
argA	Rv2747	L-glutamate alpha-N-acetyltranferase	hypoxia_late:11%; human_sputum:11%	0.1399	0.909854765754952	1143.61	998	1104	1104	1357	1170	100.05	89.82
MT1070.1	MT1070.1	hypothetical protein	PBS_RIF_DDmtb:13%; ctl_stationary:12%	0.2053	0.997182014844195	1145.48	1153	839	910	1518	1382	27.54	23.35
cysA3	Rv3117	thiosulfate sulfurtransferase	zinc_limitation:11%	0.1256	0.838784158263099	1147.48	1080	1269	1214	1209	978	178.43	162.14
Rv1687c	Rv1687c	ABC transporter ATP-binding protein	hypoxia_late:18%; PBS_RIF_DDmtb:13%	0.1801	0.991617970877056	1146.52	1192	1009	1071	1336	1138	30.89	26.91
PE4	Rv0160c	PE family protein PE4	hypoxia_late:42%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.2818	0.998282956565464	1276.59	1227	1516	1233	1112	1312	8.45	6.67
leuS	Rv0041	leucine--tRNA ligase	tyloxopol:8%	0.1167	0.803504752694974	1141.82	1123	1291	1242	1214	866	124.35	113.68
Rv3055	Rv3055	TetR family transcriptional regulator	hypoxia_late:15%	0.1953	0.994397643531816	1166.33	1239	1106	1067	1304	1124	34.18	29.35
mpr6	Rvnc0009	fragment of putative small regulatory RNA	hypoxia_fatty_acids:11%	0.1565	0.964630575435634	1141.21	1034	990	982	1452	1285	225.8	200.64
vapC5	Rv0627	ribonuclease VapC5	PBS_RIF_DDmtb:10%	0.1463	0.958856473976398	1132.68	1139	1040	1184	1248	1059	193.33	173.5
MTS2362	MTS2362	small intergenic RNA	human_sputum:18%	0.1389	0.929591781985938	1141.13	1037	1070	1005	1384	1231	123.64	111.19
whiB6	Rv3862c	transcriptional regulator WhiB6	hypoxia_fatty_acids:39%; zinc_limitation:24%	0.2788	0.999542113468165	1220.32	1418	1108	1125	1131	1336	10.33	8.11
MT1285	MT1285	hypothetical protein	tyloxopol:10%	0.1706	0.986357952743264	1149.17	1112	949	1023	1422	1271	166.35	146.31
