"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"estrogen biosynthetic process",4,0.04468,"1.00e+00",0.01184,"1.00e+00",-0.03283,"1.00e+00"
"negative regulation of fatty acid oxidation",2,0.04449,"1.00e+00",-0.02895,"1.00e+00",0.01555,"1.00e+00"
"acyl-CoA metabolic process",4,0.04434,"1.00e+00",0.01764,"1.00e+00",-0.02671,"1.00e+00"
"defense response to Gram-positive bacterium",2,0.04023,"7.86e-01",-0.02212,"1.00e+00",0.01812,"7.86e-01"
"biological_process",11,0.04405,"1.00e+00",0.03332,"1.00e+00",-0.01072,"1.00e+00"
"retinoic acid metabolic process",4,0.04395,"1.00e+00",0.00545,"1.00e+00",-0.03849,"1.00e+00"
"negative regulation of ubiquitin protein ligase activity",2,0.04377,"1.00e+00",-0.03196,"1.00e+00",0.01181,"1.00e+00"
"negative regulation of ubiquitin-dependent protein catabolic process",2,0.04377,"1.00e+00",-0.03196,"1.00e+00",0.01181,"1.00e+00"
"ammonium homeostasis",2,0.04368,"1.00e+00",0.02372,"1.00e+00",-0.01996,"1.00e+00"
"intracellular iron ion homeostasis",7,0.04335,"1.00e+00",0.01199,"1.00e+00",-0.03136,"1.00e+00"
"mitochondrial tRNA methylation",2,0.04301,"1.00e+00",0.02724,"1.00e+00",-0.01577,"1.00e+00"
"regulation of translational fidelity",2,0.04287,"1.00e+00",-0.01128,"1.00e+00",0.0316,"1.00e+00"
"rRNA methylation",2,0.04286,"1.00e+00",0.00743,"1.00e+00",-0.03544,"1.00e+00"
"intracellular protein transport",3,0.04258,"1.00e+00",0.01223,"1.00e+00",-0.03035,"1.00e+00"
"prostaglandin metabolic process",2,0.04245,"1.00e+00",-0.02622,"1.00e+00",0.01624,"1.00e+00"
"protein maturation",3,0.04229,"1.00e+00",0.01892,"1.00e+00",-0.02337,"1.00e+00"
"ovarian follicle development",2,0.03928,"9.00e-01",0.01697,"1.00e+00",-0.02231,"9.00e-01"
"response to superoxide",2,0.0394,"9.65e-01",0.01378,"1.00e+00",-0.02562,"9.65e-01"
"response to bacterium",4,0.04216,"1.00e+00",-0.028,"1.00e+00",0.01416,"1.00e+00"
"cellular response to oxidative stress",9,0.03919,"8.98e-01",0.02133,"8.98e-01",-0.01786,"1.00e+00"
"superoxide anion generation",2,0.0394,"9.65e-01",0.01378,"1.00e+00",-0.02562,"9.65e-01"
"oxidative demethylation",2,0.04154,"1.00e+00",-0.01989,"1.00e+00",0.02165,"1.00e+00"
"double-strand break repair",2,0.04142,"1.00e+00",-0.03535,"1.00e+00",0.00608,"1.00e+00"
"heme A biosynthetic process",6,0.03908,"9.33e-01",-0.01971,"9.33e-01",0.01938,"1.00e+00"
"response to hypoxia",12,0.04122,"1.00e+00",0.02003,"1.00e+00",-0.02119,"1.00e+00"
"regulation of aerobic respiration",2,0.03765,"4.89e-01",-0.01881,"1.00e+00",0.01884,"4.89e-01"
"heme O biosynthetic process",6,0.03908,"9.33e-01",-0.01971,"9.33e-01",0.01938,"1.00e+00"
"DNA methylation",2,0.04085,"1.00e+00",-0.02925,"1.00e+00",0.0116,"1.00e+00"
"manganese ion transmembrane transport",3,0.04057,"1.00e+00",0.01025,"1.00e+00",-0.03031,"1.00e+00"
"manganese ion transport",3,0.04057,"1.00e+00",0.01025,"1.00e+00",-0.03031,"1.00e+00"
"dopamine catabolic process",2,0.04055,"1.00e+00",-0.0268,"1.00e+00",0.01375,"1.00e+00"
"positive regulation of T cell proliferation",2,0.03871,"9.95e-01",0.01851,"1.00e+00",-0.0202,"9.95e-01"
"response to corticosterone",2,0.04055,"1.00e+00",-0.0268,"1.00e+00",0.01375,"1.00e+00"
"ether lipid biosynthetic process",4,0.04033,"1.00e+00",-0.02749,"1.00e+00",0.01283,"1.00e+00"
"antimicrobial humoral immune response mediated by antimicrobial peptide",2,0.04029,"1.00e+00",0.01225,"1.00e+00",-0.02804,"1.00e+00"
"erythrocyte differentiation",5,0.03571,"4.29e-01",0.00558,"1.00e+00",-0.03013,"4.29e-01"
"killing of cells of another organism",2,0.04029,"1.00e+00",0.01225,"1.00e+00",-0.02804,"1.00e+00"
"response to mercury ion",3,0.04012,"1.00e+00",-0.01975,"1.00e+00",0.02038,"1.00e+00"
"oxaloacetate metabolic process",3,0.04011,"1.00e+00",-0.02511,"1.00e+00",0.01499,"1.00e+00"
"porphyrin-containing compound biosynthetic process",3,0.03992,"1.00e+00",0.0182,"1.00e+00",-0.02172,"1.00e+00"
"cholesterol homeostasis",6,0.03961,"1.00e+00",0.0134,"1.00e+00",-0.02621,"1.00e+00"
"endoplasmic reticulum unfolded protein response",3,0.03961,"1.00e+00",-0.02299,"1.00e+00",0.01662,"1.00e+00"
"response to manganese ion",3,0.03953,"1.00e+00",-0.03928,"1.00e+00",0.00025,"1.00e+00"
"response to progesterone",2,0.0395,"1.00e+00",-0.01476,"1.00e+00",0.02474,"1.00e+00"
"regulation of neuron differentiation",2,0.03946,"1.00e+00",-0.01541,"1.00e+00",0.02405,"1.00e+00"
"ribosomal large subunit biogenesis",2,0.03946,"1.00e+00",-0.02305,"1.00e+00",0.01641,"1.00e+00"
"cellular response to tumor necrosis factor",3,0.03424,"4.23e-01",0.02328,"4.23e-01",-0.01096,"1.00e+00"
"mitochondrial ATP synthesis coupled electron transport",2,0.03891,"1.00e+00",0.02899,"1.00e+00",-0.00993,"1.00e+00"
"glycogen metabolic process",3,0.03881,"1.00e+00",-0.02779,"1.00e+00",0.01102,"1.00e+00"
"heparan sulfate proteoglycan catabolic process",2,0.03857,"1.00e+00",0.00103,"1.00e+00",-0.03753,"1.00e+00"
"intracellular calcium ion homeostasis",3,0.03838,"1.00e+00",0.01195,"1.00e+00",-0.02643,"1.00e+00"
"retinoid metabolic process",7,0.03823,"1.00e+00",0.03055,"1.00e+00",-0.00768,"1.00e+00"
"nucleotide-excision repair",3,0.03803,"1.00e+00",-0.02809,"1.00e+00",0.00994,"1.00e+00"
"somatic hypermutation of immunoglobulin genes",2,0.038,"1.00e+00",0.0345,"1.00e+00",-0.00351,"1.00e+00"
"amino acid catabolic process",2,0.03122,"3.49e-01",-0.01344,"3.49e-01",0.01777,"1.00e+00"
"positive regulation of mitochondrial membrane potential",2,0.03776,"1.00e+00",-0.02775,"1.00e+00",0.01001,"1.00e+00"
"response to cadmium ion",5,0.03774,"1.00e+00",-0.01781,"1.00e+00",0.01993,"1.00e+00"
"protein targeting",2,0.03772,"1.00e+00",-0.01991,"1.00e+00",0.01782,"1.00e+00"
"granulocyte differentiation",2,0.03771,"1.00e+00",0.02338,"1.00e+00",-0.01433,"1.00e+00"
"reactive oxygen species metabolic process",6,0.03105,"4.07e-01",0.01328,"1.00e+00",-0.01778,"4.07e-01"
"response to insulin",6,0.03758,"1.00e+00",0.02149,"1.00e+00",-0.01609,"1.00e+00"
"nucleobase-containing compound metabolic process",8,0.03735,"1.00e+00",0.01318,"1.00e+00",-0.02418,"1.00e+00"
"protein phosphorylation",2,0.0373,"1.00e+00",0.01966,"1.00e+00",-0.01764,"1.00e+00"
"regulation of oxidative phosphorylation",2,0.03678,"1.00e+00",-0.02291,"1.00e+00",0.01387,"1.00e+00"
"mitochondrial tRNA 3'-end processing",2,0.03636,"1.00e+00",-0.01249,"1.00e+00",0.02387,"1.00e+00"
"NADH metabolic process",5,0.03623,"1.00e+00",-0.02753,"1.00e+00",0.0087,"1.00e+00"
"positive regulation of dopamine metabolic process",3,0.03612,"1.00e+00",0.03017,"1.00e+00",-0.00595,"1.00e+00"
"cell redox homeostasis",7,0.03612,"1.00e+00",0.02438,"1.00e+00",-0.01173,"1.00e+00"
"methionine biosynthetic process",2,0.03608,"1.00e+00",0.01618,"1.00e+00",-0.01991,"1.00e+00"
"protein lipoylation",3,0.036,"1.00e+00",0.00922,"1.00e+00",-0.02678,"1.00e+00"
"phospholipid translocation",5,0.03586,"1.00e+00",0.00722,"1.00e+00",-0.02864,"1.00e+00"
"proton motive force-driven mitochondrial ATP synthesis",11,0.03567,"1.00e+00",0.02263,"1.00e+00",-0.01304,"1.00e+00"
"nucleoside monophosphate phosphorylation",2,0.03563,"1.00e+00",-0.01131,"1.00e+00",0.02432,"1.00e+00"
"glutathione metabolic process",7,0.03532,"1.00e+00",0.01258,"1.00e+00",-0.02274,"1.00e+00"
"base-excision repair, gap-filling",2,0.03529,"1.00e+00",0.01356,"1.00e+00",-0.02173,"1.00e+00"
"signal transduction",7,0.03523,"1.00e+00",0.00268,"1.00e+00",-0.03255,"1.00e+00"
"response to inorganic substance",4,0.03519,"1.00e+00",-0.01766,"1.00e+00",0.01752,"1.00e+00"
"positive regulation of protein localization to cell surface",3,0.03515,"1.00e+00",0.00853,"1.00e+00",-0.02662,"1.00e+00"
"positive regulation of G0 to G1 transition",2,0.03496,"1.00e+00",0.00976,"1.00e+00",-0.02519,"1.00e+00"
"positive regulation of G2/M transition of mitotic cell cycle",2,0.03496,"1.00e+00",0.00976,"1.00e+00",-0.02519,"1.00e+00"
"DNA topological change",3,0.03479,"1.00e+00",0.02258,"1.00e+00",-0.01221,"1.00e+00"
"cellular senescence",2,0.03475,"1.00e+00",0.02107,"1.00e+00",-0.01369,"1.00e+00"
"tetrahydrofolate interconversion",4,0.03466,"1.00e+00",-0.01391,"1.00e+00",0.02075,"1.00e+00"
"response to zinc ion",8,0.03433,"1.00e+00",-0.02849,"1.00e+00",0.00584,"1.00e+00"
"response to calcium ion",3,0.03419,"1.00e+00",-0.02662,"1.00e+00",0.00757,"1.00e+00"
"protein glycosylation",2,0.03384,"1.00e+00",0.02602,"1.00e+00",-0.00782,"1.00e+00"
"activation of cysteine-type endopeptidase activity involved in apoptotic process",4,0.03354,"1.00e+00",-0.01263,"1.00e+00",0.02091,"1.00e+00"
"apoptotic process",7,0.0334,"1.00e+00",0.00957,"1.00e+00",-0.02383,"1.00e+00"
"dopamine metabolic process",3,0.03328,"1.00e+00",-0.01786,"1.00e+00",0.01542,"1.00e+00"
"response to lipopolysaccharide",11,0.03327,"1.00e+00",-0.01363,"1.00e+00",0.01964,"1.00e+00"
"grooming behavior",3,0.03302,"1.00e+00",-0.01239,"1.00e+00",0.02063,"1.00e+00"
"positive regulation of canonical NF-kappaB signal transduction",5,0.03276,"1.00e+00",0.02335,"1.00e+00",-0.0094,"1.00e+00"
"mitochondrial electron transport, NADH to ubiquinone",9,0.03267,"1.00e+00",0.02465,"1.00e+00",-0.00802,"1.00e+00"
"osteoblast differentiation",6,0.03253,"1.00e+00",-0.01286,"1.00e+00",0.01967,"1.00e+00"
"positive regulation of nitric oxide biosynthetic process",4,0.03223,"1.00e+00",0.0149,"1.00e+00",-0.01733,"1.00e+00"
"glutamate metabolic process",5,0.03208,"1.00e+00",-0.01817,"1.00e+00",0.0139,"1.00e+00"
"vasculogenesis",3,0.03204,"1.00e+00",0.01314,"1.00e+00",-0.01891,"1.00e+00"
"cellular response to xenobiotic stimulus",2,0.03203,"1.00e+00",0.00109,"1.00e+00",-0.03094,"1.00e+00"
"fatty acid beta-oxidation",16,0.0319,"1.00e+00",0.01472,"1.00e+00",-0.01718,"1.00e+00"
"cellular response to fructose stimulus",2,0.03184,"1.00e+00",0.01094,"1.00e+00",-0.0209,"1.00e+00"
"positive regulation of signal transduction by p53 class mediator",3,0.03167,"1.00e+00",-0.01813,"1.00e+00",0.01354,"1.00e+00"
"sperm capacitation",2,0.0312,"1.00e+00",0.00785,"1.00e+00",-0.02335,"1.00e+00"
"response to selenium ion",3,0.0311,"1.00e+00",-0.01142,"1.00e+00",0.01968,"1.00e+00"
"positive regulation of neuron apoptotic process",2,0.03081,"1.00e+00",-0.02833,"1.00e+00",0.00249,"1.00e+00"
"transmembrane transport",9,0.0307,"1.00e+00",0.00579,"1.00e+00",-0.02491,"1.00e+00"
"protein homotrimerization",3,0.02532,"9.19e-01",0.0226,"9.19e-01",-0.00272,"1.00e+00"
"nucleobase-containing small molecule interconversion",3,0.03052,"1.00e+00",-0.01326,"1.00e+00",0.01726,"1.00e+00"
"positive regulation of heart rate",2,0.03047,"1.00e+00",-0.01403,"1.00e+00",0.01644,"1.00e+00"
"retinol metabolic process",9,0.03036,"1.00e+00",9e-04,"1.00e+00",-0.02946,"1.00e+00"
"peptide metabolic process",2,0.03022,"1.00e+00",0.00756,"1.00e+00",-0.02265,"1.00e+00"
"positive regulation of interleukin-2 production",2,0.03018,"1.00e+00",0.01205,"1.00e+00",-0.01813,"1.00e+00"
"fatty acid biosynthetic process",8,0.03015,"1.00e+00",-0.0226,"1.00e+00",0.00755,"1.00e+00"
"GMP biosynthetic process",8,0.03011,"1.00e+00",-0.00783,"1.00e+00",0.02228,"1.00e+00"
"chemical synaptic transmission",2,0.02996,"1.00e+00",0.01768,"1.00e+00",-0.01228,"1.00e+00"
"CMP biosynthetic process",2,0.0295,"1.00e+00",-0.02441,"1.00e+00",0.00509,"1.00e+00"
"post-embryonic development",5,0.02945,"1.00e+00",0.01392,"1.00e+00",-0.01553,"1.00e+00"
"chloride transmembrane transport",5,0.02933,"1.00e+00",0.01353,"1.00e+00",-0.01581,"1.00e+00"
"mitochondrial respiratory chain complex I assembly",8,0.02922,"1.00e+00",0.0223,"1.00e+00",-0.00691,"1.00e+00"
"positive regulation of catalytic activity",2,0.02921,"1.00e+00",-0.02607,"1.00e+00",0.00314,"1.00e+00"
"pentose-phosphate shunt, non-oxidative branch",2,0.0292,"1.00e+00",0.01406,"1.00e+00",-0.01515,"1.00e+00"
"cellular hyperosmotic salinity response",2,0.02324,"8.55e-01",-0.00352,"1.00e+00",0.01972,"8.55e-01"
"phosphate-containing compound metabolic process",4,0.02917,"1.00e+00",-0.00233,"1.00e+00",0.02684,"1.00e+00"
"coenzyme A biosynthetic process",3,0.02909,"1.00e+00",0.01795,"1.00e+00",-0.01114,"1.00e+00"
"heme biosynthetic process",8,0.02884,"1.00e+00",-0.02025,"1.00e+00",0.00859,"1.00e+00"
"response to light stimulus",2,0.02883,"1.00e+00",0.00894,"1.00e+00",-0.01989,"1.00e+00"
"ceramide metabolic process",4,0.02883,"1.00e+00",-0.02635,"1.00e+00",0.00249,"1.00e+00"
"lipid biosynthetic process",3,0.0285,"1.00e+00",0.02002,"1.00e+00",-0.00848,"1.00e+00"
"regulation of multicellular organism growth",4,0.02847,"1.00e+00",-0.01984,"1.00e+00",0.00863,"1.00e+00"
"glycosphingolipid catabolic process",2,0.02265,"6.68e-01",-0.01181,"1.00e+00",-0.0571,"6.68e-01"
"export across plasma membrane",3,0.02801,"1.00e+00",-0.00423,"1.00e+00",-0.06026,"1.00e+00"
"forebrain development",2,0.02793,"1.00e+00",0.01244,"1.00e+00",-0.01549,"1.00e+00"
"cell differentiation",4,0.02788,"1.00e+00",-0.01718,"1.00e+00",0.0107,"1.00e+00"
"protein catabolic process",2,0.02776,"1.00e+00",-0.02061,"1.00e+00",0.00716,"1.00e+00"
"negative regulation of transcription by RNA polymerase II",6,0.02772,"1.00e+00",0.01336,"1.00e+00",-0.01436,"1.00e+00"
"mRNA processing",5,0.02728,"1.00e+00",0.01861,"1.00e+00",-0.00868,"1.00e+00"
"response to ionizing radiation",2,0.02717,"1.00e+00",0.02331,"1.00e+00",-0.00386,"1.00e+00"
"aminoacyl-tRNA metabolism involved in translational fidelity",2,0.02695,"1.00e+00",0.01999,"1.00e+00",-0.00696,"1.00e+00"
"chaperone cofactor-dependent protein refolding",2,0.02695,"1.00e+00",-0.00876,"1.00e+00",0.01819,"1.00e+00"
"S-adenosylmethionine biosynthetic process",2,0.0267,"1.00e+00",0.00415,"1.00e+00",-0.02256,"1.00e+00"
"cerebral cortex development",3,0.02637,"1.00e+00",0.02438,"1.00e+00",-0.00199,"1.00e+00"
"positive regulation of transcription by RNA polymerase II",7,0.02635,"1.00e+00",0.01101,"1.00e+00",-0.01534,"1.00e+00"
"regulation of heart rate",2,0.02628,"1.00e+00",0.01061,"1.00e+00",-0.01567,"1.00e+00"
"triglyceride biosynthetic process",4,0.02603,"1.00e+00",0.01401,"1.00e+00",-0.01202,"1.00e+00"
"urea cycle",4,0.02583,"1.00e+00",0.0093,"1.00e+00",-0.01653,"1.00e+00"
"mitochondrial translation",28,0.0257,"1.00e+00",-0.01292,"1.00e+00",0.01277,"1.00e+00"
"neuron projection development",3,0.02565,"1.00e+00",-0.02197,"1.00e+00",0.00369,"1.00e+00"
"determination of adult lifespan",2,0.02564,"1.00e+00",0.00861,"1.00e+00",-0.01703,"1.00e+00"
"response to cAMP",3,0.0256,"1.00e+00",-0.01239,"1.00e+00",0.01321,"1.00e+00"
"carbohydrate phosphorylation",6,0.02527,"1.00e+00",-0.01032,"1.00e+00",0.01495,"1.00e+00"
"response to starvation",5,0.02512,"1.00e+00",0.01196,"1.00e+00",-0.01316,"1.00e+00"
"G2/M transition of mitotic cell cycle",2,0.02504,"1.00e+00",-0.00973,"1.00e+00",-0.0598,"1.00e+00"
"regulation of chloride transport",2,0.02504,"1.00e+00",-0.00973,"1.00e+00",-0.0598,"1.00e+00"
"stem cell proliferation",2,0.02504,"1.00e+00",-0.00973,"1.00e+00",-0.0598,"1.00e+00"
"xenobiotic transport across blood-brain barrier",2,0.02504,"1.00e+00",-0.00973,"1.00e+00",-0.0598,"1.00e+00"
"regulation of protein localization",2,0.0248,"1.00e+00",0.00586,"1.00e+00",-0.01894,"1.00e+00"
"allantoin metabolic process",3,0.02475,"1.00e+00",0.02202,"1.00e+00",-0.00273,"1.00e+00"
"neurogenesis",3,0.01647,"1.47e-01",-0.00154,"1.00e+00",-0.03449,"1.47e-01"
"dAMP catabolic process",3,0.02475,"1.00e+00",0.02202,"1.00e+00",-0.00273,"1.00e+00"
"in utero embryonic development",6,0.02432,"1.00e+00",0.00831,"1.00e+00",-0.01601,"1.00e+00"
"glycerol catabolic process",3,0.0243,"1.00e+00",-0.00696,"1.00e+00",0.01735,"1.00e+00"
"aerobic respiration",13,0.02407,"1.00e+00",0.01265,"1.00e+00",-0.01142,"1.00e+00"
"striated muscle contraction",2,0.02407,"1.00e+00",-0.02378,"1.00e+00",0.00029,"1.00e+00"
"depurination",3,0.02405,"1.00e+00",-0.023,"1.00e+00",0.00105,"1.00e+00"
"negative regulation of neuron apoptotic process",5,0.02397,"1.00e+00",0.00604,"1.00e+00",-0.01793,"1.00e+00"
"response to nutrient levels",3,0.02392,"1.00e+00",0.00672,"1.00e+00",-0.0172,"1.00e+00"
"protoporphyrinogen IX biosynthetic process",6,0.02392,"1.00e+00",-0.01814,"1.00e+00",0.00578,"1.00e+00"
"response to glucose",6,0.02378,"1.00e+00",0.00802,"1.00e+00",-0.01577,"1.00e+00"
"pyramidal neuron development",2,0.02361,"1.00e+00",-0.02001,"1.00e+00",0.00361,"1.00e+00"
"base-excision repair, AP site formation",2,0.02315,"1.00e+00",-0.02184,"1.00e+00",0.00131,"1.00e+00"
"cellular response to cytokine stimulus",3,0.02312,"1.00e+00",-0.02256,"1.00e+00",0.00056,"1.00e+00"
"response to xenobiotic stimulus",25,0.02305,"1.00e+00",0.01137,"1.00e+00",-0.01167,"1.00e+00"
"negative regulation of DNA-templated transcription",4,0.02296,"1.00e+00",-0.01353,"1.00e+00",0.00943,"1.00e+00"
"leucine catabolic process",4,0.02293,"1.00e+00",-0.01689,"1.00e+00",0.00604,"1.00e+00"
"response to activity",5,0.02292,"1.00e+00",-0.00253,"1.00e+00",0.02039,"1.00e+00"
"cellular response to heat",4,0.02283,"1.00e+00",-0.01784,"1.00e+00",0.00499,"1.00e+00"
"cell division",3,0.02281,"1.00e+00",8e-04,"1.00e+00",-0.02201,"1.00e+00"
"membrane protein proteolysis",2,0.02278,"1.00e+00",-0.01317,"1.00e+00",0.00961,"1.00e+00"
"protein quality control for misfolded or incompletely synthesized proteins",2,0.02278,"1.00e+00",-0.01317,"1.00e+00",0.00961,"1.00e+00"
"protein homooligomerization",3,0.02272,"1.00e+00",-0.00305,"1.00e+00",0.01967,"1.00e+00"
"regulation of inflammatory response",4,0.02265,"1.00e+00",-0.00313,"1.00e+00",0.01952,"1.00e+00"
"catecholamine metabolic process",2,0.01585,"9.16e-01",-0.04793,"9.16e-01",-0.01623,"1.00e+00"
"proteasome-mediated ubiquitin-dependent protein catabolic process",2,0.02248,"1.00e+00",-0.01818,"1.00e+00",0.00429,"1.00e+00"
"phosphorylation",18,0.02234,"1.00e+00",-0.01321,"1.00e+00",0.00913,"1.00e+00"
"cellular response to cAMP",5,0.02222,"1.00e+00",0.01041,"1.00e+00",-0.01181,"1.00e+00"
"release of cytochrome c from mitochondria",2,0.02217,"1.00e+00",0.01445,"1.00e+00",-0.00772,"1.00e+00"
"response to fatty acid",3,0.02203,"1.00e+00",-0.01236,"1.00e+00",0.00967,"1.00e+00"
"response to dexamethasone",2,0.022,"1.00e+00",-0.01216,"1.00e+00",0.00984,"1.00e+00"
"central nervous system neuron development",2,0.02188,"1.00e+00",-0.00467,"1.00e+00",0.01721,"1.00e+00"
"response to oxidative stress",18,0.02154,"1.00e+00",0.01459,"1.00e+00",-0.00695,"1.00e+00"
"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules",2,0.02144,"1.00e+00",0.01952,"1.00e+00",-0.00192,"1.00e+00"
"intracellular oxygen homeostasis",3,0.01498,"9.88e-01",-0.00067,"1.00e+00",-0.03062,"9.88e-01"
"symbiont entry into host cell",2,0.02134,"1.00e+00",0.01799,"1.00e+00",-0.00335,"1.00e+00"
"L-serine biosynthetic process",4,0.02129,"1.00e+00",0.01021,"1.00e+00",-0.01107,"1.00e+00"
"cellular respiration",2,0.02096,"1.00e+00",-0.00607,"1.00e+00",0.0149,"1.00e+00"
"positive regulation of nitric-oxide synthase activity",2,0.01434,"9.80e-01",0.00898,"1.00e+00",0.03766,"9.80e-01"
"glyceraldehyde-3-phosphate biosynthetic process",3,0.02083,"1.00e+00",0.01731,"1.00e+00",-0.00352,"1.00e+00"
"regulation of removal of superoxide radicals",2,0.01434,"9.80e-01",0.00898,"1.00e+00",0.03766,"9.80e-01"
"lipid transport",2,0.02055,"1.00e+00",-0.00179,"1.00e+00",0.01876,"1.00e+00"
"positive regulation of amyloid-beta formation",2,0.02047,"1.00e+00",0.00165,"1.00e+00",0.04258,"1.00e+00"
"4-hydroxyproline catabolic process",2,0.0203,"1.00e+00",-0.06856,"1.00e+00",-0.02796,"1.00e+00"
"defense response to Gram-negative bacterium",2,0.02011,"1.00e+00",-0.01171,"1.00e+00",0.0084,"1.00e+00"
"cellular response to hypoxia",5,0.0201,"1.00e+00",-0.01379,"1.00e+00",0.00631,"1.00e+00"
"regulation of cell cycle",2,0.01991,"1.00e+00",-0.00126,"1.00e+00",0.01865,"1.00e+00"
"peptidyl-serine phosphorylation",3,0.01303,"5.59e-01",-0.02713,"5.59e-01",-0.00107,"1.00e+00"
"fatty acid beta-oxidation using acyl-CoA dehydrogenase",6,0.01975,"1.00e+00",0.00959,"1.00e+00",-0.01016,"1.00e+00"
"tRNA modification",6,0.01961,"1.00e+00",-0.01032,"1.00e+00",0.00928,"1.00e+00"
"acetyl-CoA biosynthetic process",3,0.0196,"1.00e+00",0.01431,"1.00e+00",-0.00529,"1.00e+00"
"mitochondrial DNA replication",3,0.01927,"1.00e+00",0.00394,"1.00e+00",-0.01532,"1.00e+00"
"insulin processing",2,0.01919,"1.00e+00",-0.04695,"1.00e+00",-0.00858,"1.00e+00"
"liver regeneration",3,0.0133,"9.40e-01",0.00303,"1.00e+00",0.02962,"9.40e-01"
"response to interleukin-1",2,0.01919,"1.00e+00",-0.04695,"1.00e+00",-0.00858,"1.00e+00"
"choline catabolic process",2,0.01911,"1.00e+00",0.01131,"1.00e+00",-0.0078,"1.00e+00"
"succinyl-CoA metabolic process",3,0.01906,"1.00e+00",-0.01297,"1.00e+00",0.00609,"1.00e+00"
"citrulline biosynthetic process",3,0.0189,"1.00e+00",-0.01446,"1.00e+00",0.00443,"1.00e+00"
"translation",27,0.01871,"1.00e+00",-0.01617,"1.00e+00",0.00254,"1.00e+00"
"DNA repair",17,0.01863,"1.00e+00",-0.01468,"1.00e+00",0.00395,"1.00e+00"
"erythrocyte homeostasis",3,0.01855,"1.00e+00",-0.01162,"1.00e+00",0.00694,"1.00e+00"
"cellular response to amino acid stimulus",2,0.01825,"1.00e+00",-0.01562,"1.00e+00",0.00263,"1.00e+00"
"response to estradiol",2,0.01819,"1.00e+00",0.00914,"1.00e+00",-0.00905,"1.00e+00"
"hydrogen peroxide biosynthetic process",3,0.01793,"1.00e+00",0.00607,"1.00e+00",-0.01186,"1.00e+00"
"'de novo' AMP biosynthetic process",6,0.01785,"1.00e+00",-0.00132,"1.00e+00",0.01653,"1.00e+00"
"'de novo' IMP biosynthetic process",6,0.01785,"1.00e+00",-0.00132,"1.00e+00",0.01653,"1.00e+00"
"'de novo' XMP biosynthetic process",6,0.01785,"1.00e+00",-0.00132,"1.00e+00",0.01653,"1.00e+00"
"proteolysis",19,0.01767,"1.00e+00",0.00356,"1.00e+00",-0.01412,"1.00e+00"
"exploration behavior",2,0.01762,"1.00e+00",0.00088,"1.00e+00",-0.01674,"1.00e+00"
"muscle cell cellular homeostasis",2,0.01754,"1.00e+00",-0.01023,"1.00e+00",0.00731,"1.00e+00"
"lipid metabolic process",18,0.01751,"1.00e+00",0.00786,"1.00e+00",-0.00965,"1.00e+00"
"positive regulation of synapse assembly",2,0.01747,"1.00e+00",-0.0013,"1.00e+00",0.01617,"1.00e+00"
"programmed cell death",2,0.01745,"1.00e+00",0.00128,"1.00e+00",-0.01617,"1.00e+00"
"adenylate cyclase-activating G protein-coupled receptor signaling pathway",2,0.01727,"1.00e+00",-0.00541,"1.00e+00",-0.03996,"1.00e+00"
"cytoplasmic translation",8,0.01706,"1.00e+00",-0.01414,"1.00e+00",0.00292,"1.00e+00"
"tricarboxylic acid cycle",14,0.01703,"1.00e+00",0.00094,"1.00e+00",-0.01609,"1.00e+00"
"response to iron ion",3,0.01699,"1.00e+00",-0.00704,"1.00e+00",0.00996,"1.00e+00"
"spermatid development",2,0.01696,"1.00e+00",0.00273,"1.00e+00",-0.01423,"1.00e+00"
"depyrimidination",3,0.01689,"1.00e+00",-0.01172,"1.00e+00",0.00517,"1.00e+00"
"negative regulation of proteasomal ubiquitin-dependent protein catabolic process",3,0.01636,"1.00e+00",-0.00544,"1.00e+00",0.01092,"1.00e+00"
"tRNA wobble uridine modification",2,0.00955,"7.13e-01",0.00617,"1.00e+00",0.02528,"7.13e-01"
"cellular response to interferon-beta",2,0.01602,"1.00e+00",-0.00478,"1.00e+00",0.01125,"1.00e+00"
"neuron differentiation",2,0.01596,"1.00e+00",-0.03751,"1.00e+00",-0.0056,"1.00e+00"
"purine nucleobase biosynthetic process",4,0.01588,"1.00e+00",-0.00463,"1.00e+00",0.01124,"1.00e+00"
"folic acid metabolic process",5,0.01586,"1.00e+00",-0.00416,"1.00e+00",0.0117,"1.00e+00"
"RNA catabolic process",2,0.01568,"1.00e+00",0.00489,"1.00e+00",-0.01078,"1.00e+00"
"fatty acid metabolic process",13,0.01535,"1.00e+00",0.00794,"1.00e+00",-0.00741,"1.00e+00"
"mitochondrion organization",12,0.01527,"1.00e+00",-0.00996,"1.00e+00",0.00531,"1.00e+00"
"extracellular matrix organization",3,0.01525,"1.00e+00",-0.00781,"1.00e+00",-0.0383,"1.00e+00"
"brain development",5,0.01521,"1.00e+00",0.00251,"1.00e+00",-0.0127,"1.00e+00"
"superoxide metabolic process",3,0.01513,"1.00e+00",0.00349,"1.00e+00",-0.01164,"1.00e+00"
