GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_noDrug	Rv0494_DMSO_noDrug
PE_PGRS9	Rv0746	PE-PGRS family protein PE_PGRS9	hypoxia_late:40%	0.1316	0.993864265029827	722.23	755	868	846	349	880	53.3	48.93
Rv2267c	Rv2267c	hypothetical protein	hypoxia_late:26%; ctl_stationary:11%	0.1319	0.994001509296785	724.26	666	698	844	557	881	12.76	11.61
Rv2073c	Rv2073c	oxidoreductase	hypoxia_late:29%; PBS_RIF_DDmtb:12%	0.1183	0.989146101908031	703.37	725	759	757	468	840	35.79	33.1
Rv3789	Rv3789	GtrA family protein	hypoxia_late:10%	0.1108	0.965268074865005	728.43	284	273	240	4086	491	54.27	47.56
echA8	Rv1070c	enoyl-CoA hydratase EchA8	hypoxia_late:10%	0.0898	0.947047975764864	687.62	794	895	733	411	659	191.4	181.1
cfp29	Rv0798c	hypothetical protein	tyloxopol:9%	0.0879	0.93950585453363	690.26	793	908	766	420	620	254.52	241.19
Rv2449c	Rv2449c	trans-acting enoyl reductase	hypoxia_late:8%	0.0908	0.941944292186322	698.02	772	918	802	421	634	153.13	144.79
sigE	Rv1221	ECF RNA polymerase sigma factor SigE	hypoxia_fatty_acids:15%	0.1203	0.991983421938796	712.5	841	854	830	455	630	182.5	169.02
Rv2648	Rv2648	transposase	hypoxia_late:34%; ctl_stationary:17%	0.1235	0.99380824081597	714.04	675	599	625	667	1045	37.43	34.39
Rv0796	Rv0796	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1144	0.992305324571654	691.04	727	663	627	534	935	19.92	18.41
Rv2993c	Rv2993c	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase	tyloxopol:13%; INDIGO_exponential:10%	0.1134	0.984652637616432	715.67	713	793	926	477	709	135.59	126.23
Rv3380c	Rv3380c	transposase	hypoxia_late:23%; ctl_stationary:19%	0.113	0.986106550819859	712.3	654	659	561	651	1089	11.43	10.54
Rv0097	Rv0097	oxidoreductase	hypoxia_late:21%; human_sputum:19%	0.1011	0.9638469262137	718.99	298	269	190	4118	504	23.68	20.81
esxL	Rv1198	ESAT-6 like protein EsxL	high_iron:9%	0.0874	0.942820252591206	693.09	790	882	787	466	585	2242.29	2126.15
PPE20	Rv1387	PPE family protein PPE20	tyloxopol:12%; ctl_exponential:12%	0.1009	0.975325103333657	701.86	763	810	852	475	645	1520.14	1427.78
trxB1	Rv1471	thioredoxin	hypoxia_fatty_acids:21%	0.1175	0.988976927683541	719.16	673	715	822	540	870	97.65	90.27
Rv3427c	Rv3427c	transposase	human_sputum:13%; hypoxia_late:12%	0.115	0.966962325509536	758.62	294	334	381	4084	356	55.58	48.63
MTS0858	MTS0858	putative small regulatory RNA	hypoxia_late:16%; ctl_stationary:11%	0.32	0.999756519523914	806.54	547	439	558	2116	786	22.6	16.4
Rv2704	Rv2704	hypothetical protein	butyrate_plus_glucose:12%; low_iron:10%	0.0911	0.957938572114838	696.33	747	817	637	483	830	162.28	153.34
mmaA4	Rv0642c	hydroxymycolate synthase MmaA4	tyloxopol:8%	0.0942	0.975002487292988	688.28	929	837	815	400	539	503.38	474.89
Rv2742c	Rv2742c	hypothetical protein	PBS_RIF_DDmtb:16%; ctl_stationary:12%	0.1009	0.983507995157266	691.42	785	782	746	447	731	105.73	99.3
esxO	Rv2346c	ESAT-6 like protein EsxO	acidic:10%	0.0833	0.924832329800193	698.8	802	942	764	465	574	2028.47	1928.97
MT1602	MT1602	hypothetical protein	cholesterol:23%; hypoxia_late:14%; acidic_tyloxopol:14%	0.1246	0.99481560061557	720.37	652	532	611	721	1158	30.2	27.71
far	Rv0855	fatty-acid-CoA racemase	hypoxia_late:16%	0.1016	0.979999562951233	707.83	733	777	772	482	803	53.67	50.3
Rv3224	Rv3224	iron-regulated short-chain dehydrogenase/reductase	ctl_exponential:10%	0.1048	0.984650536565483	703.91	895	878	842	413	565	568.8	532.88
lprG	Rv1411c	lipoprotein LprG	zinc_limitation:10%	0.0858	0.937346349634676	706.86	811	955	803	451	575	703.43	667.72
fixB	Rv3028c	electron transfer flavoprotein subunit alpha	high_iron:10%	0.0952	0.970877283155261	708.64	837	928	871	425	556	959.44	904.87
mce3A	Rv1966	Mce family protein Mce3A	hypoxia_late:33%; ctl_stationary:11%	0.1229	0.992601332688389	738.58	661	713	744	590	1018	7.94	7.24
Rv2814c	Rv2814c	transposase	hypoxia_late:23%; ctl_stationary:19%	0.1117	0.986803351492375	719.26	667	675	538	688	1080	11.44	10.57
hadA	Rv0635	(3R)-hydroxyacyl-ACP dehydratase subunit HadA	acidic:10%	0.0956	0.980067828828222	694.91	884	830	845	402	583	596.32	561.96
Rv1461	Rv1461	hypothetical protein	low_iron:20%; zinc_limitation:15%; nutrient_limitation:12%	0.081	0.928619044024472	700.82	804	923	748	489	584	264.42	251.79
Rv2468c	Rv2468c	hypothetical protein	ctl_exponential:9%	0.0985	0.974506382418523	717.81	800	899	894	434	623	515.87	485.32
hisG	Rv2121c	ATP phosphoribosyltransferase	hypoxia_late:20%; low_iron:15%	0.143	0.988877401401115	842.93	352	400	500	3772	512	19.4	16.47
PE8	Rv1040c	PE family protein PE8	hypoxia_late:45%; human_sputum:12%	0.154	0.993695840036954	845.54	400	365	467	3407	692	7.48	6.17
Rv2077A	Rv2077A	hypothetical protein	hypoxia_late:17%; ctl_stationary:13%; PBS_RIF_DDmtb:12%; hypoxia_rar:10%	0.154	0.999064814857527	752.27	833	668	701	559	1044	22.68	20.33
glf	Rv3809c	UDP-galactopyranose mutase	tyloxopol:10%	0.1051	0.989848287691699	704.15	803	779	831	448	699	93.17	87.08
thrA	Rv1294	homoserine dehydrogenase	hypoxia_rar:8%	0.0832	0.94328828399604	701.83	798	873	781	484	611	388.14	369.03
Rv2405	Rv2405	hypothetical protein	cholesterol:8%	0.106	0.991293120530155	703.13	819	758	778	460	734	141.31	132.04
atpD	Rv1310	ATP synthase subunit beta	INDIGO_exponential:13%; ctl_exponential:12%; microaerophilic:10%	0.0928	0.978116714197011	700.41	828	802	820	469	622	1313.6	1240.6
csm1	Rv2823c	CRISPR-associated protein Cas10/Csm1	hypoxia_late:20%	0.0915	0.961608432565082	719.57	716	841	758	492	821	27.96	26.35
PE_PGRS7	Rv0578c	PE-PGRS family protein PE_PGRS7	cholesterol:15%; microaerophilic:13%; hypoxia_late:12%	0.1465	0.994652309137136	833.09	331	358	413	4015	553	198.99	170.66
PE_PGRS24	Rv1325c	PE-PGRS family protein PE_PGRS24	hypoxia_late:24%; microaerophilic:18%	0.1144	0.989969064260456	738.75	1036	896	839	399	617	76.02	70.7
moeB2	Rv3116	molybdenum cofactor biosynthesis protein MoeB	tyloxopol:9%	0.0951	0.979719830349382	714.69	834	858	861	435	640	157.01	148
PPE52	Rv3144c	PPE family protein PPE52	hypoxia_late:11%	0.0804	0.935298610185253	717.23	826	960	754	471	626	264.19	251.65
papA5	Rv2939	phthiocerol/phthiodiolone dimycocerosyl transferase	human_sputum:12%	0.1073	0.991724554851291	717.82	797	764	950	474	650	174.26	162.91
Rv2354	Rv2354	transposase	hypoxia_late:33%; ctl_stationary:17%	0.1207	0.994988462977274	738.54	688	618	661	685	1083	37.28	34.29
MT0416	MT0416	hypothetical protein	hypoxia_late:16%; ctl_stationary:12%; hypoxia_hypoxic:12%	0.1126	0.98301373560443	762.28	398	222	178	3510	937	50.57	44.19
lppN	Rv2270	lipoprotein LppN	hypoxia_late:31%; ctl_stationary:12%	0.1897	0.998724550842678	876.43	567	446	474	2971	719	7.9	6.3
MT0291.4	MT0291.4	hypothetical protein	microaerophilic:42%; hypoxia_late:13%	0.1137	0.989488358136867	749.86	1031	961	886	391	589	119.19	110.93
Rv0455c	Rv0455c	hypothetical protein	human_sputum:17%	0.1035	0.985428316192573	735.95	769	846	911	488	705	267.3	250.42
plcD	Rv1755c	phospholipase C 4 plcD	hypoxia_late:30%; PBS_RIF_DDmtb:11%	0.1145	0.99261282074878	743.15	691	705	722	595	1037	15.62	14.44
mazF3	Rv1102c	mRNA interferase MazF3	tyloxopol:11%	0.1028	0.991465433762923	716.98	806	760	817	467	769	197.63	185.35
PE_PGRS10	Rv0747	PE-PGRS family protein PE_PGRS10	microaerophilic:31%; hypoxia_late:12%	0.1306	0.996780436173252	771.01	997	900	819	350	896	57.5	52.85
eccC5	Rv1783	ESX-5 type VII secretion system protein EccC5	acidic:9%	0.0786	0.934796281492724	723.62	835	964	793	496	582	364.87	348.01
rsmA	Rv3912	anti-sigma-M factor RsmA	hypoxia_late:30%; ctl_stationary:10%	0.1123	0.99250649766096	738.61	709	704	666	578	1081	16.75	15.54
argC	Rv1652	N-acetyl-gamma-glutamyl-phoshate reductase	hypoxia_late:23%; hypoxia_hypoxic:10%	0.1179	0.987387610463024	788.26	362	361	407	4155	314	42.19	36.69
mtn	Rv0091	bifunctional 5'-methylthioadenosine nucleosidase	hypoxia_late:20%; ctl_stationary:10%	0.1179	0.987267838332672	791.15	327	291	353	3969	562	20.2	17.49
MTS2458	MTS2458	small intergenic RNA	zinc_limitation:11%	0.0931	0.976475147346518	729.03	848	920	865	452	619	599.88	566.58
Rv3185	Rv3185	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1031	0.984326494010433	747.16	683	756	711	605	1010	19.71	18.38
glyA2	Rv0070c	serine hydroxymethyltransferase	hypoxia_late:13%; acidic_tyloxopol:11%	0.101	0.971772623164998	768.64	306	336	362	4165	370	30.29	26.69
rpsN1	Rv0717	30S ribosomal protein S14	human_sputum:18%; hypoxia_rar:12%	0.0992	0.987392326655526	727.17	921	833	873	430	642	1011.19	950.04
Rv0679c	Rv0679c	hypothetical protein	microaerophilic:20%; ctl_stationary:18%; hypoxia_fatty_acids:17%	0.0875	0.971791134200035	727.51	767	820	680	531	865	129.62	122.83
Rv0360c	Rv0360c	hypothetical protein	hypoxia_late:17%; ctl_exponential:11%	0.1406	0.992661643040128	861.21	295	309	529	3876	714	81.05	69.42
nrdE	Rv3051c	ribonucleoside-diphosphate reductase subunit alpha	low_iron:8%	0.0847	0.973511560693093	716.14	911	883	805	461	579	957.21	909.36
Rv1422	Rv1422	hypothetical protein	microaerophilic:9%	0.0869	0.971987057376559	731.32	823	865	843	491	672	251.63	238.66
Rv2603c	Rv2603c	transcriptional regulator	tyloxopol:10%	0.0887	0.975381424461314	735.13	867	922	874	450	624	405.07	383.58
recX	Rv2736c	regulatory protein RecX	zinc_limitation:20%	0.0807	0.957266669714782	729.38	805	893	786	490	708	321.32	306.01
serA1	Rv2996c	D-3-phosphoglycerate dehydrogenase	zinc_limitation:11%	0.089	0.976998223438767	733.44	924	968	832	439	581	300.44	284.52
esxE	Rv3904c	ESAT-6 like protein EsxE	hypoxia_late:34%; ctl_stationary:12%	0.1192	0.996848105609593	748.54	743	712	821	528	975	66.53	61.62
Rv0454	Rv0454	conserved hypothetical protein	human_sputum:9%	0.1021	0.992733029667106	732.58	766	725	763	527	909	105.54	98.81
Rv3706c	Rv3706c	hypothetical protein	human_sputum:13%; ctl_exponential:11%; acidic_tyloxopol:10%	0.1276	0.993520842758332	830.14	375	335	434	3955	514	58.2	50.21
Rv2767c	Rv2767c	membrane protein	hypoxia_late:21%; PBS_RIF_DDmtb:10%	0.1377	0.999193558739656	770.51	776	684	877	558	995	34.3	31.32
MT1285	MT1285	hypothetical protein	tyloxopol:10%	0.1084	0.992153354187876	760.36	685	667	665	696	1136	125.57	116.85
mcr10	Rvnc0008	putative small regulatory RNA	microaerophilic:20%	0.1072	0.993015081357562	751.35	780	804	878	494	836	391.22	366.17
Rv3267	Rv3267	hypothetical protein	human_sputum:11%	0.0803	0.960333656339742	738.6	843	911	837	508	635	471.9	449.58
Rv0817c	Rv0817c	hypothetical protein	hypoxia_late:16%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.1081	0.995408813980451	745.88	817	792	753	485	922	33.27	31.05
vapB4	Rv0596c	antitoxin VapB4	hypoxia_late:13%; PBS_RIF_DDmtb:11%; ctl_stationary:11%	0.1455	0.995500882674539	888.13	423	368	493	3500	778	26.34	22.38
lysA	Rv1293	diaminopimelate decarboxylase	INDIGO_exponential:8%	0.0783	0.956005605562355	744.11	820	912	857	506	665	228.71	218.16
Rv2599	Rv2599	membrane protein	hypoxia_late:12%; PBS_RIF_DDmtb:10%	0.116	0.997095787012632	753.8	838	785	798	510	869	67.35	62.45
mce4A	Rv3499c	Mce family protein Mce4A	acidic_tyloxopol:8%	0.088	0.984294567943058	736.72	871	835	836	472	711	108.42	102.65
Rv1034c	Rv1034c	transposase	hypoxia_late:53%; ctl_stationary:14%	0.1868	0.999608498938649	865.4	576	342	551	2323	1084	4.09	3.13
Rv1462	Rv1462	hypothetical protein	low_iron:27%; zinc_limitation:16%	0.0893	0.984501383949221	741.04	975	842	816	473	653	219.42	207.72
Rv2969c	Rv2969c	hypothetical protein	zinc_limitation:9%	0.0787	0.958080480863934	748.4	856	943	851	503	636	514.06	490.26
Rv2345	Rv2345	transmembrane protein	butyrate_plus_glucose:8%	0.0878	0.980046595698887	748.58	951	976	856	444	595	214.79	203.53
MT3755	MT3755	hypothetical protein	hypoxia_late:19%	0.1252	0.998855864484479	758.61	774	632	825	609	983	56.01	51.54
mazE7	Rv2063	antitoxin MazE7	hypoxia_late:26%; ctl_stationary:11%	0.1283	0.998730803918807	777.22	807	776	807	565	958	67.7	62.17
rpfC	Rv1884c	resuscitation-promoting factor RpfC	tyloxopol:15%; high_iron:14%; butyrate_plus_glucose:11%	0.0791	0.962963824083056	750.41	889	975	887	495	571	2653.92	2530.85
MT1560.1	MT1560.1	hypothetical protein	acidic_tyloxopol:10%	0.1085	0.996655945811904	749.02	801	741	794	544	889	87.84	81.8
mycP2	Rv3886c	membrane-anchored mycosin	hypoxia_late:12%	0.0988	0.993821239967988	748.1	863	799	893	505	716	87.93	82.66
MT1839.1	MT1839.1	hypothetical protein	hypoxia_late:25%; acidic_tyloxopol:11%; hypoxia_rar:10%	0.153	0.999133657378038	849.68	607	289	323	2563	1261	7.97	6.57
pepC	Rv0800	M18 family aminopeptidase	hypoxia_late:25%	0.1003	0.991891463275542	771.67	813	903	890	507	783	56.79	53.29
Rv1269c	Rv1269c	hypothetical protein	acidic_tyloxopol:14%; human_sputum:11%; butyrate:10%	0.1207	0.99749520214194	804.09	784	866	1000	529	884	65.76	60.87
Rv1414	Rv1414	hypothetical protein	hypoxia_late:20%	0.1217	0.994031892092018	838.98	392	318	415	3822	625	33.06	28.66
MT3560	MT3560	hypothetical protein	PBS_RIF_DDmtb:16%; hypoxia_late:13%; hypoxia_rar:10%	0.1403	0.999581326724049	787.96	796	604	750	661	1188	23.84	21.64
MT2460	MT2460	hypothetical protein	ctl_exponential:14%	0.0837	0.976285837024505	759.91	836	892	858	499	752	1326.7	1260.76
Rv1138c	Rv1138c	oxidoreductase	PBS_RIF_DDmtb:18%; hypoxia_late:13%	0.0924	0.987886313865183	766.72	778	834	792	530	931	41.41	39.09
hadB	Rv0636	(3R)-hydroxyacyl-ACP dehydratase subunit HadB	acidic:11%; ctl_exponential:10%; INDIGO_exponential:10%	0.0963	0.991519056437001	771.02	922	914	941	481	657	698.24	657.76
Rv0268c	Rv0268c	hypothetical protein	acidic_tyloxopol:14%; human_sputum:12%	0.0927	0.99033764721438	760.83	893	909	769	486	790	149.97	141.64
Rv1987	Rv1987	chitinase	tyloxopol:16%; INDIGO_exponential:11%	0.0864	0.984382053966399	758.12	1002	888	827	458	679	406.52	385.5
cyp136	Rv3059	cytochrome P450 Cyp136	hypoxia_late:9%	0.0902	0.988784875418766	766.65	899	917	848	480	737	80.17	75.8
ctaD	Rv3043c	cytochrome C oxidase cytochrome 1	tyloxopol:14%	0.0847	0.97305549591105	787.38	851	1005	956	518	663	335.65	318.82
rpsE	Rv0721	30S ribosomal protein S5	high_iron:10%	0.0762	0.959390566476364	768	852	950	872	549	655	1784.84	1705.34
PPE65	Rv3621c	PPE family protein PPE65	hypoxia_late:43%	0.093	0.984943652570125	798.03	768	939	810	543	969	27.21	25.65
MT0124	MT0124	hypothetical protein	acidic:16%; acidic_tyloxopol:16%; hypoxia_hypoxic:15%; hypoxia_rar:11%	0.132	0.999199471750728	812.23	775	730	789	697	1099	43.56	39.87
PE_PGRS59	Rv3595c	PE-PGRS family protein PE_PGRS59	hypoxia_late:15%	0.1098	0.995700368160505	806.19	721	805	957	542	1058	132.3	123.47
MT2015	MT2015	hypothetical protein	hypoxia_late:18%; ctl_stationary:12%	0.1517	0.999690689422865	830.17	720	627	850	786	1225	32.14	28.71
MT0270.2	MT0270.2	hypothetical protein	human_sputum:10%	0.1193	0.998500986306615	794.67	830	826	925	547	876	115.54	106.9
vapC4	Rv0595c	ribonuclease VapC4	PBS_RIF_DDmtb:13%; hypoxia_late:13%; ctl_stationary:10%	0.1354	0.999423495935808	815.43	821	735	838	657	1052	20.65	18.77
Rv1760	Rv1760	diacylglycerol acyltransferase	hypoxia_late:12%; acidic_tyloxopol:10%	0.085	0.981971208969359	773.38	818	894	812	537	834	55.86	52.98
vapB7	Rv0662c	antitoxin VapB7	hypoxia_late:40%	0.1341	0.999369021673651	815.65	880	702	743	660	1135	28.92	26.39
accD2	Rv0974c	acetyl-/propionyl-CoA carboxylase subunit beta	microaerophilic:63%	0.1113	0.99743033156523	792.59	764	778	1044	564	851	29.66	27.59
Rv3272	Rv3272	hypothetical protein	PBS_RIF_DDmtb:14%	0.077	0.968803474839149	779.58	877	995	796	522	750	137.67	131.45
PE_PGRS19	Rv1067c	PE-PGRS family protein PE_PGRS19	hypoxia_late:33%	0.1111	0.997220221676072	797.01	849	881	996	502	805	24.47	22.76
gabD2	Rv1731	succinate-semialdehyde dehydrogenase	high_iron:7%	0.0753	0.963494443743644	784.74	875	994	882	526	693	177.19	169.35
ileT	Rvnt01	tRNA-Ile	zinc_limitation:14%; human_sputum:14%	0.1567	0.999565404716759	863.86	974	862	814	627	1077	59.14	53.03
MT2541	MT2541	hypothetical protein	hypoxia_fatty_acids:18%; ctl_stationary:10%	0.0938	0.991447534772644	800.59	809	913	797	560	956	40.78	38.42
MT1760	MT1760	hypothetical protein	hypoxia_late:13%	0.1024	0.996913925925613	771.37	829	768	834	536	920	283.9	266.29
Rv0712	Rv0712	hypothetical protein	nutrient_limitation:21%; PBS_RIF_DDmtb:20%	0.0955	0.994551708201446	773.08	814	794	930	548	807	102.56	96.63
alaV	Rvnt15	tRNA-Ala	hypoxia_late:16%; hypoxia_hypoxic:16%	0.1217	0.994697161881978	864.36	430	316	375	3623	837	71.76	62.37
Rv2278	Rv2278	transposase	hypoxia_late:34%; ctl_stationary:17%	0.1203	0.99890022041678	792.91	779	686	723	720	1087	37.51	34.52
Rv1889c	Rv1889c	conserved hypothetical protein	PBS_RIF_DDmtb:18%; hypoxia_late:12%	0.0955	0.983391485877314	834.31	353	329	332	3906	717	35.04	31.01
Rv1686c	Rv1686c	ABC transporter permease	hypoxia_late:18%; PBS_RIF_DDmtb:16%	0.1156	0.998280567957847	810.83	752	738	804	714	1070	19.69	18.15
Rv1367c	Rv1367c	hypothetical protein	ctl_stationary:10%	0.0935	0.992822764621938	793.23	905	957	899	500	754	87.49	82.52
dapD	Rv1201c	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	tyloxopol:13%; high_iron:11%	0.089	0.989914605200464	802.81	1005	981	945	497	656	394.58	373.62
PPE39	Rv2353c	PPE family protein PPE39	human_sputum:45%; hypoxia_late:23%; ctl_stationary:10%	0.1206	0.992969430833483	886.65	413	413	524	3580	651	8.81	7.57
Rv3698	Rv3698	hypothetical protein	hypoxia_late:26%	0.1111	0.997904581376084	802.46	879	880	920	524	847	24.15	22.47
PE13	Rv1195	PE family protein PE13	hypoxia_hypoxic:31%; hypoxia_rar:17%	0.0891	0.992877066491049	776.07	888	845	928	555	697	2361.83	2236.31
dprE2	Rv3791	decaprenylphosphoryl-D-2-keto erythropentose reductase	tyloxopol:10%	0.0968	0.993861461700929	811.05	1059	901	933	501	724	174.67	164.3
Rv0943c	Rv0943c	monooxygenase	hypoxia_late:50%; ctl_stationary:12%	0.1199	0.998679043172466	824.09	783	787	756	694	1133	7.55	6.9
pykA	Rv1617	pyruvate kinase	zinc_limitation:8%	0.0849	0.986857465638152	802.08	917	1020	939	512	682	230.63	219
PPE12	Rv0755c	PPE family protein PPE12	hypoxia_late:12%	0.083	0.98928184513755	787.39	916	934	900	511	722	83.63	79.49
MT0771	MT0771	hypothetical protein	hypoxia_late:30%; ctl_stationary:15%; PBS_RIF_DDmtb:13%	0.144	0.999563938399499	857.06	637	257	319	2642	1285	9.43	7.86
Rv0745	Rv0745	hypothetical protein	hypoxia_late:48%	0.1273	0.997112981952695	886.8	498	341	445	3305	872	9.18	7.81
rplE	Rv0716	50S ribosomal protein L5	tyloxopol:10%	0.0756	0.980247114289669	787.76	989	1001	884	517	614	1027.78	982.41
Rv2021c	Rv2021c	transcriptional regulator	hypoxia_fatty_acids:21%	0.1091	0.997779318686928	817.26	827	879	991	563	860	135.27	126.19
cysA1	Rv2397c	sulfate ABC transporter ATP-binding protein CysA	nutrient_limitation:34%; PBS_RIF_DDmtb:12%	0.0778	0.978942067626247	810.16	857	988	908	583	747	261.83	249.91
Rv3201c	Rv3201c	ATP-dependent DNA helicase	hypoxia_late:26%; zinc_limitation:20%	0.0799	0.981134127890664	812.51	894	1051	898	523	749	48.13	45.83
Rv2438A	Rv2438A	hypothetical protein	hypoxia_late:15%; PBS_RIF_DDmtb:14%	0.1165	0.998691293239607	825.36	931	829	828	571	1003	64.38	59.8
Rv3325	Rv3325	transposase	hypoxia_late:34%; ctl_stationary:17%	0.113	0.998896246480326	803.93	791	691	704	755	1112	37.42	34.66
Rv2844	Rv2844	hypothetical protein	tyloxopol:10%	0.0954	0.995022370771261	815.89	866	936	955	545	815	170.13	160.31
vapB45	Rv3181c	antitoxin VapB45	hypoxia_late:24%; ctl_stationary:11%	0.1354	0.99842159947827	907.87	465	349	571	3728	648	25.28	21.55
Rv0601c	Rv0601c	two component sensor kinase HK2	hypoxia_late:56%	0.1407	0.997861682197538	943.47	505	491	545	3523	689	14.05	11.9
Rv2168c	Rv2168c	transposase	hypoxia_late:36%; ctl_stationary:17%	0.1247	0.9994988112146	822.35	872	615	663	820	1202	21.75	19.88
Rv2962c	Rv2962c	PGL/p-HBAD biosynthesis rhamnosyltransferase	hypoxia_late:14%; ctl_stationary:10%	0.0984	0.995146050954628	829.38	815	944	988	580	853	43.4	40.75
lprB	Rv1274	lipoprotein LprB	acidic:10%; ctl_stationary:10%	0.0867	0.992472956248003	814.35	936	980	990	521	702	410.28	388.97
MTS1310	MTS1310	small intergenic RNA	hypoxia_late:17%; ctl_exponential:11%	0.0971	0.99711021752805	813.62	913	839	862	579	901	173.23	162.84
Rv2472	Rv2472	hypothetical protein	acidic_tyloxopol:13%; human_sputum:10%	0.0899	0.994304762920859	816.67	822	847	790	616	1036	103.51	98.02
lpqN	Rv0583c	lipoprotein LpqN	ctl_exponential:12%; acidic:12%	0.0898	0.994580192101191	814.38	999	906	910	514	792	142.68	135.03
Rv3683	Rv3683	hypothetical protein	PBS_RIF_DDmtb:8%	0.0895	0.992553541338254	828.13	1087	987	912	509	715	168.66	159.65
Rv2184c	Rv2184c	hypothetical protein	microaerophilic:9%	0.0757	0.980071995959101	818.12	906	1041	896	552	741	174.2	166.48
thiC	Rv0423c	phosphomethylpyrimidine synthase	low_iron:15%	0.0688	0.967094436989231	813.33	944	1057	868	585	661	395.71	380.03
MT1909	MT1909	hypothetical protein	hypoxia_late:33%	0.1224	0.998010512290586	882.37	504	278	377	3504	948	51.1	44.19
bpoC	Rv0554	non-heme bromoperoxidase BpoC	tyloxopol:14%	0.0934	0.995635411912128	821.69	963	929	927	532	801	114.05	107.53
kgtP	Rv3476c	dicarboxylic acid transport membrane protein kgtP	hypoxia_late:14%	0.1047	0.998201751199957	823.06	900	822	921	591	907	27.73	25.86
Rv1950c	Rv1950c	hypothetical protein	hypoxia_late:10%	0.1019	0.990508053426443	884.44	395	409	411	3899	670	69.63	61.5
egtE	Rv3700c	pyridoxal-phosphate-dependent protein EgtE	hypoxia_late:18%	0.0738	0.979216910366423	820.16	898	1012	833	567	826	118.47	113.35
ligA	Rv3014c	DNA ligase A	hypoxia_late:21%	0.0754	0.980170943458199	821.53	896	1023	870	551	808	66.14	63.17
Rv2815c	Rv2815c	transposase	hypoxia_late:35%; ctl_stationary:17%	0.1242	0.999523655071997	829.16	870	629	671	826	1208	21.7	19.85
vapB13	Rv1839c	antitoxin VapB13	human_sputum:11%	0.0869	0.992579337869008	825.18	808	855	707	672	1119	98.14	92.99
cobU	Rv0254c	bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase	hypoxia_late:18%; nutrient_limitation:10%	0.0992	0.997860972148531	821.11	847	806	860	623	992	53.72	50.34
Rv1993c	Rv1993c	hypothetical protein	PBS_RIF_DDmtb:18%; hypoxia_fatty_acids:16%; hypoxia_late:12%; butyrate:12%; microaerophilic:10%	0.0999	0.99741190670681	828.32	891	919	863	561	941	126.34	118.64
Rv2480c	Rv2480c	transposase	hypoxia_late:36%; ctl_stationary:17%	0.1235	0.999518483584254	832.33	882	634	670	828	1205	21.72	19.88
mutT1	Rv2985	8-oxo-dGTP diphosphatase	high_iron:11%; tyloxopol:11%	0.0706	0.973407716161803	826.74	926	1063	897	600	691	625.07	599.65
rpmB2	Rv2058c	50S ribosomal protein L28	human_sputum:68%; zinc_limitation:22%	0.1399	0.999793880904149	851.28	918	605	718	758	1344	15.48	13.99
Rv3378c	Rv3378c	diterpene synthase	hypoxia_late:19%	0.1072	0.998194474976298	842.35	832	891	1025	586	912	36.9	34.42
MTS1082	MTS1082	putative small regulatory RNA	hypoxia_rar:14%; ctl_exponential:13%; acidic:10%	0.0961	0.996298545795935	838.39	795	859	978	652	928	427.59	402.12
Rv2649	Rv2649	transposase	hypoxia_late:22%; ctl_stationary:18%	0.0908	0.994925528500739	833.34	781	813	732	729	1144	19.74	18.57
lpqD	Rv3390	lipoprotein LpqD	ctl_exponential:10%	0.086	0.99404389252653	827.78	903	941	968	550	816	146.14	138.67
Rv3381c	Rv3381c	transposase	hypoxia_late:36%; ctl_stationary:17%	0.1231	0.999538605911922	839.38	881	642	686	834	1209	21.72	19.88
Rv1370c	Rv1370c	transposase	hypoxia_late:35%; ctl_stationary:17%	0.1228	0.999535563306138	839.77	890	643	683	836	1201	21.71	19.88
gcvH	Rv1826	glycine cleavage system protein H	acidic_tyloxopol:10%	0.0817	0.991990699004292	831.8	1043	974	906	533	757	394.9	375.62
cadI	Rv2641	cadmium inducible protein CadI	hypoxia_fatty_acids:56%; butyrate:10%	0.0959	0.997512128177894	832.96	873	857	813	622	1026	56.6	53.22
ureF	Rv1851	urease accessory protein UreF	hypoxia_late:33%	0.0965	0.998142664631949	826.56	928	790	866	593	986	49.13	46.26
Rv2296	Rv2296	haloalkane dehalogenase	human_sputum:9%	0.0815	0.992106482799996	833	1024	999	917	539	740	201.87	192.18
prfB	Rv3105c	peptide chain release factor PrfB	zinc_limitation:9%	0.0757	0.98528898266514	834.52	937	1077	905	556	748	175.84	168.07
Rv3031	Rv3031	1,4-alpha-glucan branching protein	hypoxia_late:15%; low_iron:10%	0.0842	0.993670483256684	833.35	979	992	965	538	745	113.32	107.67
Rv3241c	Rv3241c	hypothetical protein	acidic:14%; cholesterol:10%	0.1289	0.998601568854004	928.4	443	404	505	3947	671	130.66	113.42
Rv2288	Rv2288	hypothetical protein	acidic:12%	0.0891	0.995401201179644	845.23	860	935	940	611	905	167.95	158.94
