GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_RIF	Rv0827c_ATC_noDrug
oppB	Rv1283c	oligopeptide ABC transporter permease OppB	hypoxia_late:10%	0.1058	0.964058970718799	832.01	1014	1187	1046	203	982	96.87	88.93
Rv0034	Rv0034	hypothetical protein	hypoxia_late:25%; ctl_stationary:11%	0.1499	0.991291820978204	854.68	535	421	565	2035	1132	26	22.34
leuS	Rv0041	leucine--tRNA ligase	tyloxopol:8%	0.0972	0.938102916359401	818.58	993	1251	1068	249	768	124.35	114.91
Rv1516c	Rv1516c	sugar transferase	hypoxia_late:22%	0.1093	0.947653971211668	905.98	499	562	441	3464	605	53.95	48.02
rnpA	Rv3923c	ribonuclease P protein component	INDIGO_exponential:10%	0.1091	0.968575163280184	856.41	943	1204	1301	243	856	665.55	610.32
Rv3475	Rv3475	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1493	0.972255910005115	956.99	617	821	687	2423	663	22.31	19.13
snoP	Rv2604c	glutamine amidotransferase SnoP	hypoxia_late:10%	0.0985	0.956792805604596	802.92	942	1061	1005	252	951	239.27	221.11
MT0915.1	MT0915.1	hypothetical protein	hypoxia_late:32%	0.2349	0.997846956532814	872.36	839	750	1016	920	848	14.68	11.55
metB	Rv1079	cystathionine gamma-synthase	PBS_RIF_DDmtb:10%	0.0938	0.942110857603663	790.16	1004	1108	932	290	785	579.43	537.16
cysH	Rv2392	phosphoadenosine phosphosulfate reductase	microaerophilic:12%	0.102	0.914086463573293	900.46	511	648	534	3767	306	801.86	720
Rv2370c	Rv2370c	hypothetical protein	hypoxia_late:29%; human_sputum:10%	0.1901	0.997704562629731	845.17	1075	964	761	1206	369	22.29	18.49
Rv3326	Rv3326	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1424	0.953833499665983	990.32	531	875	746	2530	735	22.11	19.05
lipN	Rv2970c	lipase/esterase LipN	zinc_limitation:9%	0.0982	0.911662129050045	871.87	554	604	370	3866	328	275.77	248.08
Rv2814c	Rv2814c	transposase	hypoxia_late:23%; ctl_stationary:19%	0.1556	0.990238102991124	897.58	573	674	665	1977	879	12.47	10.56
TB16.3	Rv2185c	hypothetical protein	acidic:15%	0.0963	0.954154028382694	795.2	963	1036	985	272	894	511.87	473.87
nmtR	Rv3744	HTH-type transcriptional regulator NmtR	butyrate:8%	0.146	0.987838549954667	893.98	741	504	718	2437	560	120.63	105.01
qcrA	Rv2195	ubiquinol-cytochrome C reductase rieske iron-sulfur subunit	microaerophilic:12%; INDIGO_exponential:12%	0.0972	0.944948666893443	831.15	960	1202	1087	293	807	1267.62	1172.49
mpt53	Rv2878c	soluble secreted antigen Mpt53	PBS_RIF_DDmtb:34%; nutrient_limitation:14%	0.103	0.966708830953288	836.21	914	1024	1012	287	1129	149.09	137.31
Rv1724c	Rv1724c	hypothetical protein	hypoxia_late:19%	0.153	0.989355299884661	905.49	607	541	670	2218	875	37.86	32.54
Rv1271c	Rv1271c	hypothetical protein	human_sputum:14%; ctl_exponential:12%	0.1095	0.94709873543651	929.61	505	618	529	3419	559	193.75	172.94
PPE13	Rv0878c	PPE family protein PPE13	hypoxia_late:11%	0.1394	0.978180862200129	934.2	675	676	695	2933	413	43.79	38.04
MT1007	MT1007	hypothetical protein	tyloxopol:10%	0.116	0.985086759428154	855.64	944	985	1057	310	1158	95.49	87
MT1798	MT1798	hypothetical protein	hypoxia_late:17%; ctl_stationary:14%; PBS_RIF_DDmtb:11%; hypoxia_hypoxic:10%	0.2738	0.999318068270769	856.94	951	655	789	720	1226	19.76	15.3
vapC44	Rv3320c	ribonuclease VapC44	INDIGO_exponential:15%; tyloxopol:14%; high_iron:11%	0.1098	0.950910777813403	928.73	512	600	469	3401	639	116.17	103.55
oxyR'	Rv2427A	hypothetical protein	PBS_RIF_DDmtb:26%; hypoxia_late:21%	0.2029	0.997171051063613	893.52	654	636	1360	969	940	11.86	9.54
Rv1369c	Rv1369c	transposase	hypoxia_late:23%; ctl_stationary:19%	0.1548	0.990095557241766	911.95	592	698	675	2007	868	12.46	10.56
TB22.2	Rv3036c	hypothetical protein	hypoxia_late:10%	0.1058	0.949689911435377	907.12	527	550	406	3478	628	83.68	74.79
MT3135	MT3135	hypothetical protein	low_iron:23%	0.1424	0.98666493434436	904.24	712	505	506	2418	872	124.07	108.07
vapC38	Rv2494	ribonuclease VapC38	microaerophilic:11%	0.125	0.976434816211624	926.04	674	633	580	3331	370	219.59	193.76
Rv3816c	Rv3816c	acyltransferase	microaerophilic:7%	0.102	0.967160778704486	844.06	1027	1176	1148	247	860	296.26	273.08
lprK	Rv0173	Mce family lipoprotein LprK	butyrate_plus_glucose:16%	0.1003	0.962268472109576	840.34	1111	1269	1131	228	743	603.47	556.88
acg	Rv2032	NAD(P)H nitroreductase	cholesterol:23%; hypoxia_hypoxic:14%; butyrate:11%; ctl_stationary:10%	0.114	0.987416722936267	844.46	1058	994	1137	241	1024	81.58	74.33
MT2518.1	MT2518.1	hypothetical protein	human_sputum:12%; PBS_RIF_DDmtb:11%	0.1377	0.989907003541935	880.94	603	382	533	2221	1162	41.2	35.9
Rv1756c	Rv1756c	transposase	hypoxia_late:23%; ctl_stationary:19%	0.153	0.988898679176846	927.72	605	702	685	2067	874	12.44	10.56
Rv2128	Rv2128	transmembrane protein	tyloxopol:12%	0.1301	0.975357348790684	947.72	711	712	691	2902	417	356.27	313.74
MT0576	MT0576	hypothetical protein	hypoxia_late:19%; ctl_stationary:12%	0.2088	0.999520769804554	813.26	1026	325	382	1212	1457	12.38	9.83
ftsE	Rv3102c	cell division ATP-binding protein FtsE	ctl_stationary:11%; zinc_limitation:11%	0.1119	0.981321651861378	881.62	1010	1135	1093	275	1112	87.74	80.09
Rv3172c	Rv3172c	hypothetical protein	human_sputum:10%	0.1106	0.959669737018535	942.25	583	532	387	2937	1050	44.3	39.36
mptA	Rv2174	alpha(1->6)-mannopyranosyltransferase A	zinc_limitation:9%	0.0952	0.953840743806315	837.43	1019	1196	1013	259	916	122.09	113
Rv3046c	Rv3046c	hypothetical protein	butyrate_plus_glucose:12%	0.1014	0.973244522360459	848.05	1032	1113	1119	245	962	359.21	331.24
Rv3187	Rv3187	transposase	hypoxia_late:22%; ctl_stationary:18%	0.149	0.977693415591198	992.32	659	879	732	2431	667	22.16	19
Rv1405c	Rv1405c	methyltransferase	nutrient_limitation:23%; ctl_stationary:19%	0.1319	0.9694107448826	980.15	576	689	708	2783	725	35.64	31.11
Rv0028	Rv0028	hypothetical protein	acidic_tyloxopol:9%	0.1713	0.995618305915184	916.05	610	654	773	1939	854	42.83	36.27
pyrG	Rv1699	CTP synthase	hypoxia_hypoxic:8%	0.1003	0.965335062497239	862.99	1049	1261	1196	253	812	195.84	180.57
MT1172.1	MT1172.1	hypothetical protein	PBS_RIF_DDmtb:10%	0.1428	0.984906136727966	948.23	690	650	702	2398	715	83.54	72.71
Rv3856c	Rv3856c	hypothetical protein	PBS_RIF_DDmtb:9%	0.0977	0.933724683859787	897.82	569	609	396	3879	365	208.04	187.18
Rv2479c	Rv2479c	transposase	hypoxia_late:23%; ctl_stationary:19%	0.1523	0.989116673827343	946.77	622	727	711	2087	876	12.44	10.57
Rv2675c	Rv2675c	hypothetical protein	low_iron:7%	0.1118	0.961309776521998	957.01	570	684	574	3615	423	129.23	114.99
moeW	Rv2338c	molybdopterin biosynthesis protein MoeW	hypoxia_late:15%	0.1024	0.948815571281894	926.98	537	616	468	3712	470	104.89	94.03
Rv2012	Rv2012	hypothetical protein	hypoxia_fatty_acids:30%; ctl_stationary:13%; hypoxia_late:11%	0.1781	0.998311038756438	865.99	967	665	578	1191	1005	12.89	10.7
MT3454	MT3454	hypothetical protein	hypoxia_late:14%; ctl_stationary:11%	0.1057	0.95498947896341	933.85	558	565	437	3266	748	83.41	74.58
Rv0918	Rv0918	hypothetical protein	hypoxia_late:11%; hypoxia_fatty_acids:10%	0.1332	0.9697754356883	995.52	514	626	858	2585	896	45.76	40
Rv3380c	Rv3380c	transposase	hypoxia_late:23%; ctl_stationary:19%	0.1515	0.989215921605496	955.99	628	740	719	2101	881	12.44	10.57
MT4019	MT4019	hypothetical protein	ctl_stationary:11%	0.1318	0.983333242672497	947.28	625	516	753	2426	869	110.7	97.26
lppX	Rv2945c	lipoprotein LppX	tyloxopol:11%; INDIGO_exponential:10%	0.1	0.938300068687292	929.65	533	653	530	3844	353	330.99	297.32
vapC45	Rv3180c	ribonuclease VapC45	hypoxia_late:22%	0.1507	0.992233199628739	936.13	687	537	608	2320	947	32.21	27.68
Rv3376	Rv3376	phosphatase	INDIGO_exponential:12%; ctl_exponential:11%	0.0943	0.955982077855108	859.5	1030	1213	1073	295	884	414.21	383.88
Rv0043c	Rv0043c	HTH-type transcriptional regulator	hypoxia_late:9%	0.1137	0.962752103379648	975.33	550	660	666	3335	550	89.68	79.71
Rv2867c	Rv2867c	GCN5-like N-acetyltransferase	microaerophilic:9%	0.0985	0.96689000112266	864.17	1062	1209	1153	286	827	487.9	450.76
tcrX	Rv3765c	two component transcriptional regulator TcrX	acidic:10%	0.108	0.951129362349467	968.48	500	632	633	3355	626	83.34	74.37
Rv3779	Rv3779	transmembrane protein	hypoxia_late:12%	0.1	0.97248660910649	868.91	1057	1205	1149	242	943	70.84	65.29
Rv1519	Rv1519	hypothetical protein	human_sputum:15%; hypoxia_late:12%; hypoxia_hypoxic:12%	0.1473	0.994546318321525	911.19	707	446	476	2168	1214	28.66	24.69
secY	Rv0732	preprotein translocase SecY	tyloxopol:12%	0.1187	0.972845063712142	974.52	724	771	678	3411	288	232.82	206.47
Rv1337	Rv1337	integral membrane protein	zinc_limitation:9%	0.091	0.951917299474565	855.1	1083	1238	949	329	851	483.21	448.76
MT3156	MT3156	hypothetical protein	hypoxia_late:20%; ctl_stationary:12%	0.2067	0.999462957650789	871.76	915	354	722	1186	1388	31.26	25.45
Rv3510c	Rv3510c	hypothetical protein	hypoxia_late:15%	0.1016	0.973431264730317	892.49	992	1158	940	318	1250	68.85	63.38
Rv0561c	Rv0561c	oxidoreductase	hypoxia_late:24%; ctl_stationary:11%	0.1083	0.979592799939215	910.94	1037	1263	1147	255	1111	58.36	53.37
Rv1624c	Rv1624c	membrane protein	acidic_tyloxopol:10%	0.129	0.985202822619645	951.64	778	649	558	3063	480	90.16	79.25
Rv1937	Rv1937	oxygenase	hypoxia_late:13%	0.1029	0.975644344034829	895.18	1017	1207	1144	268	1074	31.97	29.35
mazE8	Rv2274A	antitoxin MazE8	human_sputum:23%; INDIGO_exponential:12%; hypoxia_rar:11%	0.1183	0.976082527768853	970.59	599	509	504	2642	1217	51.65	45.66
Rv2491	Rv2491	hypothetical protein	hypoxia_late:29%; ctl_stationary:20%	0.26	0.999169149088698	932.76	1162	1220	1161	468	783	7.35	5.48
Rv1034c	Rv1034c	transposase	hypoxia_late:53%; ctl_stationary:14%	0.2596	0.999723574080802	884.05	1180	680	918	690	1003	8.09	6.03
rfe	Rv1302	decaprenyl-phosphate N-acetylglucosaminephosphotransferase	PBS_RIF_DDmtb:12%	0.1393	0.984226950366466	981.06	842	813	765	2994	279	113.3	98.8
Rv3437	Rv3437	transmembrane protein	hypoxia_fatty_acids:8%	0.111	0.959046364909084	991.55	506	630	590	3203	839	73.99	65.75
Rv0372c	Rv0372c	hypothetical protein	hypoxia_late:52%; ctl_stationary:11%	0.2267	0.99825876210302	949.96	1124	1351	1051	785	547	14.3	11.37
dctA	Rv2443	C4-dicarboxylate-transport transmembrane protein DctA	nutrient_limitation:12%; PBS_RIF_DDmtb:11%	0.0983	0.943232255998931	935.84	568	645	510	3804	379	124.33	111.82
MT3084	MT3084	hypothetical protein	tyloxopol:10%	0.1146	0.995720137134311	837.59	1248	878	1141	226	957	163.74	149.46
MT0122	MT0122	phosphoheptose isomerase	butyrate_plus_glucose:9%	0.0945	0.961506497086047	875.4	1053	1275	1032	248	1018	103.93	96.23
Rv3217c	Rv3217c	integral membrane protein	hypoxia_late:9%	0.1018	0.977214014779578	894.34	1080	1232	1184	233	1017	251.8	232.19
PE35	Rv3872	PE family protein PE35	hypoxia_rar:11%; human_sputum:10%	0.0948	0.968191035281068	862.16	995	1085	1014	322	1059	452.89	419.64
mobA	Rv2453c	molybdenum cofactor guanylyltransferase	low_iron:12%	0.1013	0.945627649914143	963.02	542	701	602	3690	405	256.06	229.96
fadE36	Rv3761c	acyl-CoA dehydrogenase FadE36	hypoxia_late:10%	0.0979	0.968197187612106	885.35	977	1152	1069	309	1109	91.45	84.47
sseB	Rv2291	thiosulfate sulfurtransferase SseB	INDIGO_exponential:10%	0.0941	0.958916124397833	885.64	1029	1254	1132	305	912	283.44	262.69
bcp	Rv2521	peroxiredoxin	tyloxopol:10%	0.1014	0.951453555355296	959.55	552	677	554	3718	435	267.07	239.82
whiB3	Rv3416	redox-responsive transcriptional regulator WhiB3	nutrient_limitation:14%; hypoxia_rar:13%; hypoxia_hypoxic:11%	0.1087	0.984623010539783	914.75	1020	1124	1044	331	1243	160.75	147.38
Rv1958c	Rv1958c	hypothetical protein	hypoxia_fatty_acids:14%	0.1492	0.98506755484255	1017.64	562	791	1089	2269	731	44.96	38.82
Rv0148	Rv0148	short-chain type dehydrogenase/reductase	acidic:9%	0.0945	0.963576833962942	879.17	981	1141	1151	337	953	292.02	270.54
moxR1	Rv1479	transcriptional regulator MoxR1	microaerophilic:8%	0.1032	0.985966040030338	868.96	1331	1278	1143	207	727	590.09	543.4
MT3626	MT3626	hypothetical protein	hypoxia_fatty_acids:30%	0.0955	0.965087490753927	882.96	1028	1224	1097	264	1034	105.77	97.9
PE16	Rv1430	PE family protein PE16	hypoxia_late:12%; ctl_stationary:11%	0.1008	0.952903516257613	952.84	526	597	594	3529	538	57.25	51.34
Rv2962c	Rv2962c	PGL/p-HBAD biosynthesis rhamnosyltransferase	hypoxia_late:14%; ctl_stationary:10%	0.1046	0.951388432143409	982.91	510	718	598	3687	493	71.68	64.02
Rv1674c	Rv1674c	transcriptional regulator	hypoxia_late:29%; ctl_stationary:16%	0.1548	0.994456842278281	960.86	701	742	630	2016	978	16.49	14.02
Rv2472	Rv2472	hypothetical protein	acidic_tyloxopol:13%; human_sputum:10%	0.1649	0.997636117478902	924.96	671	646	998	1879	666	63.66	54.31
ephE	Rv3670	epoxide hydrolase EphE	hypoxia_late:13%	0.1008	0.954822038821422	952.35	563	612	487	3582	572	80.27	72.01
Rv0961	Rv0961	integral membrane protein	INDIGO_exponential:11%	0.1323	0.978765891085363	1012.21	655	729	820	2812	616	116.63	102.22
MT2721	MT2721	hypothetical protein	hypoxia_fatty_acids:13%; PBS_RIF_DDmtb:11%	0.1682	0.99825070127558	913.97	875	761	769	1475	776	29.84	25.29
hisA	Rv1603	phosphoribosyl isomerase A	microaerophilic:38%	0.0934	0.964055405709268	879.94	1046	1221	1028	301	1000	207.61	192.45
sseA	Rv3283	thiosulfate sulfurtransferase SseA	zinc_limitation:7%	0.0913	0.955017063899849	884.25	1091	1301	1045	332	843	425.04	394.64
nrdR	Rv2718c	transcriptional regulator NrdR	zinc_limitation:25%	0.1011	0.954017450626194	962.8	553	678	520	3803	446	262.44	235.56
Rv0443	Rv0443	hypothetical protein	low_iron:8%	0.1031	0.983405679268924	896.77	1099	1140	1249	280	945	354.06	326.16
Rv0064	Rv0064	transmembrane protein	microaerophilic:23%	0.1092	0.963775648997512	998.56	642	807	682	3685	304	89.63	79.85
Rv0457c	Rv0457c	peptidase	hypoxia_late:18%; human_sputum:11%; ctl_stationary:10%	0.1017	0.953775591834435	971.58	536	672	542	3595	554	37.68	33.7
idsB	Rv3383c	polyprenyl synthetase IdsB	hypoxia_late:13%	0.1064	0.953942504128334	1001.92	509	732	644	3538	566	68.28	60.89
Rv3829c	Rv3829c	dehydrogenase	butyrate_plus_glucose:20%; hypoxia_late:12%; human_sputum:12%; ctl_stationary:10%	0.1449	0.983854101090235	1032.55	783	935	798	2725	469	26.81	23.1
Rv0600c	Rv0600c	two component sensor kinase HK1	hypoxia_late:59%; ctl_stationary:10%	0.1118	0.975589824242883	989.53	646	548	517	2615	1196	26.32	23.34
MT3275.1	MT3275.1	hypothetical protein	hypoxia_late:25%; ctl_stationary:18%	0.1323	0.970671677238101	1057.96	660	972	795	2832	593	23.37	20.33
higA	Rv1956	antitoxin HigA	hypoxia_fatty_acids:28%	0.1489	0.990005075827578	1002.43	597	706	1034	2295	742	60.7	52.51
mcr	Rv1143	alpha-methylacyl-CoA racemase	PBS_RIF_DDmtb:30%	0.0991	0.976476576522075	899.01	1051	1188	1084	288	1098	89.28	82.33
MT2627.1	MT2627.1	hypothetical protein	PBS_RIF_DDmtb:20%; ctl_stationary:12%	0.1486	0.997854505822085	902.27	774	411	446	1976	1334	23.56	20.22
kshA	Rv3526	3-ketosteroid-9-alpha-hydroxylase oxygenase subunit	hypoxia_fatty_acids:31%	0.095	0.966715892404247	895.61	1031	1225	1114	284	1043	107.6	99.63
MT2501	MT2501	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:25%	0.2588	0.99979392986786	915.66	1220	671	1082	650	1029	11.78	8.93
relA	Rv2583c	bifunctional (p)ppGpp synthase/hydrolase RelA	acidic:11%; microaerophilic:10%	0.0888	0.959923257450608	870.69	1064	1159	992	384	887	409.28	380.75
MT0868	MT0868	hypothetical protein	hypoxia_late:20%; microaerophilic:13%	0.1749	0.999021341390562	915.66	725	448	661	1878	1167	60.24	50.75
mce1F	Rv0174	Mce family protein Mce1F	butyrate_plus_glucose:12%	0.0932	0.965150882568878	895.78	1122	1303	1133	316	819	1023.86	949.49
Rv1490	Rv1490	membrane protein	hypoxia_late:13%; human_sputum:10%	0.1343	0.981169788498805	1041.7	700	840	813	2969	526	37.77	32.88
nuoJ	Rv3154	NADH-quinone oxidoreductase subunit J	high_iron:15%; butyrate_plus_glucose:13%; tyloxopol:11%	0.1007	0.938348958914969	1008.32	577	818	705	3672	361	546.78	491.27
vapB14	Rv1952	antitoxin VapB14	human_sputum:12%; acidic_tyloxopol:10%	0.1989	0.999292249142894	938.01	905	601	966	1046	1233	18.46	15.1
Rv1990A	Rv1990A	dehydrogenase	hypoxia_late:12%; PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.131	0.986980701871899	1002.47	604	536	689	2501	1178	36.34	31.73
Rv3192	Rv3192	hypothetical protein	hypoxia_late:22%	0.111	0.969637120722292	1018.67	608	596	571	2767	1157	36.46	32.38
MT2341	MT2341	hypothetical protein	hypoxia_late:27%; tyloxopol:11%	0.2498	0.999553679999326	959.9	1196	937	948	631	1143	10.81	8.19
plcB	Rv2350c	membrane-associated phospholipase B	tyloxopol:12%; high_iron:10%	0.1001	0.978622864128606	917.61	1073	1240	1214	298	985	99.64	91.81
Rv2776c	Rv2776c	oxidoreductase	PBS_RIF_DDmtb:12%	0.1053	0.988634584866688	906.3	1213	1179	1152	250	999	122.89	112.82
Rv3027c	Rv3027c	GCN5-like N-acetyltransferase	hypoxia_late:18%	0.1048	0.962503145401505	1000.56	548	667	560	3394	729	52.62	46.95
Rv2809	Rv2809	hypothetical protein	hypoxia_late:13%; INDIGO_exponential:11%	0.1273	0.985116221506511	1012.16	752	755	686	3064	512	171.27	150.8
Rv0452	Rv0452	transcriptional regulator	tyloxopol:14%; ctl_stationary:11%; hypoxia_late:11%; hypoxia_fatty_acids:10%	0.1054	0.982633081085911	943.54	1001	1186	953	414	1317	50.82	46.61
Rv0088	Rv0088	polyketide cyclase/dehydrase	acidic:12%	0.0997	0.948703142062199	994.67	530	691	714	3657	449	292.37	262.87
Rv1579c	Rv1579c	phage protein	hypoxia_late:17%	0.2075	0.999055291924656	964.11	1103	1003	760	986	986	18.4	14.9
Rv3538	Rv3538	dehydrogenase	hypoxia_fatty_acids:24%; hypoxia_late:14%; human_sputum:14%	0.1511	0.992749471847871	1014.72	760	748	827	2360	730	22.1	18.91
MT1305.1	MT1305.1	hypothetical protein	ctl_stationary:22%; hypoxia_late:17%; PBS_RIF_DDmtb:12%	0.1964	0.999089432487892	959.3	1022	826	885	1037	1037	19.72	16.16
serS	Rv3834c	serine--tRNA ligase	hypoxia_late:22%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.1072	0.954452246536701	1043.6	538	832	692	3439	602	47.52	42.33
Rv1156	Rv1156	hypothetical protein	microaerophilic:8%	0.0974	0.978559590916344	911.17	1164	1282	1199	271	895	424.24	392.28
Rv0010c	Rv0010c	membrane protein	tyloxopol:12%; butyrate_plus_glucose:12%	0.0982	0.950067153648396	988.07	575	725	603	3765	414	430.17	387.22
Rv0669c	Rv0669c	neutral ceramidase	PBS_RIF_DDmtb:43%	0.0942	0.944379898405854	968.74	593	699	536	3893	372	140.97	127.08
Rv3680	Rv3680	anion transporter ATPase	acidic_tyloxopol:9%	0.0901	0.963919099784164	901.45	1065	1211	1110	372	905	823.5	765.52
Rv2585c	Rv2585c	lipoprotein	human_sputum:9%	0.099	0.980994495475527	914.93	1078	1153	1234	360	921	267.25	246.87
Rv1373	Rv1373	glycolipid sulfotransferase	ctl_stationary:11%	0.1221	0.977831127781446	1051.56	663	770	706	2846	825	25.99	22.81
MT3449.1	MT3449.1	hypothetical protein	hypoxia_late:48%; ctl_stationary:14%	0.2597	0.999836139232002	940.66	1197	485	1052	803	1293	12.15	9.1
mog	Rv0865	molybdopterin biosynthesis protein	microaerophilic:32%	0.0959	0.953900299539162	964.28	580	620	513	3821	476	311.55	280.66
Rv0377	Rv0377	HTH-type transcriptional regulator	hypoxia_late:19%	0.1087	0.982593503562182	975.18	1011	1312	1185	348	1228	48.57	44.41
espG2	Rv3889c	ESX-2 secretion-associated protein EspG2	human_sputum:9%	0.1098	0.991286501877742	933.99	1110	1083	1251	324	1103	107.04	97.93
MT2810	MT2810	hypothetical protein	PBS_RIF_DDmtb:10%	0.1465	0.993566368202817	1003.95	827	714	872	2306	645	100.99	87.62
Rv1144	Rv1144	oxidoreductase	nutrient_limitation:14%; PBS_RIF_DDmtb:14%; butyrate:10%	0.0972	0.976255119502668	928.6	1181	1395	1182	254	920	229.35	212.01
Rv3747	Rv3747	hypothetical protein	ctl_exponential:16%	0.1011	0.990936498381875	878.18	1173	926	1205	307	977	452.33	417.33
Rv2644c	Rv2644c	hypothetical protein	PBS_RIF_DDmtb:11%	0.1669	0.998674208745385	946.02	862	723	871	1515	847	36.64	31.1
MT1086	MT1086	hypothetical protein	hypoxia_late:22%; zinc_limitation:22%	0.1476	0.997338485427129	955.29	876	511	483	2178	1135	38.2	33
acn	Rv1475c	iron-regulated aconitate hydratase	INDIGO_exponential:10%	0.0885	0.959273288445889	914.84	1112	1318	1101	377	840	311.99	290.21
rimM	Rv2907c	16S rRNA processing protein RimM	hypoxia_late:13%; acidic:11%	0.1007	0.961885736328885	999.29	543	661	570	3652	612	143.81	128.96
Rv2620c	Rv2620c	transmembrane protein	low_iron:18%; butyrate:14%; microaerophilic:13%; ctl_stationary:11%; hypoxia_fatty_acids:11%	0.1379	0.984762566519765	1067.45	742	857	875	2740	621	83.81	73.03
Rv2205c	Rv2205c	hypothetical protein	hypoxia_late:25%; human_sputum:14%	0.1118	0.99033819743716	961.8	1156	1284	1142	299	1166	48.44	44.19
Rv2293c	Rv2293c	hypothetical protein	hypoxia_late:11%	0.109	0.972587469723062	1032.97	638	695	563	3084	889	39.02	34.7
PPE55	Rv3347c	PPE family protein PPE55	microaerophilic:41%	0.1154	0.978912636299342	1045.03	792	903	759	3514	276	49.34	43.69
Rv2774c	Rv2774c	hypothetical protein	human_sputum:16%	0.1075	0.987733956572934	957.12	1002	1118	961	448	1401	68.16	62.51
Rv2143	Rv2143	hypothetical protein	hypoxia_late:9%	0.0933	0.972772342218928	923.65	1061	1219	1053	320	1165	96.85	89.77
MT2168	MT2168	hypothetical protein	acidic_tyloxopol:10%	0.1449	0.995472158537786	991.27	773	572	673	2250	1045	95.17	82.65
fadB4	Rv3141	NADPH quinone oxidoreductase FadB	INDIGO_exponential:7%	0.0895	0.96572567602631	912.61	1090	1249	1085	367	936	334.74	311.21
Rv0786c	Rv0786c	hypothetical protein	hypoxia_late:10%	0.1048	0.96565665634294	1023.65	585	683	545	3332	817	100.24	89.59
Rv1061	Rv1061	hypothetical protein	ctl_stationary:10%	0.0971	0.979448641362929	926.85	1024	1145	1022	351	1273	72.79	67.27
rslA	Rv0736	anti-sigma-L factor RslA	hypoxia_late:21%; PBS_RIF_DDmtb:20%; nutrient_limitation:16%	0.1052	0.964362689053912	1033.49	587	719	579	3243	823	48.18	42.99
MT3560	MT3560	hypothetical protein	PBS_RIF_DDmtb:16%; hypoxia_late:13%; hypoxia_rar:10%	0.1639	0.999551154342788	917.2	988	507	634	1389	1227	29.15	24.84
Rv1730c	Rv1730c	penicillin-binding protein	human_sputum:14%; hypoxia_late:11%	0.1246	0.981904035004303	1067.06	672	809	873	3078	573	36.45	31.97
Rv2811	Rv2811	hypothetical protein	hypoxia_late:57%	0.1873	0.9986182077079	997.17	1035	1058	899	1094	908	11.33	9.29
Rv1363c	Rv1363c	membrane protein	hypoxia_late:16%; hypoxia_rar:11%; hypoxia_hypoxic:10%	0.1067	0.968593972317294	1036.89	602	756	723	3509	522	111.46	99.55
Rv2183c	Rv2183c	hypothetical protein	microaerophilic:9%	0.0994	0.951285813561427	1024.37	557	757	730	3593	482	403.71	363.25
mce3A	Rv1966	Mce family protein Mce3A	hypoxia_late:33%; ctl_stationary:11%	0.1846	0.999314989855198	963.09	1018	863	986	1320	684	10.53	8.64
ephC	Rv1124	epoxide hydrolase EphC	hypoxia_late:20%	0.1068	0.992352812911699	932.94	1217	1115	1117	304	1128	79.59	72.93
Rv3034c	Rv3034c	acetyltransferase	human_sputum:8%	0.1012	0.985202841392982	943.48	1107	1189	1170	328	1123	96.91	89.32
MT3077	MT3077	hypothetical protein	hypoxia_late:40%	0.1578	0.998247115707227	980.32	811	502	709	2103	1101	27.56	23.46
Rv1353c	Rv1353c	HTH-type transcriptional regulator	hypoxia_late:14%; acidic_tyloxopol:12%	0.1482	0.996727174069151	999.87	821	733	888	2079	728	25.35	21.83
Rv1635c	Rv1635c	mannosyltransferase	hypoxia_late:13%	0.1072	0.992315788391036	944.32	1329	1378	1229	220	911	80.94	74.18
cyp139	Rv1666c	cytochrome P450 Cyp139	hypoxia_late:12%	0.0983	0.977026206940756	964.93	956	1216	1202	392	1229	58.96	54.39
fgd2	Rv0132c	F420-dependent glucose-6-phosphate dehydrogenase	hypoxia_late:25%	0.1108	0.99475777586888	944.82	1189	1041	1078	356	1242	40.56	36.98
Rv2310	Rv2310	excisionase	hypoxia_late:44%; ctl_stationary:12%; PBS_RIF_DDmtb:10%	0.2293	0.999803513933642	971.76	1199	709	1011	744	1263	6.19	4.67
Rv2025c	Rv2025c	cation efflux system protein	butyrate:26%; ctl_stationary:17%; hypoxia_late:16%; hypoxia_fatty_acids:12%	0.1014	0.963770352658188	1036.54	561	747	607	3584	648	62.91	56.3
vapB23	Rv2862A	antitoxin VapB23	hypoxia_late:20%; ctl_stationary:16%; PBS_RIF_DDmtb:16%	0.1953	0.999834118401588	943.04	1190	490	781	977	1422	10.46	8.41
trpG	Rv0013	anthranilate synthase component II	INDIGO_exponential:8%	0.0938	0.960177268561473	987	619	682	461	3887	496	181.92	164.08
Rv3651	Rv3651	hypothetical protein	butyrate:10%	0.1091	0.992348857030795	963.47	1228	1252	1210	285	1096	77.71	71.08
hrcA	Rv2374c	heat-inducible transcription repressor HrcA	microaerophilic:10%	0.0899	0.969208039806425	938.19	1063	1250	1157	409	958	366.31	340.5
