GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_RIF	Rv1473A_DMSO_RIF
pks6	Rv0405	membrane bound polyketide synthase	hypoxia_late:23%; ctl_stationary:11%	0.0995	0.933860717394599	1253.88	1375	1459	1464	852	1178	110.36	102.79
lpqN	Rv0583c	lipoprotein LpqN	ctl_exponential:12%; acidic:12%	0.1071	0.956937614064029	1249.2	1387	1426	1403	812	1279	144.82	134.23
prrA	Rv0903c	two component transcriptional regulator PrrA	cholesterol:11%	0.0952	0.910822132947218	1257.06	1400	1513	1414	828	1196	353.16	330.02
asd	Rv3708c	aspartate-semialdehyde dehydrogenase	microaerophilic:25%	0.0926	0.899425989278002	1258.31	1404	1532	1459	841	1126	470.49	440.46
MT3313	MT3313	hypothetical protein	hypoxia_late:9%	0.1136	0.972967987966774	1245.14	1407	1390	1431	826	1230	286.21	264.25
MT3103	MT3103	hypothetical protein	hypoxia_late:32%	0.1544	0.99570784381357	1311.78	1177	820	885	2624	1382	18.91	15.52
glfT2	Rv3808c	galactofuranosyl transferase GlfT	hypoxia_rar:9%	0.0895	0.886721727872577	1258.25	1420	1550	1449	834	1113	322.42	302.39
Rv3071	Rv3071	hypothetical protein	hypoxia_late:15%; ctl_stationary:11%	0.1208	0.976144754904251	1270.22	1302	1341	1324	942	1476	25.33	23.02
lipE	Rv3775	lipase LipE	tyloxopol:9%	0.1018	0.948061767767839	1256.36	1388	1456	1426	825	1248	113.09	105.22
Rv0537c	Rv0537c	integral membrane protein	zinc_limitation:11%	0.0943	0.917052248159654	1260.57	1409	1521	1433	835	1172	261.31	244.08
PE_PGRS11	Rv0754	PE-PGRS family protein PE_PGRS11	microaerophilic:26%; hypoxia_fatty_acids:19%; ctl_stationary:15%; hypoxia_late:11%	0.127	0.990459114055153	1262.24	1403	1357	1384	847	1372	18.48	16.77
Rv1357c	Rv1357c	hypothetical protein	hypoxia_late:18%; ctl_stationary:14%	0.1263	0.990348873497767	1265.85	1349	1289	1413	909	1408	38.56	35.2
Rv3217c	Rv3217c	integral membrane protein	hypoxia_late:9%	0.112	0.97726608434544	1257.51	1410	1393	1447	840	1254	293.63	271.41
Rv0520	Rv0520	methyltransferase/methylase	ctl_stationary:16%; hypoxia_late:16%	0.1733	0.998166006477466	1365.97	1135	952	1035	2893	1176	19.19	15.38
lipV	Rv3203	lipase LipV	PBS_RIF_DDmtb:15%; hypoxia_late:10%	0.1104	0.961159565043197	1277.75	1297	1399	1344	933	1452	68.57	63.08
Rv3492c	Rv3492c	Mce associated protein	acidic_tyloxopol:10%	0.1095	0.977755839560989	1255.36	1432	1417	1412	809	1271	215.38	199.29
PPE47	Rv3021c	PPE family protein	hypoxia_late:49%	0.125	0.986389652689408	1281.89	1335	1335	1337	948	1489	17.34	15.73
Rv0496	Rv0496	hypothetical protein	ctl_stationary:8%	0.0928	0.92234143701341	1271.45	1406	1523	1455	844	1195	292.67	274.06
Rv2405	Rv2405	hypothetical protein	cholesterol:8%	0.1183	0.986155917021221	1262.07	1401	1352	1339	887	1373	117.07	107.13
galE3	Rv0536	UDP-glucose 4-epimerase GalE	hypoxia_late:21%	0.1182	0.983726659963654	1271.15	1385	1385	1393	883	1354	69.14	63.31
cysS1	Rv3580c	cysteine--tRNA ligase	microaerophilic:19%; PBS_RIF_DDmtb:16%	0.0924	0.93028847494026	1271.52	1419	1526	1454	842	1184	221.43	207.39
Rv3399	Rv3399	S-adenosylmethionine-dependent methyltransferase	hypoxia_late:17%; human_sputum:10%	0.1085	0.967345322659162	1283.78	1337	1420	1353	900	1453	39.12	36.1
arcA	Rv1001	arginine deiminase	ctl_stationary:9%	0.0957	0.943002216822154	1277.59	1402	1498	1395	853	1297	110.52	103.19
MT2600.1	MT2600.1	hypothetical protein	hypoxia_late:24%; tyloxopol:12%	0.146	0.994342172182872	1338.53	1031	867	1018	3030	1185	34.84	28.9
Rv0786c	Rv0786c	hypothetical protein	hypoxia_late:10%	0.122	0.99049457267135	1282.26	1380	1338	1385	918	1429	94.38	86.32
sdhD	Rv3317	succinate dehydrogenase hydrophobic membrane anchor subunit	hypoxia_late:12%	0.1165	0.983870098400425	1285.27	1361	1369	1370	925	1439	99.07	90.78
proC	Rv0500	pyrroline-5-carboxylate reductase	hypoxia_late:10%	0.1045	0.968541510374845	1284.51	1405	1470	1423	881	1294	156.81	145.28
aroG	Rv2178c	phospho-2-dehydro-3-deoxyheptonate aldolase AroG	INDIGO_exponential:10%	0.0892	0.931600913058507	1281.96	1436	1552	1476	861	1154	482.86	452.98
pheA	Rv3838c	prephenate dehydratase	hypoxia_late:9%	0.0951	0.94535780981438	1285.53	1392	1503	1432	873	1282	173.46	162.08
Rv0259c	Rv0259c	hypothetical protein	hypoxia_late:27%; ctl_stationary:16%; PBS_RIF_DDmtb:13%	0.1441	0.998800781469266	1290.4	1442	1269	1342	916	1530	14.15	12.6
Rv0968	Rv0968	hypothetical protein	microaerophilic:56%; hypoxia_fatty_acids:16%	0.1003	0.956296736666867	1292.07	1366	1485	1418	890	1350	327.66	305
Rv1056	Rv1056	hypothetical protein	hypoxia_late:8%	0.1157	0.989988499774898	1280.61	1418	1378	1409	821	1441	48.95	45.11
Rv1453	Rv1453	transcriptional activator protein	hypoxia_late:16%	0.0968	0.951505678082923	1284.52	1395	1493	1407	845	1342	82.28	76.8
Rv3405c	Rv3405c	HTH-type transcriptional regulator	hypoxia_fatty_acids:11%	0.1133	0.983917830435112	1288.34	1379	1395	1415	893	1405	88.78	81.82
MT1650.1	MT1650.1	hypothetical protein	acidic_tyloxopol:11%; butyrate_plus_glucose:11%	0.1168	0.986572618290444	1292.14	1362	1361	1373	899	1513	81.81	75.36
Rv0680c	Rv0680c	transmembrane protein	ctl_stationary:21%; microaerophilic:18%	0.1071	0.969923480822514	1304.83	1344	1457	1387	931	1446	128.67	118.98
PPE65	Rv3621c	PPE family protein PPE65	hypoxia_late:43%	0.1146	0.98421453779672	1298.9	1364	1409	1400	904	1463	26.31	24.18
MT0856.1	MT0856.1	hypothetical protein	hypoxia_late:16%; human_sputum:14%; ctl_stationary:12%	0.1255	0.994850768662948	1297.85	1393	1333	1486	851	1488	41.6	38.1
MT3754	MT3754	hypothetical protein	hypoxia_late:14%	0.1328	0.997064277343125	1305.41	1373	1272	1322	1016	1576	67.31	60.68
PPE34	Rv1917c	PPE family protein PPE34	hypoxia_late:32%; ctl_stationary:13%; human_sputum:12%	0.1018	0.965739590037559	1301.02	1352	1491	1456	856	1410	11.77	10.89
Rv3213c	Rv3213c	SOJ/ParA-like protein	ctl_exponential:12%	0.0898	0.943037024949213	1292.04	1451	1561	1477	866	1174	858.12	804.56
MT1771.1	MT1771.1	hypothetical protein	butyrate:13%; tyloxopol:11%; hypoxia_late:10%	0.1545	0.999776489140375	1302.61	1467	1194	1347	897	1677	33.9	30.34
MT2554.2	MT2554.2	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	0.134	0.994773926765549	1328.87	1055	835	980	2975	1228	27.58	23.21
rip	Rv2869c	zinc metalloprotease	zinc_limitation:8%	0.0862	0.933697249254864	1294.24	1448	1567	1450	874	1197	279.55	262.89
Rv0881	Rv0881	tRNA/rRNA methyltransferase	hypoxia_late:15%; ctl_stationary:13%	0.108	0.978414718823372	1309.84	1342	1419	1364	955	1507	37.58	34.66
suhB	Rv2701c	inositol-1-monophosphatase SuhB	hypoxia_late:20%	0.1031	0.968727496041187	1309.39	1357	1471	1410	924	1428	71.07	65.88
Rv3707c	Rv3707c	hypothetical protein	microaerophilic:13%; hypoxia_late:11%	0.1008	0.973088487667	1302.91	1382	1460	1440	908	1370	88.3	82.11
MT2501	MT2501	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:25%	0.1522	0.999810254416124	1303.19	1465	1153	1273	954	1739	13.3	11.76
bisC	Rv1442	biotin sulfoxide reductase BisC	nutrient_limitation:7%	0.0898	0.943545873244253	1305.99	1416	1554	1503	889	1229	127.21	119.29
rsmA	Rv3912	anti-sigma-M factor RsmA	hypoxia_late:30%; ctl_stationary:10%	0.1169	0.988521067283924	1318.98	1343	1384	1354	977	1575	20.42	18.69
birA	Rv3279c	bifunctional biotin operon repressor/biotin--[acetyl-CoA-carboxylase] synthetase	hypoxia_late:13%	0.1018	0.970118201850191	1311.67	1363	1476	1425	915	1425	75.68	70.31
Rv1671	Rv1671	membrane protein	hypoxia_late:18%; ctl_stationary:11%	0.1295	0.997072691537989	1317.64	1360	1270	1275	1033	1692	16.98	15.29
Rv1930c	Rv1930c	hypothetical protein	hypoxia_late:52%	0.1321	0.99401779783816	1351.38	1086	865	984	2831	1359	9.48	7.83
Rv0048c	Rv0048c	membrane protein	PBS_RIF_DDmtb:12%; acidic_tyloxopol:12%	0.0975	0.97278110316247	1302.94	1421	1487	1453	863	1349	117.58	109.78
Rv0744c	Rv0744c	transcriptional regulator	hypoxia_late:20%; ctl_stationary:12%	0.1181	0.995368525720604	1305.19	1435	1371	1388	919	1456	71.86	65.81
Rv2481c	Rv2481c	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	0.1309	0.994897366288069	1347.89	1062	868	998	2992	1241	29.19	24.61
Rv3643	Rv3643	hypothetical protein	hypoxia_late:39%; ctl_stationary:15%	0.1747	0.999948925430539	1340.99	1554	1059	1351	1060	1749	12.03	10.19
Rv1593c	Rv1593c	hypothetical protein	hypoxia_fatty_acids:13%	0.1087	0.993973315627927	1293.36	1519	1427	1496	862	1227	330.72	306.42
Rv2219	Rv2219	transmembrane protein	cholesterol:8%	0.0857	0.941717384945187	1310.86	1444	1580	1489	891	1214	530.02	498.52
Rv2728c	Rv2728c	hypothetical protein	hypoxia_late:22%; microaerophilic:11%	0.1038	0.981807568450819	1316.01	1396	1458	1441	884	1455	63.27	58.84
Rv2807	Rv2807	hypothetical protein	hypoxia_late:37%; ctl_stationary:12%; human_sputum:11%	0.1461	0.999548674720912	1319.42	1408	1237	1306	1084	1589	6.43	5.53
MT0506	MT0506	hypothetical protein	hypoxia_late:18%; microaerophilic:14%; ctl_stationary:12%	0.1597	0.999855883117758	1343.78	1474	1225	1248	1155	1647	34.22	29.91
fum	Rv1098c	fumarate hydratase	tyloxopol:11%	0.0823	0.942749422491403	1313.67	1464	1601	1474	894	1201	314.42	296.32
gatB	Rv3009c	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	zinc_limitation:9%	0.0853	0.952297114855663	1311.11	1456	1564	1501	888	1211	224.1	210.92
cut4	Rv3452	cutinase	hypoxia_late:19%; PBS_RIF_DDmtb:17%	0.1114	0.990730374962942	1322.22	1384	1396	1401	968	1498	54.28	49.91
MT0099.1	MT0099.1	hypothetical protein	hypoxia_late:45%	0.1478	0.998541405301721	1374.76	1207	885	1014	2650	1412	10.07	8.21
ung	Rv2976c	uracil-DNA glycosylase	acidic_tyloxopol:13%; zinc_limitation:10%	0.0897	0.960709815852407	1314.89	1425	1538	1443	898	1324	233.31	218.79
Rv1863c	Rv1863c	integral membrane protein	acidic:10%	0.0828	0.946146684217358	1317.07	1459	1591	1500	901	1199	619.66	584.22
mgtE	Rv0362	Mg2+ transport transmembrane protein MgtE	human_sputum:10%	0.095	0.969829405009519	1323.88	1390	1511	1469	917	1381	72.31	67.51
Rv3483c	Rv3483c	hypothetical protein	hypoxia_late:11%	0.0965	0.977899826139317	1317.14	1433	1510	1436	910	1346	210.27	195.98
Rv0874c	Rv0874c	hypothetical protein	hypoxia_late:13%; ctl_stationary:11%	0.0921	0.96692350247562	1320.03	1414	1522	1446	906	1363	100.53	94.09
Rv3131	Rv3131	NAD(P)H nitroreductase	cholesterol:35%; nutrient_limitation:14%; butyrate:10%	0.126	0.996911563867631	1348.32	1287	1325	1537	1014	1622	1182.03	1081.63
MTS2255	MTS2255	small intergenic RNA	human_sputum:17%; hypoxia_rar:12%; zinc_limitation:12%	0.0874	0.956029318136511	1321.4	1431	1556	1499	911	1266	813.82	765.06
Rv1249c	Rv1249c	membrane protein	ctl_exponential:8%	0.0918	0.963632884803141	1325.42	1389	1528	1472	930	1355	210.43	196.76
Rv3909	Rv3909	hypothetical protein	hypoxia_late:12%; tyloxopol:11%	0.0833	0.950089926652275	1318.62	1454	1589	1484	902	1226	139.71	131.57
Rv3267	Rv3267	hypothetical protein	human_sputum:11%	0.0892	0.976198895815087	1304.28	1527	1534	1505	875	1153	560.2	525.84
MT3814.1	MT3814.1	hypothetical protein	hypoxia_late:57%	0.1825	0.999989801734089	1348.77	1496	822	1004	1793	1785	2.12	1.44
MT2983	MT2983	hypothetical protein	hypoxia_late:10%	0.1063	0.995107850186399	1318.71	1484	1430	1424	921	1380	107.5	99.3
Rv3238c	Rv3238c	integral membrane protein	cholesterol:12%	0.0994	0.987597244022096	1337.35	1430	1481	1427	943	1449	90.83	84.41
Rv1742	Rv1742	hypothetical protein	ctl_stationary:16%; hypoxia_late:12%; human_sputum:11%	0.1038	0.988178136473318	1352.89	1365	1437	1421	1020	1554	53.42	49.27
MT3755	MT3755	hypothetical protein	hypoxia_late:19%	0.1249	0.998675674997543	1344.42	1438	1337	1419	994	1572	53.74	49.1
Rv2640c	Rv2640c	ArsR family transcriptional regulator	hypoxia_fatty_acids:11%; hypoxia_late:11%; human_sputum:10%; butyrate:10%	0.1205	0.998377094803839	1346.9	1446	1368	1530	939	1500	73.94	67.77
Rv2133c	Rv2133c	hypothetical protein	ctl_stationary:11%	0.0913	0.981213034830097	1337.66	1458	1535	1480	912	1357	167.04	156.5
drrC	Rv2938	daunorubicin ABC transporter permease DrrC	INDIGO_exponential:14%	0.099	0.99217059485225	1330.07	1462	1452	1514	934	1335	218.23	203.41
Rv2468A	Rv2468A	hypothetical protein	ctl_exponential:12%	0.0924	0.981723516668157	1346.75	1441	1542	1462	941	1395	533.31	498.63
Rv3517	Rv3517	hypothetical protein	hypoxia_late:29%; zinc_limitation:11%	0.1037	0.98923873797446	1358.58	1369	1451	1386	1036	1583	29.56	27.29
Rv1419	Rv1419	hypothetical protein	ctl_stationary:13%; human_sputum:10%	0.1015	0.995699412098365	1326.81	1531	1462	1497	882	1323	232.24	216.18
dnaE1	Rv1547	DNA polymerase III subunit alpha	zinc_limitation:13%	0.078	0.957920571259251	1342.28	1482	1626	1545	927	1198	204.41	193.3
fadD12	Rv1427c	long-chain-fatty-acid--CoA ligase FadD12	hypoxia_late:12%; high_iron:10%	0.0963	0.990880910843872	1343.75	1466	1499	1488	947	1364	112.1	104.41
rpoA	Rv3457c	DNA-directed RNA polymerase subunit alpha	high_iron:9%	0.0875	0.985345885245075	1331.58	1512	1531	1526	928	1219	931.34	874.97
Rv3406	Rv3406	dioxygenase	hypoxia_fatty_acids:52%	0.1033	0.991703176194688	1362.18	1391	1453	1408	1001	1597	23.84	22.05
Rv3626c	Rv3626c	hypothetical protein	microaerophilic:17%	0.0882	0.979105724458676	1349.08	1452	1553	1513	935	1344	181.64	170.44
eno	Rv1023	enolase	ctl_exponential:9%	0.0865	0.974238929951683	1349.49	1457	1582	1524	937	1302	236.37	221.92
MT2895	MT2895	hypothetical protein	hypoxia_late:21%	0.1669	0.99993105717031	1408.76	1671	1347	1452	979	1656	32.69	28.47
vapB15	Rv2009	antitoxin VapB15	INDIGO_exponential:16%; tyloxopol:13%	0.1026	0.997005045928	1340.41	1548	1440	1534	922	1313	736.72	685.79
Rv3836	Rv3836	hypothetical protein	PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.1036	0.995882214583021	1349.89	1472	1450	1437	929	1511	93.08	86.38
alaU	Rvnt37	tRNA-Ala	hypoxia_late:13%; butyrate:12%	0.1564	0.999794068924994	1419.26	1378	840	1138	2350	1604	20.61	16.99
atpH	Rv1307	ATP synthase subunit b/delta	INDIGO_exponential:12%; ctl_exponential:11%	0.0738	0.95252272863289	1347.72	1514	1654	1557	926	1162	1720.92	1632.59
fadD7	Rv0119	fatty-acid--CoA ligase FadD7	hypoxia_late:17%	0.0914	0.981512892491005	1360.78	1413	1530	1448	976	1478	43.1	40.25
Rv3113	Rv3113	phosphatase	hypoxia_late:35%; ctl_stationary:23%; PBS_RIF_DDmtb:10%	0.1272	0.997042152137401	1415.08	1172	969	1148	2785	1301	7.03	5.8
MT0494	MT0494	hypothetical protein	butyrate_plus_glucose:9%	0.1001	0.992686070534022	1360.6	1434	1474	1458	961	1520	299.29	279.11
cfp6	Rv3004	low molecular weight protein antigen 6	butyrate_plus_glucose:9%	0.0871	0.979532851871032	1354.69	1447	1546	1466	932	1433	311.68	293.01
MT3080.1	MT3080.1	hypothetical protein	zinc_limitation:10%	0.0938	0.987087141890291	1359.87	1428	1509	1461	970	1473	297.62	278.47
narX	Rv1736c	nitrate reductase-like protein NarX	cholesterol:18%; ctl_stationary:16%; hypoxia_hypoxic:14%	0.1126	0.998411805851023	1351.81	1477	1413	1507	895	1527	95.9	88.55
arsA	Rv2684	arsenic-transport integral membrane protein ArsA	zinc_limitation:10%	0.0893	0.983022805312712	1357.8	1445	1545	1475	945	1427	74.5	69.84
lppU	Rv2784c	lipoprotein LppU	acidic_tyloxopol:11%	0.0987	0.996298454968823	1347.16	1565	1478	1493	903	1356	216.11	201.5
PPE46	Rv3018c	PPE family protein PPE46	hypoxia_late:46%	0.112	0.9979283624759	1367.66	1429	1403	1470	1021	1549	17.27	15.83
Rv0963c	Rv0963c	hypothetical protein	hypoxia_late:25%; ctl_stationary:16%; PBS_RIF_DDmtb:14%	0.126	0.999564589483506	1360.78	1485	1356	1523	905	1598	11.47	10.41
PE27A	Rv3018A	PE family protein	hypoxia_late:69%	0.1525	0.999899845202157	1401.73	1415	830	1003	2231	1753	12.98	10.57
pfkA	Rv3010c	6-phosphofructokinase	cholesterol:8%	0.0919	0.99270348339309	1355.09	1498	1519	1562	936	1315	217.61	203.95
tesB1	Rv1618	acyl-CoA thioesterase TesB	tyloxopol:9%	0.0873	0.983523592715342	1364.17	1473	1571	1520	944	1365	206.43	193.77
mmpL4	Rv0450c	transmembrane transport protein MmpL4	tyloxopol:15%	0.076	0.969350424552928	1357.77	1493	1622	1535	949	1249	148.08	140.24
kdpC	Rv1031	potassium-transporting ATPase subunit C	human_sputum:14%; acidic_tyloxopol:10%; hypoxia_late:10%	0.1178	0.99889244750789	1379.42	1601	1414	1457	988	1481	58.9	54.09
ileT	Rvnt01	tRNA-Ile	zinc_limitation:14%; human_sputum:14%	0.1326	0.999830873036559	1376.97	1561	1298	1467	956	1663	64.4	58.72
MT0122	MT0122	phosphoheptose isomerase	butyrate_plus_glucose:9%	0.0903	0.988324489121448	1379.17	1439	1540	1460	995	1502	52.25	48.87
Rv0338c	Rv0338c	iron-sulfur-binding reductase	tyloxopol:10%	0.073	0.963090936475083	1361.69	1525	1649	1559	950	1193	433.8	411.76
atsB	Rv3299c	arylsulfatase AtsB	hypoxia_late:10%	0.0762	0.972710666834429	1371.5	1490	1645	1541	957	1283	142.89	135.2
Rv0359	Rv0359	zinc metalloprotease	hypoxia_late:18%	0.0994	0.996539029005747	1374.91	1486	1489	1492	960	1494	61.42	57.19
Rv3453	Rv3453	conserved membrane protein	PBS_RIF_DDmtb:30%; hypoxia_late:14%	0.1359	0.998979951414768	1436.52	1189	922	1267	2794	1311	16.21	13.4
PE19	Rv1791	PE family protein PE19	human_sputum:17%; hypoxia_rar:11%	0.0899	0.992836847989016	1366.61	1517	1555	1509	952	1351	651.83	611
rpmB2	Rv2058c	50S ribosomal protein L28	human_sputum:68%; zinc_limitation:22%	0.1558	0.999787228126499	1462.62	1324	986	1225	2577	1419	12	9.67
thrT	Rvnt06	tRNA-Thr	hypoxia_late:14%; hypoxia_hypoxic:12%	0.1186	0.999329385476625	1385.33	1550	1410	1445	1003	1560	214.8	196.98
Rv1211	Rv1211	hypothetical protein	acidic:10%; INDIGO_exponential:10%	0.0851	0.988599458643915	1368.98	1545	1598	1564	940	1261	2602.9	2449.15
dxr	Rv2870c	1-deoxy-D-xylulose 5-phosphate reductoisomerase	microaerophilic:12%	0.0977	0.997076510294925	1374.05	1599	1504	1531	962	1327	174.83	163.12
Rv1748	Rv1748	hypothetical protein	hypoxia_late:10%	0.0931	0.99372651527586	1389.26	1463	1529	1481	978	1541	62.84	58.79
Rv2954c	Rv2954c	hypothetical protein	INDIGO_exponential:10%	0.0944	0.996847699168505	1373.44	1583	1516	1533	965	1322	347.84	324.95
Rv1101c	Rv1101c	hypothetical protein	tyloxopol:9%	0.0781	0.980246544237575	1383.46	1481	1614	1522	974	1376	188.89	178.42
vapC39	Rv2530c	ribonuclease VapC39	INDIGO_exponential:12%	0.0884	0.989808933428107	1388.8	1461	1559	1512	973	1486	183.5	172.37
snoP	Rv2604c	glutamine amidotransferase SnoP	hypoxia_late:10%	0.0911	0.995091561208923	1380.47	1506	1537	1548	966	1394	218.93	205.2
pta	Rv0408	phosphate acetyltransferase	hypoxia_late:10%	0.0798	0.986019844092034	1381.19	1505	1607	1561	951	1339	111.29	105.09
murX	Rv2156c	phospho-N-acetylmuramoyl- pentappeptidetransferase	microaerophilic:37%	0.0795	0.981208696825706	1388.49	1480	1625	1574	980	1336	283.35	267.59
Rv2633c	Rv2633c	hypothetical protein	acidic_tyloxopol:21%; butyrate:12%; acidic:11%	0.1151	0.999232541563992	1394.33	1562	1402	1442	1056	1542	79.47	72.69
MT1849.1	MT1849.1	hypothetical protein	PBS_RIF_DDmtb:24%; hypoxia_late:19%; ctl_stationary:17%	0.1474	0.99985143316669	1435.64	1479	984	1084	2113	1659	3.97	3.09
MT3033	MT3033	hypothetical protein	hypoxia_late:23%	0.1261	0.999816589225444	1388.42	1469	1283	1555	1042	1636	41.06	37.33
cysW	Rv2398c	sulfate ABC transporter permease CysW	nutrient_limitation:23%; PBS_RIF_DDmtb:21%	0.1023	0.998535565002965	1382.83	1542	1472	1515	986	1442	90.48	84.07
gcpE	Rv2868c	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	microaerophilic:8%	0.0746	0.975793130404471	1387.68	1489	1655	1593	984	1275	654.27	620.26
Rv0223c	Rv0223c	aldehyde dehydrogenase	hypoxia_late:12%; acidic:11%	0.0875	0.989619858930416	1400.95	1437	1551	1511	1023	1521	42.53	39.88
thiX	Rv0816c	thioredoxin ThiX	hypoxia_late:19%	0.1058	0.998550392294854	1395.2	1440	1412	1435	1106	1608	66.3	60.98
tpx	Rv1932	thiol peroxidase	ctl_exponential:13%	0.0789	0.986200707396512	1386.28	1509	1617	1577	983	1299	846.4	799.61
MT2480	MT2480	hypothetical protein	hypoxia_late:29%	0.1284	0.999879079502226	1387.96	1524	1302	1368	1051	1743	16.59	14.98
Rv2614A	Rv2614A	hypothetical protein	butyrate_plus_glucose:12%; hypoxia_late:11%	0.0982	0.996267699892221	1405.95	1427	1486	1473	1034	1650	84.23	78.5
Rv0348	Rv0348	transcriptional regulator	hypoxia_fatty_acids:10%	0.1092	0.999215263677007	1391.12	1516	1421	1438	1049	1564	45.77	42.02
Rv2342	Rv2342	hypothetical protein	INDIGO_exponential:10%	0.0933	0.997347167141288	1387.44	1544	1515	1546	938	1450	283.3	265.46
MT3084	MT3084	hypothetical protein	tyloxopol:10%	0.0805	0.986247548270877	1392.76	1478	1587	1528	990	1426	217.77	205.68
tgs1	Rv3130c	diacyglycerol O-acyltransferase	cholesterol:42%	0.1114	0.99894891172855	1410.45	1353	1373	1611	1077	1680	1064.4	983.69
lppP	Rv2330c	lipoprotein LppP	hypoxia_late:19%	0.1406	0.999913186931766	1417.56	1537	1313	1380	1235	1642	7.83	6.82
Rv1111c	Rv1111c	hypothetical protein	tyloxopol:11%	0.0759	0.982955051886371	1391.61	1499	1635	1508	981	1385	219.49	207.79
phoY2	Rv0821c	phosphate-transport system transcriptional regulator PhoY2	nutrient_limitation:15%	0.074	0.982224785405752	1399.11	1520	1650	1563	985	1332	471.52	447.22
Rv3776	Rv3776	hypothetical protein	hypoxia_late:19%	0.0812	0.989756818865438	1405.91	1483	1603	1542	1010	1435	101.49	95.61
Rv3525c	Rv3525c	siderophore-binding protein	hypoxia_late:12%	0.1024	0.998926536839439	1402.67	1532	1483	1485	975	1588	44.76	41.64
oppD	Rv1281c	oligopeptide ABC transporter ATP-binding protein OppD	hypoxia_late:11%	0.0762	0.986281601429743	1403.9	1495	1641	1536	991	1406	97.63	92.39
PE_PGRS32	Rv1803c	PE-PGRS family protein PE_PGRS32	hypoxia_late:34%	0.0976	0.99819545700304	1407.02	1605	1562	1510	971	1440	37.7	35.06
whiA	Rv1423	transcriptional regulator WhiA	hypoxia_late:11%	0.078	0.988960979083328	1406.46	1508	1629	1582	996	1368	240.29	227.24
Rv2548A	Rv2548A	hypothetical protein	acidic_tyloxopol:8%	0.0903	0.997249067207995	1401.21	1555	1541	1529	967	1465	201.98	189.59
Rv3899c	Rv3899c	hypothetical protein	hypoxia_late:28%	0.0813	0.990004152661063	1416.84	1476	1612	1502	1018	1519	70.49	66.39
Rv1738	Rv1738	hypothetical protein	cholesterol:29%; ctl_stationary:13%	0.114	0.999571568316008	1418.31	1423	1406	1604	1045	1657	1341.04	1237.8
MT1321	MT1321	hypothetical protein	hypoxia_late:24%; ctl_stationary:21%	0.1845	0.99999999933912	1387.8	1628	817	921	1635	2167	1.38	0.75
MT2626	MT2626	hypothetical protein	PBS_RIF_DDmtb:14%	0.0858	0.993825664217052	1418.15	1471	1570	1506	1007	1582	84.48	79.53
atpC	Rv1311	ATP synthase subunit epsilon	ctl_exponential:15%; INDIGO_exponential:12%	0.0713	0.982491841615112	1407.66	1546	1677	1594	992	1289	1465	1391.64
nirD	Rv0253	nitrite reductase small subunit NirD	nutrient_limitation:19%; hypoxia_late:11%	0.1106	0.999626360125117	1409.11	1547	1418	1494	1032	1594	44.54	41.03
PE_PGRS21	Rv1087	PE-PGRS family protein PE_PGRS21	hypoxia_late:20%; cholesterol:12%	0.1037	0.999243829051346	1417.25	1500	1496	1549	1006	1580	79.59	73.78
lipO	Rv1426c	esterase LipO	hypoxia_late:13%	0.0916	0.997351226349513	1417.15	1712	1558	1532	969	1377	124.17	116.26
Rv1363c	Rv1363c	membrane protein	hypoxia_late:16%; hypoxia_rar:11%; hypoxia_hypoxic:10%	0.0911	0.997553554927859	1412.48	1523	1539	1483	1027	1529	98.17	91.62
pepC	Rv0800	M18 family aminopeptidase	hypoxia_late:25%	0.0863	0.994400373925307	1428	1468	1579	1552	1047	1532	59.96	56.24
Rv3629c	Rv3629c	integral membrane protein	human_sputum:10%	0.0865	0.997064561500923	1411.2	1529	1544	1538	1002	1487	82.26	77.3
MT3631	MT3631	hypothetical protein	hypoxia_fatty_acids:22%; hypoxia_late:20%	0.1254	0.999895469250629	1427.07	1453	1268	1363	1341	1732	25.98	23.17
gadB	Rv3432c	glutamate decarboxylase GadB	hypoxia_late:16%	0.087	0.995429866063843	1428.09	1488	1584	1566	1030	1514	55.4	51.99
Rv0560c	Rv0560c	benzoquinone methyltransferase	hypoxia_fatty_acids:90%	0.1006	0.999188292466212	1419.93	1567	1495	1551	1013	1517	68.39	63.62
parD1	Rv1960c	antitoxin ParD1	hypoxia_fatty_acids:34%	0.1002	0.999274247707096	1417.47	1507	1463	1451	1093	1602	114.38	105.93
nrdR	Rv2718c	transcriptional regulator NrdR	zinc_limitation:25%	0.0878	0.997080646608891	1423.18	1549	1578	1572	999	1466	206.8	194.18
Rv2609c	Rv2609c	membrane protein	hypoxia_late:10%	0.0716	0.986352751523867	1420.55	1534	1669	1567	1009	1375	283.13	268.8
vapC11	Rv1561	ribonuclease VapC11	INDIGO_exponential:11%	0.0926	0.998552988474931	1421.69	1551	1520	1544	987	1556	112.63	105.63
