GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_RIF	Rv0494_DMSO_RIF
PE_PGRS4	Rv0279c	PE-PGRS family protein PE_PGRS4	microaerophilic:40%; hypoxia_late:15%	0.1399	0.970360860875953	514.68	477	513	694	339	585	103.53	93.67
Rv0034	Rv0034	hypothetical protein	hypoxia_late:25%; ctl_stationary:11%	0.1641	0.967875697944289	585.65	167	130	146	4238	380	14.72	11.82
PE_PGRS24	Rv1325c	PE-PGRS family protein PE_PGRS24	hypoxia_late:24%; microaerophilic:18%	0.1321	0.9614423411928	520.46	558	640	693	410	345	88.07	80.08
Rv0943c	Rv0943c	monooxygenase	hypoxia_late:50%; ctl_stationary:12%	0.1513	0.980268136676043	538.84	426	453	520	513	823	7.82	6.9
Rv1543	Rv1543	oxidoreductase	human_sputum:7%	0.1043	0.880222301514672	502.15	545	673	591	397	343	347.6	322.62
Rv2277c	Rv2277c	glycerolphosphodiesterase	hypoxia_late:22%; human_sputum:15%	0.1432	0.979094925758996	519.88	476	473	524	503	631	22.44	20.1
ruvB	Rv2592c	Holliday junction ATP-dependent DNA helicase RuvB	PBS_RIF_DDmtb:15%	0.1003	0.862280851929701	492.6	532	654	523	404	375	229.37	213.62
Rv3142c	Rv3142c	hypothetical protein	butyrate:8%	0.1051	0.894736562105492	495.13	520	629	536	396	413	301.47	279.58
frdC	Rv1554	fumarate reductase membrane anchor subunit	hypoxia_late:25%; acidic:20%; acidic_tyloxopol:14%	0.2001	0.9796324459683	624.58	252	108	148	3783	626	7.07	5.37
Rv3434c	Rv3434c	transmembrane protein	human_sputum:12%	0.1136	0.935298564835652	502.13	488	537	443	465	584	63.98	58.87
MT1978	MT1978	hypothetical protein	INDIGO_exponential:14%; tyloxopol:13%; cholesterol:12%; hypoxia_late:10%	0.1303	0.964943939064545	514.09	441	441	500	495	716	236.34	215.34
cyp123	Rv0766c	cytochrome P450 Cyp123	butyrate:17%; hypoxia_fatty_acids:16%; ctl_stationary:11%; hypoxia_late:10%	0.1342	0.96528920704056	526.57	470	557	601	429	587	20.66	18.69
Rv1072	Rv1072	transmembrane protein	hypoxia_fatty_acids:15%	0.1047	0.890255689458041	503.06	557	660	626	408	311	2422.28	2249.34
mymT	Rv0186A	metallothionein	hypoxia_fatty_acids:39%; microaerophilic:25%	0.0978	0.864853464542635	494.91	559	674	455	400	412	1011.71	943.17
vapB29	Rv0616A	antitoxin VapB29	ctl_stationary:11%	0.1283	0.973479572813188	512.42	568	511	469	459	560	167.75	152.54
Rv3327	Rv3327	transposase fusion protein	hypoxia_late:18%; ctl_stationary:10%	0.1073	0.920970002351841	512.72	492	602	482	454	540	34.84	32.21
Rv0634A	Rv0634A	hypothetical protein	ctl_exponential:18%; acidic:10%	0.1245	0.95610428677311	536.79	575	670	733	390	367	640.87	585.95
MT0025	MT0025	hypothetical protein	hypoxia_late:30%; PBS_RIF_DDmtb:18%; ctl_stationary:17%	0.2083	0.997077960427466	565.59	573	379	380	591	1005	9	7.46
PPE43	Rv2768c	PPE family protein PPE43	hypoxia_late:24%	0.1225	0.96171868716481	516.42	527	560	537	433	530	37	33.78
PE_PGRS32	Rv1803c	PE-PGRS family protein PE_PGRS32	hypoxia_late:34%	0.1051	0.906609975856791	518.08	521	679	528	407	474	40.98	38.01
PPE3	Rv0280	PPE family protein PPE3	human_sputum:38%; zinc_limitation:15%; microaerophilic:15%	0.1087	0.940769335407193	510.56	650	648	622	358	330	140.34	129.95
leuU	Rvnt22	tRNA-Leu	hypoxia_late:34%	0.3649	0.999568176053795	528.66	631	60	112	1580	1009	6.95	4.23
ddn	Rv3547	deazaflavin-dependent nitroreductase	human_sputum:11%	0.1292	0.969824650186281	526.99	514	547	666	449	472	133.36	121.29
Rv1972	Rv1972	Mce associated membrane protein	hypoxia_late:39%; ctl_stationary:12%	0.1623	0.969582818109788	606.23	164	152	186	4255	365	10.82	8.66
Rv2698	Rv2698	transmembrane protein	PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.1255	0.967630799076509	524.48	534	555	658	440	450	141.38	129.05
Rv2226	Rv2226	hypothetical protein	hypoxia_late:12%; human_sputum:11%	0.1346	0.980508329290178	525.28	662	612	689	380	338	76.23	69.14
Rv0460	Rv0460	hypothetical protein	acidic_tyloxopol:9%	0.1123	0.942946978935348	521.46	547	624	533	438	475	355.67	327.66
Rv2723	Rv2723	integral membrane protein	hypoxia_late:11%	0.12	0.956736634127152	532.49	506	608	571	444	541	37.87	34.64
Rv0948c	Rv0948c	chorismate mutase	high_iron:10%	0.1082	0.936193280558923	518.46	497	568	404	494	645	142.31	131.69
leuW	Rvnt19	tRNA-Leu	hypoxia_late:31%; ctl_stationary:11%	0.451	0.999303657204887	568.22	624	219	306	1283	681	8.61	4.71
Rv0224c	Rv0224c	methyltransferase	hypoxia_late:13%	0.1137	0.940304766342167	536.49	467	582	515	493	634	48.68	44.82
esxS	Rv3020c	ESAT-6 like protein EsxS	hypoxia_late:31%	0.1206	0.964314689983499	528.64	519	533	470	483	647	104.58	95.9
plsB2	Rv2482c	glycerol-3-phosphate acyltransferase	zinc_limitation:8%	0.0936	0.859854764529777	515.16	596	724	511	411	372	111.1	103.89
esxC	Rv3890c	ESAT-6 like protein EsxC	hypoxia_rar:10%	0.1163	0.951723132187374	540.96	495	604	643	475	498	256.65	235.85
Rv1251c	Rv1251c	hypothetical protein	hypoxia_late:19%	0.0978	0.888484516907453	523.2	591	716	569	394	384	64.09	59.67
vapB11	Rv1560	antitoxin VapB11	INDIGO_exponential:10%	0.129	0.981182688470149	532.79	555	477	486	505	650	129.99	118.33
Rv3475	Rv3475	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1133	0.95837232168908	536.04	500	518	341	555	819	20.57	18.89
Rv2307A	Rv2307A	hypothetical protein	hypoxia_late:17%; human_sputum:13%	0.1641	0.977256850148281	635.09	227	110	136	4016	646	19.45	15.64
MT3953	MT3953	hypothetical protein	acidic_tyloxopol:14%	0.1478	0.986296361968599	573.53	431	459	685	583	742	137.08	122.47
Rv2354	Rv2354	transposase	hypoxia_late:33%; ctl_stationary:17%	0.137	0.983056266947885	561.17	478	444	476	579	878	35.16	31.74
Rv1060	Rv1060	hypothetical protein	ctl_exponential:10%	0.1048	0.931908059449597	540.85	572	690	616	417	435	228.18	211.93
csm2	Rv2822c	CRISPR type III-associated protein Csm2	hypoxia_late:17%; human_sputum:16%	0.1449	0.985828482697419	574.31	457	496	728	571	640	62.61	56.28
PE33	Rv3650	PE family protein PE33	hypoxia_late:41%	0.1635	0.995684558190017	556.08	565	351	460	577	896	23.56	20.81
dfrA	Rv2763c	dihydrofolate reductase	PBS_RIF_DDmtb:8%	0.0959	0.911068335490815	522.98	590	669	398	468	511	205.56	192.06
PPE48	Rv3022c	PPE family protein	hypoxia_late:48%; ctl_stationary:10%	0.1961	0.998537035794108	567.83	611	265	373	744	996	13.29	11.27
Rv3190A	Rv3190A	hypothetical protein	human_sputum:14%; zinc_limitation:12%	0.1002	0.915442570214238	540.27	556	692	504	470	493	490.31	456.22
fadD23	Rv3826	long-chain-fatty-acid--CoA ligase FadD23	zinc_limitation:10%	0.1015	0.931725967395102	538.65	612	698	555	423	431	75.9	70.45
kdpC	Rv1031	potassium-transporting ATPase subunit C	human_sputum:14%; acidic_tyloxopol:10%; hypoxia_late:10%	0.1282	0.979959192930252	555.32	581	585	613	436	571	60.4	55
MTS1180	MTS1180	small intergenic RNA	acidic_tyloxopol:10%	0.1322	0.983562670637217	556.1	571	548	612	491	562	96.83	87.79
csm3	Rv2821c	CRISPR type III-associated RAMP protein Csm3	human_sputum:11%	0.1226	0.976783645403838	549.12	586	573	586	460	546	70.8	64.61
Rv0500B	Rv0500B	conserved hypothetical protein	acidic:19%; ctl_exponential:15%	0.127	0.982653902940147	544.14	707	641	742	383	321	2049.57	1873.44
Rv0909	Rv0909	antitoxin	human_sputum:14%	0.108	0.948470244258937	550.43	538	639	585	479	518	454.48	420.1
recA	Rv2737c	recombinase A	zinc_limitation:36%	0.0928	0.878975171663168	539.7	595	722	617	450	355	531.96	498.09
ctpI	Rv0107c	cation-transporter ATPase I	zinc_limitation:13%; hypoxia_late:10%	0.0875	0.849453419734272	526.93	646	763	480	446	350	129.37	121.53
Rv1382	Rv1382	hypothetical protein	hypoxia_late:17%; zinc_limitation:11%	0.109	0.95711446677622	545.28	511	558	397	524	768	58.33	53.93
vapB39	Rv2530A	antitoxin VapB39	INDIGO_exponential:12%; hypoxia_late:10%	0.1066	0.946202693578729	550.95	504	610	461	535	656	209.75	194.2
Rv3706c	Rv3706c	hypothetical protein	human_sputum:13%; ctl_exponential:11%; acidic_tyloxopol:10%	0.1514	0.994362554699812	564.58	603	452	775	430	596	48.17	43.25
MT2993	MT2993	hypothetical protein	hypoxia_late:16%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.1997	0.9987243164325	570.83	693	386	446	560	824	36.31	31.02
PE_PGRS60	Rv3652	PE-PGRS family-related protein PE_PGRS60	hypoxia_late:23%	0.1366	0.987908494690579	562.87	564	501	548	540	668	72.12	65.03
coaA	Rv1092c	pantothenate kinase	hypoxia_late:11%	0.1154	0.973428058096196	549.49	672	657	634	409	410	125.5	115.35
mmpS2	Rv0506	membrane protein MmpS2	tyloxopol:10%	0.1032	0.948144185595788	546.19	578	644	549	456	513	174.79	162.42
Rv3658c	Rv3658c	transmembrane protein	hypoxia_late:19%	0.103	0.942778431037075	553.69	553	645	484	477	620	65.11	60.53
moaC3	Rv3324c	cyclic pyranopterin monophosphate synthase accessory protein	hypoxia_late:21%; human_sputum:14%; ctl_stationary:10%	0.1449	0.991799126668422	580.54	517	435	618	576	785	21.7	19.45
Rv1729c	Rv1729c	S-adenosylmethionine-dependent methyltransferase	hypoxia_late:13%	0.1095	0.958224293516213	568.17	513	625	584	512	612	56.14	51.79
MT0932	MT0932	hypothetical protein	human_sputum:17%; hypoxia_late:12%	0.1606	0.995569422715822	581.39	536	374	557	581	922	45.63	40.48
Rv0849	Rv0849	MFS-type transporter	microaerophilic:57%	0.1282	0.981101642298968	573.75	562	599	702	486	531	33.32	30.36
MT1166	MT1166	hypothetical protein	PBS_RIF_DDmtb:35%; hypoxia_late:23%; ctl_stationary:11%	0.2558	0.995534644975958	699.97	452	96	145	3410	948	12.3	8.91
Rv3690	Rv3690	membrane protein	hypoxia_late:11%; human_sputum:11%	0.1019	0.941571966892333	562.22	540	653	459	530	641	91.74	85.11
Rv0061c	Rv0061c	hypothetical protein	acidic:8%	0.1016	0.9372771219239	568.76	629	750	715	421	381	729.49	678.52
mmaA4	Rv0642c	hydroxymycolate synthase MmaA4	tyloxopol:8%	0.1142	0.975935438533908	560.02	758	708	726	381	314	481.88	444.17
mce1D	Rv0172	Mce family protein Mce1D	butyrate_plus_glucose:15%; acidic_tyloxopol:10%	0.0923	0.880823644777122	567.76	610	818	659	447	362	382.98	358.55
lipY	Rv3097c	triacylglycerol lipase Lip	PBS_RIF_DDmtb:20%; hypoxia_late:20%; ctl_stationary:15%	0.1144	0.969917256422468	569.77	552	606	590	473	635	27.78	25.55
Rv0190	Rv0190	hypothetical protein	hypoxia_fatty_acids:10%	0.0901	0.896799469466718	541.58	625	739	522	432	422	707.09	663.53
Rv0792c	Rv0792c	transcriptional regulator	hypoxia_fatty_acids:60%	0.1111	0.965524499655876	569.1	544	596	506	496	717	37.33	34.45
MT1742	MT1742	hypothetical protein	tyloxopol:11%; INDIGO_exponential:11%	0.1188	0.967768047249419	588.26	471	561	485	631	826	102.48	93.91
MT2405	MT2405	hypothetical protein	hypoxia_late:12%; ctl_stationary:12%	0.1747	0.988356188247145	668.77	291	127	142	4018	659	19.75	15.72
PPE52	Rv3144c	PPE family protein PPE52	hypoxia_late:11%	0.0886	0.88600124737295	554.4	633	767	551	458	400	269.93	253.35
Rv0796	Rv0796	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1094	0.967314861424447	568.87	523	551	356	606	866	20.51	18.88
Rv1763	Rv1763	transposase	hypoxia_late:34%; ctl_stationary:17%	0.132	0.987115775865846	586.95	512	458	451	659	912	35.11	31.79
cadI	Rv2641	cadmium inducible protein CadI	hypoxia_fatty_acids:56%; butyrate:10%	0.1104	0.967221048695796	574.02	507	559	383	623	847	52.31	48.16
Rv3788	Rv3788	hypothetical protein	hypoxia_late:13%	0.1301	0.984282044119053	592.33	548	584	711	525	602	71.4	64.89
gatB	Rv3009c	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	zinc_limitation:9%	0.0928	0.917026329428308	567.65	640	756	647	443	394	213.48	199.77
rsmA	Rv3912	anti-sigma-M factor RsmA	hypoxia_late:30%; ctl_stationary:10%	0.1331	0.991754185052012	572.84	609	460	503	527	793	16.51	14.93
moaR1	Rv3124	transcriptional regulator MoaR	hypoxia_late:16%; human_sputum:15%; ctl_stationary:14%	0.1373	0.987967268393898	597.02	491	494	519	655	865	10.7	9.57
Rv2267c	Rv2267c	hypothetical protein	hypoxia_late:26%; ctl_stationary:11%	0.1411	0.990615932284634	601.8	569	578	620	516	737	11.65	10.42
Rv0830	Rv0830	S-adenosylmethionine-dependent methyltransferase	tyloxopol:11%	0.0982	0.93991712085894	585.45	574	730	559	518	557	94.69	88.17
PE20	Rv1806	PE family protein PE20	hypoxia_hypoxic:30%; acidic:14%; hypoxia_rar:10%	0.1542	0.997510048658822	585.81	638	268	213	941	1164	9.35	8.17
Rv1999c	Rv1999c	transporter	hypoxia_late:36%; ctl_stationary:14%	0.1666	0.994110117250065	638.69	299	187	239	4357	194	6.58	5.15
sseC1	Rv3118	hypothetical protein	low_iron:9%	0.1055	0.965498748223368	577.9	680	703	730	428	396	599.66	556.34
Rv3185	Rv3185	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1067	0.967116275372102	580.36	554	580	319	632	890	20.34	18.76
metT	Rvnt07	tRNA-Met	human_sputum:22%; ctl_exponential:14%	0.119	0.970408693127993	604.29	496	627	579	594	738	253.5	232.65
fbpC	Rv0129c	diacylglycerol acyltransferase/mycolyltransferase Ag85C	hypoxia_hypoxic:13%; tyloxopol:11%; hypoxia_rar:10%	0.0927	0.914360722962769	582.98	659	815	700	452	353	955.82	894.8
Rv0106	Rv0106	hypothetical protein	zinc_limitation:74%	0.1205	0.98082665402745	596.24	528	576	757	474	667	24.23	22.18
fadE1	Rv0131c	acyl-CoA dehydrogenase FadE1	hypoxia_late:14%; ctl_stationary:10%	0.1143	0.980475110468368	588.15	649	675	652	478	502	44.35	40.77
Rv0880	Rv0880	HTH-type transcriptional regulator	hypoxia_late:12%; ctl_stationary:10%	0.1409	0.992739930932494	607.47	600	549	641	561	692	36.03	32.45
MT3755	MT3755	hypothetical protein	hypoxia_late:19%	0.1245	0.985653548881999	599.71	531	507	489	612	902	59.91	54.74
dapB	Rv2773c	4-hydroxy-tetrahydrodipicolinate reductase	tyloxopol:9%	0.0975	0.947446443838017	590.39	599	713	663	492	501	159.8	148.94
rpsL	Rv0682	30S ribosomal protein S12	ctl_stationary:11%; acidic:11%	0.0957	0.956214015943808	580.09	747	751	671	442	352	1900.26	1775.02
Rv3030	Rv3030	S-adenosylmethionine-dependent methyltransferase	tyloxopol:10%; hypoxia_late:10%	0.1212	0.987353588520137	591.04	708	671	767	437	418	141.95	129.93
Rv1669	Rv1669	hypothetical protein	hypoxia_late:35%; ctl_stationary:13%; human_sputum:11%	0.2083	0.997376294423686	703.02	453	153	188	3851	536	7.81	5.9
MT1578.1	MT1578.1	hypothetical protein	human_sputum:21%; hypoxia_late:12%; hypoxia_hypoxic:10%	0.1757	0.992481733034022	706.07	288	147	219	4084	628	30.66	24.45
MT3573.11	MT3573.11	hypothetical protein	microaerophilic:54%	0.0955	0.95089945210791	587.34	588	682	547	522	604	114	106.49
Rv3467	Rv3467	hypothetical protein	hypoxia_late:21%; ctl_stationary:13%; butyrate:11%	0.1199	0.985502418570199	598.21	617	626	771	461	538	49.17	45.17
Rv1906c	Rv1906c	hypothetical protein	human_sputum:9%	0.0926	0.935559602308014	589.79	632	773	635	480	457	449.16	420.13
sodA	Rv3846	superoxide dismutase	acidic_tyloxopol:12%	0.1035	0.960716244607399	603.72	579	707	754	507	494	189.5	175.84
wag31	Rv2145c	cell wall synthesis protein Wag31	hypoxia_hypoxic:12%	0.084	0.890414515334927	587.68	692	836	576	497	388	1080.67	1017.88
Rv2644c	Rv2644c	hypothetical protein	PBS_RIF_DDmtb:11%	0.1236	0.986123497495633	614.98	518	523	510	721	837	52.65	48.01
MT2165	MT2165	hypothetical protein	ctl_stationary:10%	0.1603	0.997042928392449	636.41	626	595	858	471	662	47.41	42.14
Rv1804c	Rv1804c	hypothetical protein	hypoxia_fatty_acids:24%; PBS_RIF_DDmtb:22%; ctl_stationary:16%	0.1784	0.998145742910061	658.56	563	433	744	712	889	17.08	14.71
Rv2250A	Rv2250A	flavoprotein	hypoxia_late:14%; ctl_stationary:13%; hypoxia_fatty_acids:10%	0.123	0.988957858975283	601.99	630	590	572	508	720	62.04	56.78
grcC2	Rv0989c	polyprenyl-diphosphate synthase GrcC	PBS_RIF_DDmtb:15%; ctl_stationary:13%; hypoxia_late:11%	0.1124	0.980591149540116	605.7	620	680	639	517	579	62.08	57.12
Rv0039c	Rv0039c	transmembrane protein	hypoxia_late:12%	0.1031	0.971326302050139	594.29	685	701	745	455	425	489.8	454.99
lppU	Rv2784c	lipoprotein LppU	acidic_tyloxopol:11%	0.0954	0.949840946068871	599.5	585	717	556	544	603	174.69	163.12
Rv2719c	Rv2719c	membrane protein	zinc_limitation:26%; hypoxia_late:16%	0.1002	0.956684123445543	606.18	583	719	695	519	529	210.31	195.48
echA5	Rv0675	enoyl-CoA hydratase EchA5	PBS_RIF_DDmtb:13%	0.0927	0.947274622907254	592.01	607	714	526	541	581	121.54	113.71
Rv1624c	Rv1624c	membrane protein	acidic_tyloxopol:10%	0.0969	0.959341062011447	595.34	608	689	465	534	698	84.62	79.02
Rv2369c	Rv2369c	hypothetical protein	acidic_tyloxopol:18%; butyrate:12%	0.1363	0.994304636725806	610.98	639	562	628	558	672	82.84	74.62
Rv3326	Rv3326	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1044	0.970832245016809	600.28	570	607	326	643	935	20.49	18.92
Rv0094c	Rv0094c	hypothetical protein	hypoxia_late:21%; ctl_stationary:13%; butyrate:11%	0.1192	0.986398572312101	605.73	634	637	777	469	534	49.02	45.06
Rv0431	Rv0431	tuberculin-like peptide	tyloxopol:14%; high_iron:12%	0.0943	0.951344577783559	596.82	655	762	655	472	468	290.45	271.6
infC	Rv1641	initiation factor IF-3	hypoxia_hypoxic:13%	0.0971	0.965929418851088	588.88	755	738	668	467	370	2414.46	2253.53
MT3084	MT3084	hypothetical protein	tyloxopol:10%	0.095	0.957016174861902	596.44	616	696	664	498	521	172.03	160.82
Rv3643	Rv3643	hypothetical protein	hypoxia_late:39%; ctl_stationary:15%	0.1687	0.998631236643295	634.71	618	329	324	882	1244	12.28	10.62
MT2424	MT2424	hypothetical protein	human_sputum:14%; ctl_exponential:12%	0.1175	0.983012165825973	633.98	551	613	492	694	849	193.51	177.26
Rv3123	Rv3123	hypothetical protein	zinc_limitation:22%	0.1255	0.992860648148835	609.46	735	667	760	482	440	159.49	145.87
Rv3694c	Rv3694c	transmembrane protein	zinc_limitation:10%	0.0854	0.925104432532721	599.56	669	797	625	502	438	311.57	293.24
Rv2311	Rv2311	hypothetical protein	hypoxia_late:27%; ctl_stationary:11%	0.1957	0.999013762701641	672.12	727	706	797	546	600	18.44	15.81
Rv2699c	Rv2699c	hypothetical protein	ctl_stationary:15%; hypoxia_fatty_acids:14%	0.1215	0.986449866871831	635.82	594	658	740	551	644	143.9	131.43
mpr12	Rvnc0016	fragment of putative small regulatory RNA	human_sputum:12%	0.1876	0.999438760805441	635.15	713	352	627	633	921	45.65	39.8
Rv3381c	Rv3381c	transposase	hypoxia_late:36%; ctl_stationary:17%	0.1529	0.997740858962597	642.69	635	470	566	730	845	21.08	18.72
Rv0762c	Rv0762c	hypothetical protein	microaerophilic:15%; ctl_stationary:10%; hypoxia_late:10%; hypoxia_fatty_acids:10%	0.1041	0.974797429783553	620	561	619	434	675	848	46.45	43.01
PE_PGRS35	Rv1983	PE-PGRS family protein PE_PGRS35	hypoxia_late:15%	0.0976	0.959905583255302	623.86	615	770	759	506	497	88.93	82.78
MT2588	MT2588	hypothetical protein	hypoxia_hypoxic:11%; human_sputum:11%; nutrient_limitation:11%	0.1328	0.992289904504677	651.98	587	632	623	644	782	113.35	102.56
Rv0997	Rv0997	hypothetical protein	hypoxia_rar:13%	0.0866	0.938692417458301	603.14	671	769	580	501	515	341.38	321.05
Rv2105	Rv2105	transposase	hypoxia_late:34%; ctl_stationary:17%	0.1268	0.991454375139926	637.39	560	522	509	681	965	35.24	32
sdhB	Rv3319	succinate dehydrogenase iron-sulphur protein subunit	human_sputum:12%; tyloxopol:10%	0.0924	0.957804413806271	610.83	642	737	606	526	554	129.53	121.19
Rv3108	Rv3108	hypothetical protein	hypoxia_late:15%; ctl_stationary:11%	0.1324	0.994437384049535	647.02	589	542	561	728	839	33.16	29.92
galE1	Rv3634c	UDP-glucose 4-epimerase	acidic_tyloxopol:13%; acidic:13%	0.1015	0.979257200986279	622.01	766	776	746	448	428	167.69	155.87
Rv0680c	Rv0680c	transmembrane protein	ctl_stationary:21%; microaerophilic:18%	0.1031	0.979291897475926	624.67	619	656	550	563	745	110.94	103
mtrA	Rv3246c	two component DNA-binding response regulator MtrA	cholesterol:12%	0.0855	0.92831610023221	624.39	717	853	710	500	398	1112.52	1046.79
Rv1581c	Rv1581c	phage protein	hypoxia_late:15%; ctl_stationary:10%	0.1288	0.993197731881736	653.94	602	565	531	710	892	31.57	28.62
plsC	Rv2483c	bifunctional L-3-phosphoserine phosphatase/1-acyl-sn-glycerol-3-phosphate	microaerophilic:13%; acidic:11%	0.0854	0.93957984943917	617.1	670	799	642	511	489	120.7	113.53
Rv0320	Rv0320	hypothetical protein	hypoxia_late:15%; ctl_stationary:11%	0.1082	0.980546179309851	646.29	582	681	680	548	751	48.83	45.21
carA	Rv1383	carbamoyl-phosphate synthase small subunit	hypoxia_late:14%; zinc_limitation:13%	0.108	0.991730223847617	600.59	834	668	595	435	509	58.7	54.3
sseC2	Rv0814c	hypothetical protein	low_iron:10%	0.1008	0.977649784403662	627.63	720	745	804	487	429	640.26	595.98
Rv1593c	Rv1593c	hypothetical protein	hypoxia_fatty_acids:13%	0.1013	0.981279278325531	618.89	785	792	678	453	437	251.48	233.59
PPE12	Rv0755c	PPE family protein PPE12	hypoxia_late:12%	0.0896	0.954823606915969	622.12	673	796	648	509	508	85.17	79.81
Rv0793	Rv0793	monooxygenase	hypoxia_fatty_acids:36%; ctl_stationary:13%; hypoxia_late:12%	0.1377	0.994527636221409	672.38	296	170	214	4320	363	25.25	20.86
Rv3161c	Rv3161c	dioxygenase	hypoxia_fatty_acids:34%; microaerophilic:16%; ctl_stationary:12%; nutrient_limitation:11%	0.1045	0.988255439582058	603.43	788	661	807	431	395	177.8	165.18
esxM	Rv1792	esat-6 like protein esxM	hypoxia_rar:10%	0.0868	0.949024498632003	618.6	682	759	701	539	441	1630.53	1533.18
Rv2184c	Rv2184c	hypothetical protein	microaerophilic:9%	0.0951	0.962823672189487	635.64	656	808	798	510	449	189.61	177.16
cas6	Rv2824c	CRISPR-associated endoribonuclease Cas6	hypoxia_late:17%; PBS_RIF_DDmtb:11%	0.115	0.991409149618207	634.79	704	664	717	476	629	43.4	39.97
mce2A	Rv0589	Mce family protein Mce2A	microaerophilic:21%; hypoxia_fatty_acids:14%	0.0969	0.978686663042401	617.48	733	699	737	488	462	135.58	126.56
rodA	Rv0017c	cell division protein RodA	tyloxopol:13%	0.0996	0.97781474177808	633.11	744	809	706	481	466	112.28	104.39
Rv1433	Rv1433	hypothetical protein	tyloxopol:10%	0.0833	0.933964237104819	621.44	715	850	570	515	492	247.51	233.24
nrdF1	Rv1981c	ribonucleoside-diphosphate reductase subunit beta NrdF1	human_sputum:21%	0.0926	0.955043339962619	638.52	606	782	675	550	592	107	99.98
Rv2480c	Rv2480c	transposase	hypoxia_late:36%; ctl_stationary:17%	0.1494	0.998192536719047	666.14	645	484	573	769	899	20.99	18.68
PPE69	Rv3892c	PPE family protein PPE69	hypoxia_late:35%	0.0989	0.966416721715646	648.4	566	729	660	570	727	41.07	38.2
Rv1034c	Rv1034c	transposase	hypoxia_late:53%; ctl_stationary:14%	0.1864	0.996549679388685	770.34	447	168	307	3618	729	5.09	3.85
cobC	Rv2231c	aminotransferase	hypoxia_late:16%	0.0887	0.955750393531911	626	636	752	565	564	622	93.24	87.41
Rv2815c	Rv2815c	transposase	hypoxia_late:35%; ctl_stationary:17%	0.1497	0.998201069839175	668.13	643	488	574	772	903	21.02	18.69
vapC23	Rv2863	ribonuclease VapC23	hypoxia_late:17%; ctl_stationary:14%	0.1235	0.994887754490451	637.34	647	525	558	619	863	40.24	36.74
PE_PGRS11	Rv0754	PE-PGRS family protein PE_PGRS11	microaerophilic:26%; hypoxia_fatty_acids:19%; ctl_stationary:15%; hypoxia_late:11%	0.0945	0.968433968039	636.94	614	728	467	589	815	21.94	20.44
Rv2709	Rv2709	transmembrane protein	PBS_RIF_DDmtb:8%	0.0898	0.959003912346791	637.98	621	757	629	574	616	238.9	223.88
gadB	Rv3432c	glutamate decarboxylase GadB	hypoxia_late:16%	0.0995	0.984654731261301	626.32	726	697	630	531	559	62	57.68
mcr15	Rvnc0011	putative small regulatory RNA	human_sputum:12%	0.1112	0.990585062065897	641.47	691	663	703	533	625	146.65	135.49
Rv0745	Rv0745	hypothetical protein	hypoxia_late:48%	0.1632	0.998632919236934	698.24	660	601	669	683	895	11.07	9.65
Rv0276	Rv0276	hypothetical protein	hypoxia_fatty_acids:12%	0.0949	0.976530797906044	634.93	774	800	773	466	420	236.35	220.9
mftB	Rv0692	mycofactocin system protein MftB	nutrient_limitation:17%; tyloxopol:14%	0.079	0.911216425634739	633.71	754	898	631	537	406	2769.86	2618.23
leuC	Rv2988c	3-isopropylmalate dehydratase large subunit	INDIGO_exponential:12%; zinc_limitation:10%	0.1444	0.996770563087584	698.07	542	616	979	504	916	247.4	223.47
vapB35	Rv1962A	antitoxin VapB35	PBS_RIF_DDmtb:9%	0.1056	0.984024003239179	659.19	598	628	495	688	923	71.15	66
gluU	Rvnt35	tRNA-Glu	hypoxia_late:18%; human_sputum:10%	0.1482	0.998657251622411	666.65	658	412	502	837	1012	61.35	54.77
Rv0369c	Rv0369c	membrane oxidoreductase	hypoxia_late:26%; ctl_stationary:10%; human_sputum:10%	0.1421	0.998331793898564	662.48	681	503	799	523	843	19.42	17.47
leuT	Rvnt03	tRNA-Leu	butyrate:12%; hypoxia_late:12%	0.1357	0.996419377396741	674.69	597	481	578	740	1041	72.62	65.86
Rv3186	Rv3186	transposase	hypoxia_late:33%; ctl_stationary:17%	0.1243	0.993576460364707	678.46	601	572	596	726	927	35.07	31.97
Rv0303	Rv0303	dehydrogenase/reductase	hypoxia_fatty_acids:20%; nutrient_limitation:13%; PBS_RIF_DDmtb:12%	0.0929	0.973971799223012	646.72	688	746	707	529	577	108.75	101.82
Rv2355	Rv2355	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1008	0.982559626643766	659.27	605	649	439	718	934	20.57	19.06
echA13	Rv1935c	enoyl-CoA hydratase EchA13	hypoxia_late:33%; ctl_stationary:12%	0.1515	0.998758582026517	683.02	779	647	725	528	752	9.83	8.74
