GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_ATC_RIF	Rv0494_ATC_noDrug
Rv1489	Rv1489	hypothetical protein	zinc_limitation:10%	0.077	0.998739725605256	1062.49	1320	1364	1251	394	1190	275.95	260.43
ftsY	Rv2921c	signal recognition particle receptor FtsY	hypoxia_late:12%	0.0674	0.993846437684521	1067.25	1241	1465	1231	445	1133	209.41	198.83
alkB	Rv3252c	transmembrane alkane 1-monooxygenase AlkB	nutrient_limitation:47%; PBS_RIF_DDmtb:21%	0.08	0.987410295415977	1182.8	798	878	858	3665	588	278.84	255.33
purB	Rv0777	adenylosuccinate lyase PurB	hypoxia_late:8%	0.0677	0.993951928584272	1074.2	1252	1503	1245	425	1144	164.66	156.32
Rv1947	Rv1947	hypothetical protein	hypoxia_late:10%	0.0802	0.998950749598059	1078.27	1201	1199	1265	533	1314	161.8	151.92
rpsN2	Rv2056c	30S ribosomal protein S14	zinc_limitation:40%; human_sputum:27%	0.0932	0.996132241626007	1207.81	815	780	911	2674	1253	43.88	39.51
Rv3081	Rv3081	hypothetical protein	ctl_stationary:14%; hypoxia_late:13%	0.0792	0.998177811053603	1087.46	1146	1257	1276	545	1333	48.48	45.5
Rv3675	Rv3675	membrane protein	acidic:13%	0.083	0.999373124462555	1080.8	1214	1172	1352	528	1264	220.86	207.04
atpA	Rv1308	ATP synthase subunit alpha	ctl_exponential:12%; INDIGO_exponential:11%	0.066	0.994529814574418	1065.31	1281	1454	1310	457	1005	1381.02	1312.76
ccdA	Rv0527	cytochrome C-type biogenesis protein CcdA	high_iron:13%; ctl_exponential:12%; hypoxia_late:11%	0.0753	0.980060990433964	1200.78	788	993	861	3603	591	612.82	563.88
Rv3091	Rv3091	hypothetical protein	hypoxia_late:13%	0.0681	0.994975309960592	1074.49	1211	1410	1252	462	1202	113.52	107.59
PE_PGRS53	Rv3507	PE-PGRS family protein PE_PGRS53	hypoxia_late:22%; microaerophilic:16%	0.0971	0.99988035053427	1110.11	1142	1054	1468	549	1489	74.35	69.01
guaA	Rv3396c	GMP synthase	high_iron:9%	0.0701	0.978371086412921	1165.38	827	974	688	3819	515	280.05	258.32
Rv0499	Rv0499	hypothetical protein	hypoxia_late:14%	0.0817	0.990562010290389	1190.23	810	882	891	3381	694	134.34	123
MT0431	MT0431	hypothetical protein	hypoxia_late:21%; low_iron:19%	0.1313	0.999993647209752	1098.22	1332	481	897	1420	1571	10.01	8.61
mce1B	Rv0170	Mce family protein Mce1B	acidic:16%; acidic_tyloxopol:10%	0.0685	0.996267331369299	1064.7	1298	1432	1294	435	1053	451.97	428.93
PPE69	Rv3892c	PPE family protein PPE69	hypoxia_late:35%	0.0792	0.988222085065802	1191.27	785	908	709	3246	950	41.07	37.55
clpS	Rv1331	ATP-dependent Clp protease adapter protein ClpS	cholesterol:13%; acidic:12%	0.0748	0.983069352942808	1194.29	790	943	810	3694	612	802.13	738.38
mshB	Rv1170	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase	PBS_RIF_DDmtb:13%	0.0837	0.999596855159934	1082.31	1377	1275	1359	383	1242	67.2	63.1
Rv3217c	Rv3217c	integral membrane protein	hypoxia_late:9%	0.0728	0.997133230650627	1082.42	1266	1453	1254	421	1216	265.64	251.44
Rv1575	Rv1575	phage protein	microaerophilic:47%	0.083	0.990147419008221	1210.35	759	896	866	3002	1040	63.37	57.86
sirR	Rv2788	transcriptional repressor SirR	hypoxia_late:8%	0.0763	0.985934441150461	1196.58	782	935	796	3629	674	208.28	191.42
PE_PGRS50	Rv3345c	PE-PGRS family protein PE_PGRS50	hypoxia_late:56%	0.0946	0.996467596317429	1225.45	715	796	1041	3008	1087	18.86	16.92
MT3535	MT3535	hypothetical protein	hypoxia_late:29%	0.0809	0.991657571158784	1184.82	859	853	635	2981	1142	146.82	134.31
pepD	Rv0983	serine protease PepD	microaerophilic:20%; hypoxia_fatty_acids:12%	0.0676	0.994521073680606	1083.12	1279	1519	1325	450	1037	606.99	576.45
Rv0526	Rv0526	thioredoxin	high_iron:14%; hypoxia_hypoxic:10%	0.0747	0.998513784869555	1079.54	1325	1413	1346	414	1106	519.44	490.92
Rv3637	Rv3637	transposase	PBS_RIF_DDmtb:25%; hypoxia_late:24%; ctl_stationary:18%	0.1176	0.999979830476051	1124.62	1254	702	1018	1380	1348	5.78	5.01
Rv1765A	Rv1765A	transposase	INDIGO_exponential:10%	0.0861	0.999736279722395	1089.87	1321	1140	1256	523	1343	171.69	160.87
Rv2183c	Rv2183c	hypothetical protein	microaerophilic:9%	0.0681	0.995300823347821	1084.3	1257	1490	1207	443	1211	373.45	354.52
MT1790	MT1790	hypothetical protein	hypoxia_late:31%	0.1027	0.999600110054016	1203.63	1031	808	967	2115	1285	74.55	67.12
cysK2	Rv0848	cysteine synthase CysK	microaerophilic:57%	0.0774	0.999145996835114	1079.71	1305	1298	1259	463	1235	93.01	87.54
mazF9	Rv2801c	mRNA interferase MazF9	hypoxia_late:12%; ctl_stationary:10%	0.0921	0.997747618469469	1202.91	893	754	950	2727	1091	61.17	55.47
cobIJ	Rv2066	bifunctional S-adenosyl-L-methionine-precorrin-2 methyl transferase/precorrin-3 methylase	hypoxia_late:20%	0.0758	0.999066772294218	1077.66	1388	1356	1318	402	1136	133.38	125.76
sdhB	Rv3319	succinate dehydrogenase iron-sulphur protein subunit	human_sputum:12%; tyloxopol:10%	0.0797	0.99040085486198	1201.46	786	877	797	3534	783	129.53	118.47
prfB	Rv3105c	peptide chain release factor PrfB	zinc_limitation:9%	0.0707	0.996832321171075	1087.24	1228	1402	1326	471	1174	185.69	175.84
Rv3235	Rv3235	hypothetical protein	hypoxia_late:15%	0.0846	0.992484376393587	1213.34	843	924	998	3025	792	128.11	117.14
vapC37	Rv2103c	ribonuclease VapC37	INDIGO_exponential:11%	0.0808	0.990077394483409	1208.41	834	948	847	3375	726	240.96	220.91
adoK	Rv2202c	adenosine kinase	zinc_limitation:10%	0.0642	0.993512640620928	1084.58	1275	1505	1244	476	1094	492.47	468.6
cut1	Rv1758	cutinase	hypoxia_late:36%; ctl_stationary:23%; PBS_RIF_DDmtb:14%	0.1226	0.999969785772551	1156.16	1120	700	959	1797	1349	4.89	4.16
Rv0625c	Rv0625c	transmembrane protein	hypoxia_late:25%	0.0805	0.991477483449825	1204.94	763	831	867	3314	906	87.05	79.54
vapB39	Rv2530A	antitoxin VapB39	INDIGO_exponential:12%; hypoxia_late:10%	0.0882	0.995751540488471	1211.65	874	860	887	3044	912	209.75	191.15
Rv2611c	Rv2611c	phosphatidylinositol mannoside acyltransferase	zinc_limitation:9%	0.0758	0.985828935834361	1207.57	789	958	813	3661	660	173.44	159.37
Rv3433c	Rv3433c	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	hypoxia_late:35%	0.0753	0.987348944847763	1195.61	783	916	761	3591	736	76.56	70.33
PE4	Rv0160c	PE family protein PE4	hypoxia_late:42%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.0997	0.999536135721796	1206.41	1002	972	1142	1908	1113	5.25	4.65
mbtK	Rv1347c	lysine N-acetyltransferase MbtK	low_iron:23%; human_sputum:11%	0.0925	0.997934192430798	1209.22	937	804	929	2580	1131	26.68	24.11
Rv1993c	Rv1993c	hypothetical protein	PBS_RIF_DDmtb:18%; hypoxia_fatty_acids:16%; hypoxia_late:12%; butyrate:12%; microaerophilic:10%	0.0899	0.999847615641997	1103.78	1282	1133	1443	492	1331	135.24	126.34
Rv3422c	Rv3422c	tRNA threonylcarbamoyladenosine biosynthesis protein	hypoxia_late:10%	0.0757	0.987105519802239	1206.84	773	928	821	3616	710	263.27	241.96
lytB1	Rv3382c	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	hypoxia_late:14%	0.0903	0.996315085138211	1218.4	903	910	1048	2875	802	114.46	104.23
Rv1045	Rv1045	hypothetical protein	INDIGO_exponential:14%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.0828	0.991434482495142	1218.48	819	937	978	3096	806	101.04	92.5
Rv0686	Rv0686	membrane protein	INDIGO_exponential:8%	0.0778	0.988146678304398	1210.38	826	955	876	3530	640	250.28	229.95
lpqU	Rv1022	lipoprotein LpqU	hypoxia_late:13%; human_sputum:12%	0.078	0.999190962966095	1092.69	1301	1345	1350	430	1229	112.32	105.93
MT3532.1	MT3532.1	hypothetical protein	hypoxia_late:20%; PBS_RIF_DDmtb:13%; human_sputum:13%; ctl_stationary:10%	0.1358	0.999981685137722	1172.23	1395	849	1134	1029	1517	8.49	7.26
dipZ	Rv2874	integral membrane C-type cytochrome biogenesis protein DipZ	PBS_RIF_DDmtb:58%	0.093	0.998159424131037	1211.89	980	872	1143	2416	916	13.78	12.42
Rv0513	Rv0513	transmembrane protein	high_iron:12%	0.0771	0.999060993330426	1097.41	1462	1416	1357	404	1078	869.82	820.74
senX3	Rv0490	two component sensor histidine kinase SenX3	human_sputum:9%	0.0679	0.995589538927081	1096.63	1259	1496	1336	465	1109	362.87	344.49
Rv0698	Rv0698	hypothetical protein	hypoxia_late:19%	0.086	0.999644923798167	1128.33	1247	1278	1382	516	1369	58.96	55.23
Rv2645	Rv2645	hypothetical protein	hypoxia_late:25%	0.0854	0.999590112683745	1128.82	1234	1248	1226	598	1449	48.37	45.19
Rv3072c	Rv3072c	hypothetical protein	hypoxia_late:16%	0.087	0.99979653872155	1118.48	1374	1235	1314	477	1363	53.43	50.05
lppK	Rv2116	lipoprotein LppK	hypoxia_late:21%	0.0934	0.998112720432911	1219.97	900	776	927	2704	1179	27.68	24.91
Rv2800	Rv2800	hydrolase	hypoxia_late:14%	0.0748	0.984998792923697	1218.65	777	971	878	3651	648	126.6	116.4
Rv1115	Rv1115	hypothetical protein	hypoxia_late:23%; ctl_stationary:10%	0.0824	0.991981723196345	1225.44	813	894	862	2913	1108	32.13	29.3
Rv0420c	Rv0420c	transmembrane protein	PBS_RIF_DDmtb:8%	0.0769	0.989041852553843	1213.43	760	890	833	3440	856	192.96	177.09
Rv1457c	Rv1457c	antibiotic ABC transporter permease	hypoxia_late:11%	0.072	0.997802282010545	1109.62	1269	1462	1247	459	1293	97.69	92.5
Rv3079c	Rv3079c	hypothetical protein	hypoxia_late:17%; ctl_stationary:11%	0.0882	0.999763291911094	1134.24	1155	1084	1330	708	1475	25.45	23.57
sppA	Rv0724	protease IV SppA	cholesterol:11%; zinc_limitation:10%	0.0685	0.977361718694243	1210.27	857	1024	842	3765	497	736.91	681.37
tesB2	Rv2605c	acyl-CoA thioesterase TesB	tyloxopol:9%	0.0659	0.995632811594035	1102.26	1264	1494	1271	475	1180	262.93	249.94
PE_PGRS5	Rv0297	PE-PGRS family protein PE_PGRS5	acidic:16%; low_iron:10%	0.078	0.990589222738882	1215.44	766	875	988	3492	704	256.01	234.25
Rv3845	Rv3845	hypothetical protein	hypoxia_late:25%	0.0925	0.997094950308152	1235.31	946	950	1076	2387	1056	66.03	60.05
Rv1725c	Rv1725c	hypothetical protein	hypoxia_late:13%; hypoxia_fatty_acids:10%	0.0933	0.997350285018803	1238.35	920	965	1147	2318	1059	32.88	29.84
Rv1486c	Rv1486c	hypothetical protein	zinc_limitation:13%	0.0675	0.99686590615326	1095.42	1283	1466	1287	458	1163	283.43	269.15
Rv0544c	Rv0544c	transmembrane protein	butyrate_plus_glucose:12%	0.0712	0.986276343838443	1207.31	829	970	742	3767	634	785.42	724.36
Rv2134c	Rv2134c	hypothetical protein	ctl_stationary:10%; cholesterol:10%	0.0684	0.996801184954515	1103.87	1286	1506	1319	448	1154	434.68	412.66
Rv1413	Rv1413	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:11%	0.0852	0.999776201921504	1125.72	1323	1205	1317	564	1342	95.67	89.32
ispF	Rv3581c	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	microaerophilic:18%	0.0743	0.9989419563749	1107.94	1294	1340	1430	498	1137	1113.77	1053.05
MT2015.1	MT2015.1	hypothetical protein	hypoxia_late:20%; ctl_stationary:18%; hypoxia_fatty_acids:10%; PBS_RIF_DDmtb:10%	0.1175	0.999967571993911	1177.65	1071	676	1098	1831	1364	6.87	5.95
Rv1890c	Rv1890c	hypothetical protein	PBS_RIF_DDmtb:17%; ctl_stationary:15%; hypoxia_late:13%	0.0942	0.999283243427589	1215.48	999	743	1047	2422	1148	24.4	22.05
pncB2	Rv0573c	nicotinic acid phosphoribosyltransferase PncB2	hypoxia_late:29%; ctl_stationary:14%	0.0926	0.999853171477739	1150.27	1393	1304	1380	505	1334	16.49	15.28
Rv2571c	Rv2571c	transmembrane protein	hypoxia_late:17%	0.0814	0.99967830279663	1121.89	1385	1277	1412	481	1226	84.82	79.66
Rv2810c	Rv2810c	transposase	hypoxia_late:20%	0.083	0.992793899324512	1234.54	861	960	907	2993	932	114.8	105.07
Rv0090	Rv0090	membrane protein	hypoxia_late:40%; ctl_stationary:12%	0.088	0.996700542644542	1229.3	927	883	892	2538	1218	15.49	13.98
virS	Rv3082c	HTH-type transcriptional regulator VirS	hypoxia_late:23%; ctl_stationary:15%; hypoxia_fatty_acids:11%	0.0899	0.996653177622072	1236.24	917	915	963	2655	1070	16.85	15.24
hemY	Rv2677c	protoporphyrinogen oxidase	hypoxia_late:16%	0.0714	0.998954010875591	1096.63	1343	1381	1300	474	1152	227.24	215.06
tmk	Rv3247c	thymidylate kinase	PBS_RIF_DDmtb:33%; nutrient_limitation:12%	0.0731	0.988133090924964	1216.16	821	962	741	3680	719	204.02	187.83
moaB2	Rv0984	pterin-4-alpha-carbinolamine dehydratase	microaerophilic:26%; ctl_stationary:11%	0.0708	0.983009829468737	1226.61	830	1007	880	3687	585	853.69	788.33
Rv1026	Rv1026	hypothetical protein	hypoxia_late:18%	0.0778	0.991501618199719	1225.01	839	940	874	3483	718	123.5	113.37
MTS1635	MTS1635	small intergenic RNA	human_sputum:13%	0.0949	0.99843378536248	1244.62	981	907	946	2872	937	98.73	89.38
MT0694	MT0694	hypothetical protein	human_sputum:16%; hypoxia_late:11%; ctl_stationary:10%	0.0994	0.999519978311118	1232.94	1058	922	890	2189	1300	30.29	27.26
Rv2566	Rv2566	hypothetical protein	hypoxia_late:25%	0.072	0.987421977906103	1217.19	787	956	808	3757	663	49.79	45.77
Rv1855c	Rv1855c	oxidoreductase	zinc_limitation:8%	0.0725	0.986562458212337	1225.11	800	964	863	3709	645	244.15	224.88
Rv0369c	Rv0369c	membrane oxidoreductase	hypoxia_late:26%; ctl_stationary:10%; human_sputum:10%	0.0986	0.999313536860334	1240.63	954	854	1176	2236	1185	19.42	17.45
plsB2	Rv2482c	glycerol-3-phosphate acyltransferase	zinc_limitation:8%	0.0705	0.999010777749864	1095.48	1379	1395	1329	442	1124	111.1	105.25
Rv2752c	Rv2752c	ribonuclease J	INDIGO_exponential:9%	0.0799	0.994768900401456	1218.67	955	942	882	3511	576	276.3	253.44
echA11	Rv1141c	enoyl-CoA hydratase EchA11	hypoxia_late:15%; PBS_RIF_DDmtb:12%	0.0715	0.998043955843854	1129.32	1237	1424	1184	542	1401	62.15	58.8
lipP	Rv2463	esterase/lipase LipP	high_iron:8%	0.0634	0.995485366782941	1121.73	1277	1523	1327	512	1132	367.53	350.02
Rv1496	Rv1496	transport system kinase	hypoxia_late:13%	0.0736	0.988846631517416	1219.69	828	957	713	3553	818	88.96	81.82
Rv2319c	Rv2319c	universal stress protein	hypoxia_late:28%; ctl_stationary:12%	0.0851	0.999762908532366	1140.52	1290	1252	1208	621	1435	21.3	19.87
nei	Rv3297	endonuclease VIII	hypoxia_late:12%	0.0807	0.999682013722073	1128.35	1347	1280	1311	544	1292	92.99	87.34
Rv3599c	Rv3599c	hypothetical short protein	PBS_RIF_DDmtb:12%	0.0997	0.999685972040055	1231.53	1047	826	982	2208	1299	77.01	69.42
Rv3736	Rv3736	AraC/XylS family transcriptional regulator	PBS_RIF_DDmtb:18%	0.0782	0.992848873300101	1229.93	851	923	899	3228	841	67.36	61.79
hemZ	Rv1485	ferrochelatase	INDIGO_exponential:8%	0.0817	0.995909650617719	1227.95	940	932	933	3297	679	155.1	142.1
Rv3249c	Rv3249c	TetR family transcriptional regulator	nutrient_limitation:41%; PBS_RIF_DDmtb:23%	0.069	0.998791023034455	1105.87	1337	1388	1362	470	1147	551.84	523.22
mesT	Rv3176c	epoxide hydrolase MesT	hypoxia_late:16%; PBS_RIF_DDmtb:14%; hypoxia_fatty_acids:10%	0.0896	0.999878874432883	1147.84	1376	1238	1356	521	1404	18.46	17.19
Rv2079	Rv2079	hypothetical protein	PBS_RIF_DDmtb:14%; hypoxia_late:10%	0.0734	0.988648597021798	1230.04	802	961	801	3627	757	56.34	51.78
mpr12	Rvnc0016	fragment of putative small regulatory RNA	human_sputum:12%	0.115	0.999915143406795	1231.65	1102	823	970	2036	1393	45.65	40.54
ctpB	Rv0103c	cation-transporter P-type ATPase B	zinc_limitation:9%	0.0632	0.996053619482957	1127.51	1284	1528	1289	524	1168	139.02	132.32
cobT	Rv2207	nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase	hypoxia_late:16%	0.0694	0.998972687996565	1108.83	1360	1400	1291	483	1176	243.81	230.99
cyp124	Rv2266	cytochrome P450 Cyp124	cholesterol:12%	0.0797	0.992573262805484	1241.05	854	967	877	3093	936	35.46	32.45
fadE34	Rv3573c	acyl-CoA dehydrogenase FadE34	hypoxia_late:31%; hypoxia_fatty_acids:12%; ctl_stationary:11%	0.0833	0.99982033536925	1136.9	1390	1299	1385	438	1378	12.05	11.25
PE_PGRS38	Rv2162c	PE-PGRS family protein PE_PGRS38	microaerophilic:22%	0.0805	0.999782426421468	1129.87	1212	1111	1414	580	1462	1274	1197.68
MT3174.1	MT3174.1	hypothetical protein	hypoxia_late:19%	0.1178	0.99997683690778	1207.4	1171	718	995	1869	1440	31.68	28.03
pfkA	Rv3010c	6-phosphofructokinase	cholesterol:8%	0.0659	0.996677001090562	1135.59	1240	1492	1334	529	1234	202.01	191.97
Rv1823	Rv1823	hypothetical protein	hypoxia_late:10%	0.0676	0.997389310652629	1135.33	1267	1497	1220	520	1329	98.54	93.53
Rv2732c	Rv2732c	transmembrane protein	hypoxia_late:9%	0.0661	0.996963727991455	1135.52	1232	1458	1309	543	1276	269.53	255.94
MTS0900	MTS0900	small intergenic RNA	butyrate:33%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	0.0738	0.991554805773383	1230.79	822	914	857	3724	687	697.97	641.72
Rv1591	Rv1591	transmembrane protein	ctl_exponential:8%	0.0703	0.999249092814362	1124.16	1372	1406	1286	491	1231	212.71	201.46
Rv0755A	Rv0755A	transposase	acidic_tyloxopol:14%; human_sputum:11%; acidic:10%	0.079	0.992350134589089	1252.01	812	913	855	3112	1101	175.29	160.56
PPE56	Rv3350c	PPE family protein PPE56	hypoxia_late:25%; microaerophilic:16%	0.0698	0.999088647388607	1128.76	1397	1514	1369	447	1126	30.08	28.46
Rv0609A	Rv0609A	hypothetical protein	ctl_stationary:10%	0.0802	0.999776034435125	1141.69	1391	1325	1453	428	1328	208.36	196.48
Rv1829	Rv1829	hypothetical protein	acidic:10%	0.0727	0.999414935039911	1133.17	1399	1392	1337	497	1207	398.4	376.59
Rv2850c	Rv2850c	magnesium chelatase	microaerophilic:16%; hypoxia_late:12%	0.0686	0.984553639743465	1240.36	845	1025	884	3697	599	241.46	223.24
Rv0843	Rv0843	dehydrogenase	hypoxia_late:22%; ctl_stationary:11%	0.0876	0.997219321755067	1257.31	953	966	1103	2559	995	30.45	27.75
purF	Rv0808	amidophosphoribosyltransferase	low_iron:8%	0.0666	0.997957284056223	1134.81	1326	1512	1353	517	1130	361.02	342.94
Rv2915c	Rv2915c	hypothetical protein	hypoxia_late:12%	0.0853	0.998931459440113	1228.06	1027	819	930	3189	761	84.4	77.04
MT3313	MT3313	hypothetical protein	hypoxia_late:9%	0.0683	0.998185060218118	1140.57	1304	1516	1302	482	1280	258.88	245.78
Rv3163c	Rv3163c	hypothetical protein	hypoxia_late:15%	0.0842	0.996817051644355	1251.43	934	925	1002	2907	920	38.13	34.81
PPE33	Rv1809	PPE family protein PPE33	acidic:20%; acidic_tyloxopol:14%; zinc_limitation:11%	0.0745	0.99960432564101	1139.41	1419	1311	1328	515	1279	60.75	57.35
qcrA	Rv2195	ubiquinol-cytochrome C reductase rieske iron-sulfur subunit	microaerophilic:12%; INDIGO_exponential:12%	0.0581	0.994900250995193	1142.92	1345	1639	1306	551	1041	1262.14	1206.47
Rv0502	Rv0502	hypothetical protein	acidic:12%; acidic_tyloxopol:10%	0.0657	0.982719242852579	1240.86	887	1055	840	3779	548	655.63	607.28
purE	Rv3275c	N5-carboxyaminoimidazole ribonucleotide mutase	hypoxia_late:14%	0.0684	0.998599144477918	1141.58	1296	1422	1303	535	1296	254.61	241.32
Rv1702c	Rv1702c	hypothetical protein	hypoxia_late:22%; human_sputum:16%	0.0834	0.996636387449891	1254.93	959	986	997	3109	752	91.03	83.28
purN	Rv0956	phosphoribosylglycinamide formyltransferase PurN	hypoxia_rar:9%	0.0744	0.999467683024458	1156.71	1299	1376	1261	554	1434	61.31	57.89
gadB	Rv3432c	glutamate decarboxylase GadB	hypoxia_late:16%	0.0732	0.989661009164018	1254.86	803	982	844	3467	871	62	56.98
Rv2743c	Rv2743c	hypothetical protein	hypoxia_fatty_acids:13%; ctl_stationary:13%; PBS_RIF_DDmtb:10%	0.0641	0.997298108169747	1144.09	1306	1521	1335	526	1191	314.58	299.43
Rv1749c	Rv1749c	integral membrane protein	ctl_exponential:9%	0.0768	0.994328253436312	1250.55	848	891	881	3385	899	125.83	115.42
MT1578.1	MT1578.1	hypothetical protein	human_sputum:21%; hypoxia_late:12%; hypoxia_hypoxic:10%	0.1181	0.999966455005125	1244.33	1231	692	1042	2079	1377	30.66	27.01
ilvX	Rv3509c	acetohydroxyacid synthase large subunit	hypoxia_late:15%	0.0741	0.999581871721606	1148.65	1429	1316	1419	519	1220	168.05	158.6
Rv0393	Rv0393	hypothetical protein	hypoxia_late:33%	0.0759	0.999658904968772	1152.98	1324	1331	1321	570	1346	68.36	64.32
MT0407	MT0407	hypothetical protein	hypoxia_late:34%	0.088	0.998150273703194	1263.6	941	888	1067	2724	1050	66.63	60.65
pyrC	Rv1381	dihydroorotase	hypoxia_late:20%; zinc_limitation:12%	0.0707	0.999437146304602	1141.74	1339	1363	1280	541	1325	73.49	69.45
Rv2160c	Rv2160c	conserved hypothetical protein	microaerophilic:31%; cholesterol:13%	0.0628	0.997020826511869	1150.92	1307	1535	1277	547	1237	637.27	607.14
Rv1771	Rv1771	L-gulono-1,4-lactone dehydrogenase	tyloxopol:10%	0.0722	0.992015404921474	1246.63	846	941	904	3674	681	165.98	152.81
Rv0094c	Rv0094c	hypothetical protein	hypoxia_late:21%; ctl_stationary:13%; butyrate:11%	0.0803	0.999734506105728	1174.48	1528	1470	1415	409	1302	49.02	46.18
Rv3467	Rv3467	hypothetical protein	hypoxia_late:21%; ctl_stationary:13%; butyrate:11%	0.0802	0.999731340514486	1175.03	1530	1467	1407	411	1310	49.17	46.32
csd	Rv1464	cysteine desulfurase	low_iron:26%; zinc_limitation:18%	0.0696	0.987245782076171	1256.76	852	1042	902	3612	658	222.22	205.34
Rv0572c	Rv0572c	hypothetical protein	ctl_stationary:17%; hypoxia_hypoxic:13%; hypoxia_late:11%	0.0932	0.998963434973164	1281.47	905	799	1085	2693	1282	42.23	37.92
nadD	Rv2421c	nicotinate-nucleotide adenylyltransferase	hypoxia_late:10%	0.0846	0.997594487829272	1258.57	908	867	940	3118	980	77.79	70.8
Rv1896c	Rv1896c	S-adenosyl-L-methionine-dependent methyltransferase	ctl_stationary:11%	0.0685	0.998239759408129	1164.61	1229	1464	1308	585	1366	82.87	78.58
MT3204	MT3204	hypothetical protein	hypoxia_late:11%	0.0848	0.999856642353631	1181.1	1476	1259	1279	583	1446	107.41	100.61
Rv1682	Rv1682	hypothetical protein	nutrient_limitation:19%; PBS_RIF_DDmtb:11%	0.0854	0.998065461633763	1258.95	957	892	905	3028	992	39.35	35.79
lpqR	Rv0838	lipoprotein LpqR	hypoxia_late:14%; ctl_stationary:12%; PBS_RIF_DDmtb:10%	0.0808	0.99540020443511	1268.36	885	963	917	3126	967	66.14	60.47
sigF	Rv3286c	RNA polymerase sigma factor SigF	nutrient_limitation:14%; microaerophilic:10%	0.0652	0.998140325642021	1153.3	1273	1447	1332	555	1298	189.2	179.75
MT2983	MT2983	hypothetical protein	hypoxia_late:10%	0.081	0.997410855308877	1248.69	933	879	968	3278	791	107.11	98
PE_PGRS3	Rv0278c	PE-PGRS family protein PE_PGRS3	microaerophilic:30%; hypoxia_late:29%	0.0813	0.996257770528407	1264.44	840	864	1057	3212	914	27.36	24.84
MT1936	MT1936	hypothetical protein	butyrate_plus_glucose:9%	0.0737	0.999589320420728	1162.34	1354	1409	1367	550	1275	148.27	139.93
Rv3360	Rv3360	hypothetical protein	hypoxia_late:12%; zinc_limitation:12%	0.09	0.999421110194116	1254.15	1086	830	910	2804	1036	78.66	71.54
cobB	Rv2848c	cobyrinic acid A,C-diamide synthase	microaerophilic:13%; hypoxia_late:12%	0.081	0.996855177035277	1260.98	990	1006	985	3219	689	144.82	132.78
vapB5	Rv0626	antitoxin VapB5	tyloxopol:10%	0.0772	0.999644563435316	1181.01	1587	1347	1405	506	1247	424.09	399.66
Rv1126c	Rv1126c	hypothetical protein	human_sputum:10%	0.0772	0.999710751382161	1173.98	1470	1328	1398	548	1277	134.23	126.53
Rv1772	Rv1772	hypothetical protein	nutrient_limitation:13%	0.0673	0.998179588467397	1167.05	1256	1474	1370	567	1307	417.98	396.58
treZ	Rv1562c	malto-oligosyltrehalose trehalohydrolase	hypoxia_late:15%	0.075	0.999604413789211	1173.33	1538	1488	1388	422	1273	45.16	42.64
vapB1	Rv0064A	antitoxin VapB1	ctl_stationary:12%; microaerophilic:11%	0.078	0.994698759144753	1273.74	883	938	885	2915	1181	83.46	76.48
ephE	Rv3670	epoxide hydrolase EphE	hypoxia_late:13%	0.0734	0.993380048063524	1259.13	837	917	851	3507	889	83.7	76.88
Rv3269	Rv3269	hypothetical protein	hypoxia_fatty_acids:36%; butyrate:11%	0.0729	0.999687787769927	1155.17	1300	1246	1494	593	1266	1060.79	1002.78
Rv0381c	Rv0381c	hypothetical protein	ctl_exponential:9%	0.0629	0.997523346658328	1163.97	1302	1545	1305	540	1284	178.96	170.46
cysS1	Rv3580c	cysteine--tRNA ligase	microaerophilic:19%; PBS_RIF_DDmtb:16%	0.0679	0.987828852933404	1258.12	856	1021	894	3678	655	209.89	194.06
Rv0750	Rv0750	hypothetical protein	human_sputum:9%	0.0795	0.995803790833699	1272.12	878	905	859	3107	1127	118.85	108.67
ASpks	ASpks	putative small regulatory RNA	hypoxia_late:38%; human_sputum:13%	0.0823	0.9999035940385	1166.2	1303	1163	1576	546	1405	207.11	194.94
pitA	Rv0545c	low-affinity inorganic phosphate transporter	high_iron:12%	0.0594	0.99665237081048	1164.96	1351	1625	1384	552	1082	1402.39	1339.41
lpqZ	Rv1244	lipoprotein LpqZ	hypoxia_late:15%	0.07	0.992323528028822	1253.14	860	954	871	3731	686	221.56	204.32
accD3	Rv0904c	acetyl-CoAcarboxylase carboxyl transferase subunit beta	hypoxia_late:24%	0.075	0.999685000632138	1171.42	1477	1369	1372	514	1295	46.63	43.97
Rv2737A	Rv2737A	conserved cysteine rich protein	hypoxia_late:14%	0.093	0.99922259382808	1291.46	956	870	1099	2530	1283	77.08	69.71
